Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,8,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141324,3569498,1104093.75,1750154438128.6067,2672,3891.5282051282047,2562,1876.9230769230769,34790,509.5184770436731,1.9626373626373621,-1,-1,99
3,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141325,3569754,1104101.5625,1750154438136.4192,2658,3871.1384615384613,2543,1863.003663003663,34790,509.5184770436731,1.9626373626373621,-1,-1,99
4,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141326,3570010,1104109.375,1750154438144.2317,2672,3891.5282051282047,2554,1871.0622710622708,34790,509.5184770436731,1.9626373626373621,-1,-1,99
5,39,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141327,3570266,1104117.1875,1750154438152.0442,2672,3891.5282051282047,2559,1874.7252747252746,34790,509.5184770436731,1.9626373626373621,-1,-1,99
6,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141328,3570522,1104125,1750154438159.8567,2673,3892.9846153846152,2567,1880.5860805860805,34790,509.5184770436731,1.9626373626373621,-1,-1,99
7,54,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141329,3570778,1104132.8125,1750154438167.6692,2656,3868.2256410256409,2540,1860.8058608058607,34790,509.5184770436731,1.9626373626373621,-1,-1,99
8,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141330,3571034,1104140.625,1750154438175.4817,2672,3891.5282051282047,2552,1869.5970695970695,34790,509.5184770436731,1.9626373626373621,-1,-1,99
9,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141331,3571290,1104148.4375,1750154438183.2942,2671,3890.0717948717947,2563,1877.6556776556774,34790,509.5184770436731,1.9626373626373621,-1,-1,99
10,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141332,3571546,1104156.25,1750154438191.1067,2653,3863.8564102564101,2536,1857.8754578754576,34790,509.5184770436731,1.9626373626373621,-1,-1,99
11,86,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141333,3571802,1104164.0625,1750154438198.9192,2656,3868.2256410256409,2522,1847.6190476190475,34791,509.13838120104447,1.9641025641025638,-1,-1,99
12,94,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141334,3572058,1104171.875,1750154438206.7317,2672,3891.5282051282047,2542,1862.2710622710622,34791,509.13838120104447,1.9641025641025638,-1,-1,99
13,101,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141335,3572314,1104179.6875,1750154438214.5442,2672,3891.5282051282047,2553,1870.3296703296703,34791,509.13838120104447,1.9641025641025638,-1,-1,99
14,109,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141336,3572570,1104187.5,1750154438222.3567,2673,3892.9846153846152,2564,1878.3882783882782,34790,509.5184770436731,1.9626373626373621,-1,-1,99
15,117,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141337,3572826,1104195.3125,1750154438230.1692,2657,3869.6820512820509,2543,1863.003663003663,34790,509.5184770436731,1.9626373626373621,-1,-1,99
16,125,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141338,3573082,1104203.125,1750154438237.9817,2672,3891.5282051282047,2554,1871.0622710622708,34790,509.5184770436731,1.9626373626373621,-1,-1,99
17,133,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141339,3573338,1104210.9375,1750154438245.7942,2660,3874.0512820512818,2539,1860.0732600732599,34791,509.13838120104447,1.9641025641025638,-1,-1,99
18,140,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141340,3573594,1104218.75,1750154438253.6067,2671,3890.0717948717947,2556,1872.5274725274724,34791,509.13838120104447,1.9641025641025638,-1,-1,99
19,148,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141341,3573850,1104226.5625,1750154438261.4192,2657,3869.6820512820509,2538,1859.3406593406592,34791,509.13838120104447,1.9641025641025638,-1,-1,99
20,156,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141342,3574106,1104234.375,1750154438269.2317,2672,3891.5282051282047,2551,1868.8644688644688,34790,509.5184770436731,1.9626373626373621,-1,-1,99
21,164,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141343,3574362,1104242.1875,1750154438277.0442,2671,3890.0717948717947,2562,1876.9230769230769,34790,509.5184770436731,1.9626373626373621,-1,-1,99
22,172,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141344,3574618,1104250,1750154438284.8567,2672,3891.5282051282047,2564,1878.3882783882782,34790,509.5184770436731,1.9626373626373621,-1,-1,99
23,179,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141345,3574874,1104257.8125,1750154438292.6692,2657,3869.6820512820509,2543,1863.003663003663,34790,509.5184770436731,1.9626373626373621,-1,-1,99
24,187,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141346,3575130,1104265.625,1750154438300.4817,2672,3891.5282051282047,2554,1871.0622710622708,34791,509.13838120104447,1.9641025641025638,-1,-1,99
25,195,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141347,3575386,1104273.4375,1750154438308.2942,2672,3891.5282051282047,2559,1874.7252747252746,34790,509.5184770436731,1.9626373626373621,-1,-1,99
26,203,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141348,3575642,1104281.25,1750154438316.1067,2671,3890.0717948717947,2567,1880.5860805860805,34790,509.5184770436731,1.9626373626373621,-1,-1,99
27,211,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141349,3575898,1104289.0625,1750154438323.9192,2657,3869.6820512820509,2544,1863.7362637362637,34790,509.5184770436731,1.9626373626373621,-1,-1,99
28,219,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141350,3576154,1104296.875,1750154438331.7317,2672,3891.5282051282047,2555,1871.7948717948716,34791,509.13838120104447,1.9641025641025638,-1,-1,99
29,226,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141351,3576410,1104304.6875,1750154438339.5442,2672,3891.5282051282047,2560,1875.4578754578754,34790,509.5184770436731,1.9626373626373621,-1,-1,99
30,234,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141352,3576666,1104312.5,1750154438347.3567,2672,3891.5282051282047,2562,1876.9230769230769,34790,509.5184770436731,1.9626373626373621,-1,-1,99
31,242,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141353,3576922,1104320.3125,1750154438355.1692,2656,3868.2256410256409,2537,1858.6080586080584,34790,509.5184770436731,1.9626373626373621,-1,-1,99
32,250,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141354,3577178,1104328.125,1750154438362.9817,2672,3891.5282051282047,2551,1868.8644688644688,34790,509.5184770436731,1.9626373626373621,-1,-1,99
33,258,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141355,3577434,1104335.9375,1750154438370.7942,2672,3891.5282051282047,2558,1873.9926739926739,34790,509.5184770436731,1.9626373626373621,-1,-1,99
34,265,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141356,3577690,1104343.75,1750154438378.6067,2670,3888.6153846153843,2561,1876.1904761904761,34790,509.5184770436731,1.9626373626373621,-1,-1,99
35,273,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141357,3577946,1104351.5625,1750154438386.4192,2657,3869.6820512820509,2541,1861.5384615384614,34790,509.5184770436731,1.9626373626373621,-1,-1,99
36,281,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141358,3578202,1104359.375,1750154438394.2317,2671,3890.0717948717947,2557,1873.2600732600731,34790,509.5184770436731,1.9626373626373621,-1,-1,99
37,289,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141359,3578458,1104367.1875,1750154438402.0442,2672,3891.5282051282047,2561,1876.1904761904761,34790,509.5184770436731,1.9626373626373621,-1,-1,99
38,297,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141360,3578714,1104375,1750154438409.8567,2672,3891.5282051282047,2563,1877.6556776556774,34790,509.5184770436731,1.9626373626373621,-1,-1,99
39,304,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141361,3578970,1104382.8125,1750154438417.6692,2656,3868.2256410256409,2537,1858.6080586080584,34790,509.5184770436731,1.9626373626373621,-1,-1,99
40,312,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141362,3579226,1104390.625,1750154438425.4817,2672,3891.5282051282047,2551,1868.8644688644688,34790,509.5184770436731,1.9626373626373621,-1,-1,99
41,320,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141363,3579482,1104398.4375,1750154438433.2942,2672,3891.5282051282047,2558,1873.9926739926739,34790,509.5184770436731,1.9626373626373621,-1,-1,99
42,328,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,141364,3579738,1104406.25,1750154438441.1067,2672,3891.5282051282047,2561,1876.1904761904761,34789,509.89914082928658,1.9611721611721609,-1,-1,99
