Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616820,7855962,4818906.25,1750158152941.1067,2642,3847.8358974358971,2445,1791.2087912087911,17941,223.98799313893656,4.4645250220163115,-1,-1,99
3,18,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616821,7856218,4818914.0625,1750158152948.9192,2643,3849.2923076923071,2457,1799.9999999999998,17942,223.73215305539694,4.4696302536023786,-1,-1,99
4,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616822,7856474,4818921.875,1750158152956.7317,2643,3849.2923076923071,2463,1804.3956043956043,17942,223.73215305539694,4.4696302536023786,-1,-1,99
5,34,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616823,7856730,4818929.6875,1750158152964.5442,2625,3823.0769230769224,2432,1781.6849816849815,17942,223.73215305539694,4.4696302536023786,-1,-1,99
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616824,7856986,4818937.5,1750158152972.3567,2643,3849.2923076923071,2450,1794.8717948717947,17942,223.73215305539694,4.4696302536023786,-1,-1,99
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616825,7857242,4818945.3125,1750158152980.1692,2643,3849.2923076923071,2459,1801.4652014652013,17941,223.98799313893656,4.4645250220163115,-1,-1,99
8,57,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616826,7857498,4818953.125,1750158152987.9817,2643,3849.2923076923071,2464,1805.1282051282051,17941,223.98799313893656,4.4645250220163115,-1,-1,99
9,65,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616827,7857754,4818960.9375,1750158152995.7942,2625,3823.0769230769224,2433,1782.4175824175823,17940,224.24441900400689,4.4594197904302426,-1,-1,99
10,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616828,7858010,4818968.75,1750158153003.6067,2643,3849.2923076923071,2450,1794.8717948717947,17939,224.50143266475646,4.4543145588441746,-1,-1,99
11,81,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616829,7858266,4818976.5625,1750158153011.4192,2626,3824.5333333333328,2426,1777.2893772893772,17938,224.75903614457832,4.4492093272581075,-1,-1,99
12,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616830,7858522,4818984.375,1750158153019.2317,2644,3850.7487179487175,2442,1789.0109890109889,17937,225.01723147616315,4.4441040956720395,-1,-1,99
13,96,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616831,7858778,4818992.1875,1750158153027.0442,2626,3824.5333333333328,2422,1774.3589743589741,17936,225.27602070155271,4.4389988640859697,-1,-1,99
14,104,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616832,7859034,4819000,1750158153034.8567,2643,3849.2923076923071,2444,1790.4761904761904,17934,225.79538904899138,4.4287884009138363,-1,-1,99
15,112,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616833,7859290,4819007.8125,1750158153042.6692,2626,3824.5333333333328,2423,1775.0915750915749,17933,226.05597230236586,4.4236831693277683,-1,-1,99
16,120,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616834,7859546,4819015.625,1750158153050.4817,2643,3849.2923076923071,2445,1791.2087912087911,17931,226.57894736842107,4.4134727061556331,-1,-1,99
17,128,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616835,7859802,4819023.4375,1750158153058.2942,2626,3824.5333333333328,2423,1775.0915750915749,17930,226.8413433700058,4.4083674745695651,-1,-1,99
18,135,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616836,7860058,4819031.25,1750158153066.1067,2643,3849.2923076923071,2445,1791.2087912087911,17929,227.10434782608698,4.4032622429834971,-1,-1,99
19,143,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616837,7860314,4819039.0625,1750158153073.9192,2643,3849.2923076923071,2456,1799.2673992673992,17929,227.10434782608698,4.4032622429834971,-1,-1,99
20,151,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616838,7860570,4819046.875,1750158153081.7317,2643,3849.2923076923071,2463,1804.3956043956043,17929,227.10434782608698,4.4032622429834971,-1,-1,99
21,159,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616839,7860826,4819054.6875,1750158153089.5442,2626,3824.5333333333328,2433,1782.4175824175823,17928,227.36796285548471,4.3981570113974282,-1,-1,99
22,167,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616840,7861082,4819062.5,1750158153097.3567,2643,3849.2923076923071,2451,1795.6043956043954,17926,227.89703315881326,4.387946548225294,-1,-1,99
23,175,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616841,7861338,4819070.3125,1750158153105.1692,2643,3849.2923076923071,2459,1801.4652014652013,17925,228.16249271986024,4.382841316639225,-1,-1,99
24,182,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616842,7861594,4819078.125,1750158153112.9817,2644,3850.7487179487175,2460,1802.197802197802,17925,228.16249271986024,4.382841316639225,-1,-1,99
25,190,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616843,7861850,4819085.9375,1750158153120.7942,2625,3823.0769230769224,2431,1780.9523809523807,17928,227.36796285548471,4.3981570113974282,-1,-1,99
26,198,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616844,7862106,4819093.75,1750158153128.6067,2642,3847.8358974358971,2444,1790.4761904761904,17935,225.53540587219345,4.4338936324999043,-1,-1,99
27,206,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616845,7862362,4819101.5625,1750158153136.4192,2625,3823.0769230769224,2422,1774.3589743589741,17938,224.75903614457832,4.4492093272581075,-1,-1,99
28,214,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616846,7862618,4819109.375,1750158153144.2317,2643,3849.2923076923071,2444,1790.4761904761904,17941,223.98799313893656,4.4645250220163115,-1,-1,99
29,221,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616847,7862874,4819117.1875,1750158153152.0442,2624,3821.6205128205124,2417,1770.6959706959706,17942,223.73215305539694,4.4696302536023786,-1,-1,99
30,229,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616848,7863130,4819125,1750158153159.8567,2643,3849.2923076923071,2441,1788.2783882783881,17943,223.47689674843127,4.4747354851884467,-1,-1,99
31,237,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616849,7863386,4819132.8125,1750158153167.6692,2643,3849.2923076923071,2454,1797.8021978021977,17944,223.22222222222226,4.4798407167745138,-1,-1,99
32,245,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616850,7863642,4819140.625,1750158153175.4817,2643,3849.2923076923071,2462,1803.6630036630036,17944,223.22222222222226,4.4798407167745138,-1,-1,99
33,253,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616851,7863898,4819148.4375,1750158153183.2942,2625,3823.0769230769224,2432,1781.6849816849815,17945,222.96812749003988,4.4849459483605818,-1,-1,99
34,260,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616852,7864154,4819156.25,1750158153191.1067,2643,3849.2923076923071,2449,1794.1391941391939,17945,222.96812749003988,4.4849459483605818,-1,-1,99
35,268,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616853,7864410,4819164.0625,1750158153198.9192,2643,3849.2923076923071,2459,1801.4652014652013,17945,222.96812749003988,4.4849459483605818,-1,-1,99
36,276,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616854,7864666,4819171.875,1750158153206.7317,2643,3849.2923076923071,2464,1805.1282051282051,17946,222.71461057418989,4.4900511799466498,-1,-1,99
37,284,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616855,7864922,4819179.6875,1750158153214.5442,2626,3824.5333333333328,2434,1783.150183150183,17946,222.71461057418989,4.4900511799466498,-1,-1,99
38,292,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616856,7865178,4819187.5,1750158153222.3567,2643,3849.2923076923071,2451,1795.6043956043954,17945,222.96812749003988,4.4849459483605818,-1,-1,99
39,300,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616857,7865434,4819195.3125,1750158153230.1692,2643,3849.2923076923071,2460,1802.197802197802,17944,223.22222222222226,4.4798407167745138,-1,-1,99
40,307,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616858,7865690,4819203.125,1750158153237.9817,2642,3847.8358974358971,2459,1801.4652014652013,17943,223.47689674843127,4.4747354851884467,-1,-1,99
41,315,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616859,7865946,4819210.9375,1750158153245.7942,2624,3821.6205128205124,2425,1776.5567765567764,17941,223.98799313893656,4.4645250220163115,-1,-1,99
42,323,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616860,7866202,4819218.75,1750158153253.6067,2643,3849.2923076923071,2446,1791.9413919413919,17938,224.75903614457832,4.4492093272581075,-1,-1,99
43,331,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616861,7866458,4819226.5625,1750158153261.4192,2643,3849.2923076923071,2457,1799.9999999999998,17935,225.53540587219345,4.4338936324999043,-1,-1,99
44,339,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616862,7866714,4819234.375,1750158153269.2317,2643,3849.2923076923071,2463,1804.3956043956043,17934,225.79538904899138,4.4287884009138363,-1,-1,99
45,346,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616863,7866970,4819242.1875,1750158153277.0442,2626,3824.5333333333328,2433,1782.4175824175823,17932,226.31715771230503,4.4185779377417012,-1,-1,99
46,354,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616864,7867226,4819250,1750158153284.8567,2643,3849.2923076923071,2450,1794.8717948717947,17931,226.57894736842107,4.4134727061556331,-1,-1,99
47,362,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616865,7867482,4819257.8125,1750158153292.6692,2643,3849.2923076923071,2460,1802.197802197802,17929,227.10434782608698,4.4032622429834971,-1,-1,99
48,370,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616866,7867738,4819265.625,1750158153300.4817,2643,3849.2923076923071,2465,1805.8608058608058,17928,227.36796285548471,4.3981570113974282,-1,-1,99
49,378,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616867,7867994,4819273.4375,1750158153308.2942,2625,3823.0769230769224,2433,1782.4175824175823,17926,227.89703315881326,4.387946548225294,-1,-1,99
50,385,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616868,7868250,4819281.25,1750158153316.1067,2643,3849.2923076923071,2450,1794.8717948717947,17924,228.42857142857144,4.3777360850531579,-1,-1,99
51,393,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616869,7868506,4819289.0625,1750158153323.9192,2644,3850.7487179487175,2455,1798.5347985347985,17922,228.96259497369959,4.3675256218810219,-1,-1,99
52,401,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616870,7868762,4819296.875,1750158153331.7317,2643,3849.2923076923071,2462,1803.6630036630036,17921,229.2305441778818,4.3624203902949548,-1,-1,99
53,409,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616871,7869018,4819304.6875,1750158153339.5442,2626,3824.5333333333328,2433,1782.4175824175823,17919,229.76832844574787,4.3522099271228178,-1,-1,99
54,417,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616872,7869274,4819312.5,1750158153347.3567,2643,3849.2923076923071,2450,1794.8717948717947,17918,230.03816793893137,4.3471046955367498,-1,-1,99
55,425,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616873,7869530,4819320.3125,1750158153355.1692,2643,3849.2923076923071,2459,1801.4652014652013,17916,230.5797527957622,4.3368942323646156,-1,-1,99
56,432,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616874,7869786,4819328.125,1750158153362.9817,2642,3847.8358974358971,2459,1801.4652014652013,17915,230.85150265173834,4.3317890007785484,-1,-1,99
57,440,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616875,7870042,4819335.9375,1750158153370.7942,2623,3820.1641025641024,2429,1779.4871794871794,17914,231.12389380530973,4.3266837691924804,-1,-1,99
58,448,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616876,7870298,4819343.75,1750158153378.6067,2642,3847.8358974358971,2442,1789.0109890109889,17912,231.67060910703734,4.3164733060203435,-1,-1,99
59,456,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616877,7870554,4819351.5625,1750158153386.4192,2642,3847.8358974358971,2450,1794.8717948717947,17908,232.7718360071301,4.2960523796760732,-1,-1,99
60,464,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616878,7870810,4819359.375,1750158153394.2317,2642,3847.8358974358971,2454,1797.8021978021977,17899,235.28828828828827,4.2501052954014638,-1,-1,99
61,471,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616879,7871066,4819367.1875,1750158153402.0442,2624,3821.6205128205124,2422,1774.3589743589741,17892,237.28346456692918,4.2143686742989868,-1,-1,99
62,479,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616880,7871322,4819375,1750158153409.8567,2642,3847.8358974358971,2439,1786.8131868131868,17895,236.4242607121304,4.2296843690571899,-1,-1,99
63,487,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616881,7871578,4819382.8125,1750158153417.6692,2643,3849.2923076923071,2453,1797.069597069597,17896,236.13924050632917,4.2347896006432579,-1,-1,99
64,495,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616882,7871834,4819390.625,1750158153425.4817,2643,3849.2923076923071,2461,1802.9304029304028,17896,236.13924050632917,4.2347896006432579,-1,-1,99
65,503,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616883,7872090,4819398.4375,1750158153433.2942,2624,3821.6205128205124,2426,1777.2893772893772,17896,236.13924050632917,4.2347896006432579,-1,-1,99
66,510,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616884,7872346,4819406.25,1750158153441.1067,2642,3847.8358974358971,2441,1788.2783882783881,17894,236.70996978851969,4.2245791374711228,-1,-1,99
67,518,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616885,7872602,4819414.0625,1750158153448.9192,2642,3847.8358974358971,2449,1794.1391941391939,17894,236.70996978851969,4.2245791374711228,-1,-1,99
68,526,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616886,7872858,4819421.875,1750158153456.7317,2622,3818.707692307692,2418,1771.4285714285713,17893,236.99637023593473,4.2194739058850539,-1,-1,99
69,534,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616887,7873114,4819429.6875,1750158153464.5442,2625,3823.0769230769224,2408,1764.102564102564,17893,236.99637023593473,4.2194739058850539,-1,-1,99
70,542,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616888,7873370,4819437.5,1750158153472.3567,2643,3849.2923076923071,2436,1784.6153846153845,17894,236.70996978851969,4.2245791374711228,-1,-1,99
71,550,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616889,7873626,4819445.3125,1750158153480.1692,2643,3849.2923076923071,2451,1795.6043956043954,17894,236.70996978851969,4.2245791374711228,-1,-1,99
72,557,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616890,7873882,4819453.125,1750158153487.9817,2642,3847.8358974358971,2455,1798.5347985347985,17894,236.70996978851969,4.2245791374711228,-1,-1,99
73,565,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616891,7874138,4819460.9375,1750158153495.7942,2624,3821.6205128205124,2423,1775.0915750915749,17896,236.13924050632917,4.2347896006432579,-1,-1,99
74,573,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616892,7874394,4819468.75,1750158153503.6067,2643,3849.2923076923071,2444,1790.4761904761904,17897,235.85490668272124,4.2398948322293268,-1,-1,99
75,581,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616893,7874650,4819476.5625,1750158153511.4192,2643,3849.2923076923071,2456,1799.2673992673992,17898,235.57125676488272,4.2450000638153957,-1,-1,99
76,589,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616894,7874906,4819484.375,1750158153519.2317,2643,3849.2923076923071,2463,1804.3956043956043,17899,235.28828828828827,4.2501052954014638,-1,-1,99
77,596,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616895,7875162,4819492.1875,1750158153527.0442,2625,3823.0769230769224,2432,1781.6849816849815,17900,235.00599880023992,4.2552105269875309,-1,-1,99
78,604,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616896,7875418,4819500,1750158153534.8567,2643,3849.2923076923071,2450,1794.8717948717947,17900,235.00599880023992,4.2552105269875309,-1,-1,99
79,612,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616897,7875674,4819507.8125,1750158153542.6692,2642,3847.8358974358971,2454,1797.8021978021977,17900,235.00599880023992,4.2552105269875309,-1,-1,99
80,620,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616898,7875930,4819515.625,1750158153550.4817,2642,3847.8358974358971,2456,1799.2673992673992,17900,235.00599880023992,4.2552105269875309,-1,-1,99
81,628,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616899,7876186,4819523.4375,1750158153558.2942,2624,3821.6205128205124,2424,1775.8241758241757,17900,235.00599880023992,4.2552105269875309,-1,-1,99
82,635,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,616900,7876442,4819531.25,1750158153566.1067,2642,3847.8358974358971,2440,1787.5457875457873,17900,235.00599880023992,4.2552105269875309,-1,-1,99
