Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261631,9534683,2043992.1875,1750174694759.5889,2641,3846.3794871794871,2435,1783.8827838827838,18010,207.6073131955485,4.8167860014549904,-1,-1,99
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261632,9534939,2044000,1750174694767.4014,2641,3846.3794871794871,2445,1791.2087912087911,18009,207.82758620689654,4.8116807698689232,-1,-1,99
4,24,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261633,9535195,2044007.8125,1750174694775.2139,2640,3844.9230769230767,2445,1791.2087912087911,18009,207.82758620689654,4.8116807698689232,-1,-1,99
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261634,9535451,2044015.625,1750174694783.0264,2622,3818.707692307692,2416,1769.9633699633698,18010,207.6073131955485,4.8167860014549904,-1,-1,99
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261635,9535707,2044023.4375,1750174694790.8389,2640,3844.9230769230767,2430,1780.2197802197802,18009,207.82758620689654,4.8116807698689232,-1,-1,99
7,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261636,9535963,2044031.25,1750174694798.6514,2641,3846.3794871794871,2442,1789.0109890109889,18009,207.82758620689654,4.8116807698689232,-1,-1,99
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261637,9536219,2044039.0625,1750174694806.4639,2641,3846.3794871794871,2448,1793.4065934065932,18009,207.82758620689654,4.8116807698689232,-1,-1,99
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261638,9536475,2044046.875,1750174694814.2764,2622,3818.707692307692,2417,1770.6959706959706,18008,208.04832713754655,4.8065755382828534,-1,-1,99
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261639,9536731,2044054.6875,1750174694822.0889,2642,3847.8358974358971,2436,1784.6153846153845,18008,208.04832713754655,4.8065755382828534,-1,-1,99
11,79,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261640,9536987,2044062.5,1750174694829.9014,2641,3846.3794871794871,2445,1791.2087912087911,18008,208.04832713754655,4.8065755382828534,-1,-1,99
12,86,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261641,9537243,2044070.3125,1750174694837.7139,2640,3844.9230769230767,2445,1791.2087912087911,18007,208.26953748006386,4.8014703066967863,-1,-1,99
13,94,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261642,9537499,2044078.125,1750174694845.5264,2622,3818.707692307692,2416,1769.9633699633698,18006,208.49121873336887,4.7963650751107183,-1,-1,99
14,102,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261643,9537755,2044085.9375,1750174694853.3389,2641,3846.3794871794871,2434,1783.150183150183,18006,208.49121873336887,4.7963650751107183,-1,-1,99
15,110,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261644,9538011,2044093.75,1750174694861.1514,2642,3847.8358974358971,2445,1791.2087912087911,18005,208.71337240277037,4.7912598435246521,-1,-1,99
16,118,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261645,9538267,2044101.5625,1750174694868.9639,2640,3844.9230769230767,2445,1791.2087912087911,18005,208.71337240277037,4.7912598435246521,-1,-1,99
17,125,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261646,9538523,2044109.375,1750174694876.7764,2622,3818.707692307692,2416,1769.9633699633698,18005,208.71337240277037,4.7912598435246521,-1,-1,99
18,133,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261647,9538779,2044117.1875,1750174694884.5889,2641,3846.3794871794871,2434,1783.150183150183,18004,208.93600000000001,4.786154611938584,-1,-1,99
19,141,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261648,9539035,2044125,1750174694892.4014,2641,3846.3794871794871,2445,1791.2087912087911,18003,209.15910304324612,4.7810493803525169,-1,-1,99
20,149,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261649,9539291,2044132.8125,1750174694900.2139,2640,3844.9230769230767,2445,1791.2087912087911,18003,209.15910304324612,4.7810493803525169,-1,-1,99
21,157,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261650,9539547,2044140.625,1750174694908.0264,2622,3818.707692307692,2416,1769.9633699633698,18003,209.15910304324612,4.7810493803525169,-1,-1,99
22,165,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261651,9539803,2044148.4375,1750174694915.8389,2641,3846.3794871794871,2435,1783.8827838827838,18002,209.38268305718867,4.7759441487664489,-1,-1,99
23,172,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261652,9540059,2044156.25,1750174694923.6514,2621,3817.251282051282,2409,1764.8351648351647,18002,209.38268305718867,4.7759441487664489,-1,-1,99
24,180,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261653,9540315,2044164.0625,1750174694931.4639,2641,3846.3794871794871,2431,1780.9523809523807,18002,209.38268305718867,4.7759441487664489,-1,-1,99
25,188,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261654,9540571,2044171.875,1750174694939.2764,2622,3818.707692307692,2408,1764.102564102564,18002,209.38268305718867,4.7759441487664489,-1,-1,99
26,196,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261655,9540827,2044179.6875,1750174694947.0889,2642,3847.8358974358971,2431,1780.9523809523807,18002,209.38268305718867,4.7759441487664489,-1,-1,99
27,204,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261656,9541083,2044187.5,1750174694954.9014,2641,3846.3794871794871,2443,1789.7435897435896,18002,209.38268305718867,4.7759441487664489,-1,-1,99
28,211,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261657,9541339,2044195.3125,1750174694962.7139,2640,3844.9230769230767,2444,1790.4761904761904,18002,209.38268305718867,4.7759441487664489,-1,-1,99
29,219,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261658,9541595,2044203.125,1750174694970.5264,2622,3818.707692307692,2415,1769.2307692307691,18002,209.38268305718867,4.7759441487664489,-1,-1,99
30,227,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261659,9541851,2044210.9375,1750174694978.3389,2642,3847.8358974358971,2435,1783.8827838827838,18001,209.6067415730337,4.7708389171803809,-1,-1,99
31,235,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261660,9542107,2044218.75,1750174694986.1514,2642,3847.8358974358971,2446,1791.9413919413919,18001,209.6067415730337,4.7708389171803809,-1,-1,99
32,243,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261661,9542363,2044226.5625,1750174694993.9639,2640,3844.9230769230767,2446,1791.9413919413919,18001,209.6067415730337,4.7708389171803809,-1,-1,99
33,250,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261662,9542619,2044234.375,1750174695001.7764,2622,3818.707692307692,2416,1769.9633699633698,18002,209.38268305718867,4.7759441487664489,-1,-1,99
34,258,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261663,9542875,2044242.1875,1750174695009.5889,2641,3846.3794871794871,2435,1783.8827838827838,18002,209.38268305718867,4.7759441487664489,-1,-1,99
35,266,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261664,9543131,2044250,1750174695017.4014,2642,3847.8358974358971,2445,1791.2087912087911,18001,209.6067415730337,4.7708389171803809,-1,-1,99
36,274,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261665,9543387,2044257.8125,1750174695025.2139,2641,3846.3794871794871,2451,1795.6043956043954,18001,209.6067415730337,4.7708389171803809,-1,-1,99
37,282,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261666,9543643,2044265.625,1750174695033.0264,2622,3818.707692307692,2419,1772.1611721611721,18001,209.6067415730337,4.7708389171803809,-1,-1,99
38,290,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261667,9543899,2044273.4375,1750174695040.8389,2641,3846.3794871794871,2436,1784.6153846153845,18000,209.83128012854854,4.7657336855943111,-1,-1,99
39,297,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261668,9544155,2044281.25,1750174695048.6514,2642,3847.8358974358971,2446,1791.9413919413919,18000,209.83128012854854,4.7657336855943111,-1,-1,99
40,305,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261669,9544411,2044289.0625,1750174695056.4639,2641,3846.3794871794871,2451,1795.6043956043954,18000,209.83128012854854,4.7657336855943111,-1,-1,99
41,313,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261670,9544667,2044296.875,1750174695064.2764,2622,3818.707692307692,2419,1772.1611721611721,18000,209.83128012854854,4.7657336855943111,-1,-1,99
42,321,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,261671,9544923,2044304.6875,1750174695072.0889,2641,3846.3794871794871,2436,1784.6153846153845,18001,209.6067415730337,4.7708389171803809,-1,-1,99
