Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108946,12044468,851140.625,1750681117446.4658,2601,3788.1230769230765,2332,1708.4249084249084,1195,53.534634146341482,18.679496291436582,-1,-1,100
3,14,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108947,12044724,851148.4375,1750681117454.2783,2619,3814.3384615384612,2351,1722.3443223443223,1195,53.534634146341482,18.679496291436582,-1,-1,100
4,22,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108948,12044980,851156.25,1750681117462.0908,2620,3815.7948717948716,2357,1726.7399267399267,1195,53.534634146341482,18.679496291436582,-1,-1,100
5,30,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108949,12045236,851164.0625,1750681117469.9033,2619,3814.3384615384612,2365,1732.6007326007325,1195,53.534634146341482,18.679496291436582,-1,-1,100
6,38,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108950,12045492,851171.875,1750681117477.7158,2600,3786.6666666666665,2326,1704.0293040293038,1195,53.534634146341482,18.679496291436582,-1,-1,100
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108951,12045748,851179.6875,1750681117485.5283,2620,3815.7948717948716,2344,1717.216117216117,1195,53.534634146341482,18.679496291436582,-1,-1,100
8,53,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108952,12046004,851187.5,1750681117493.3408,2620,3815.7948717948716,2354,1724.5421245421244,1195,53.534634146341482,18.679496291436582,-1,-1,100
9,61,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108953,12046260,851195.3125,1750681117501.1533,2619,3814.3384615384612,2363,1731.135531135531,1195,53.534634146341482,18.679496291436582,-1,-1,100
10,69,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108954,12046516,851203.125,1750681117508.9658,2601,3788.1230769230765,2330,1706.9597069597069,1195,53.534634146341482,18.679496291436582,-1,-1,100
11,77,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108955,12046772,851210.9375,1750681117516.7783,2619,3814.3384615384612,2350,1721.6117216117216,1194,53.639296187683307,18.643048493794755,-1,-1,100
12,85,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108956,12047028,851218.75,1750681117524.5908,2619,3814.3384615384612,2361,1729.6703296703295,1194,53.639296187683307,18.643048493794755,-1,-1,100
13,93,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108957,12047284,851226.5625,1750681117532.4033,2619,3814.3384615384612,2367,1734.065934065934,1194,53.639296187683307,18.643048493794755,-1,-1,100
14,100,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108958,12047540,851234.375,1750681117540.2158,2601,3788.1230769230765,2332,1708.4249084249084,1194,53.639296187683307,18.643048493794755,-1,-1,100
15,108,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108959,12047796,851242.1875,1750681117548.0283,2620,3815.7948717948716,2347,1719.4139194139193,1194,53.639296187683307,18.643048493794755,-1,-1,100
16,116,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108960,12048052,851250,1750681117555.8408,2619,3814.3384615384612,2359,1728.2051282051282,1194,53.639296187683307,18.643048493794755,-1,-1,100
17,124,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108961,12048308,851257.8125,1750681117563.6533,2619,3814.3384615384612,2366,1733.3333333333333,1194,53.639296187683307,18.643048493794755,-1,-1,100
18,132,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108962,12048564,851265.625,1750681117571.4658,2600,3786.6666666666665,2326,1704.0293040293038,1194,53.639296187683307,18.643048493794755,-1,-1,100
19,139,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108963,12048820,851273.4375,1750681117579.2783,2619,3814.3384615384612,2348,1720.1465201465201,1193,53.744368266405488,18.606600696152935,-1,-1,100
20,147,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108964,12049076,851281.25,1750681117587.0908,2620,3815.7948717948716,2356,1726.0073260073259,1193,53.744368266405488,18.606600696152935,-1,-1,100
21,155,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108965,12049332,851289.0625,1750681117594.9033,2619,3814.3384615384612,2364,1731.8681318681317,1193,53.744368266405488,18.606600696152935,-1,-1,100
22,163,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108966,12049588,851296.875,1750681117602.7158,2600,3786.6666666666665,2325,1703.2967032967031,1193,53.744368266405488,18.606600696152935,-1,-1,100
23,171,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108967,12049844,851304.6875,1750681117610.5283,2619,3814.3384615384612,2347,1719.4139194139193,1193,53.744368266405488,18.606600696152935,-1,-1,100
24,178,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108968,12050100,851312.5,1750681117618.3408,2620,3815.7948717948716,2355,1725.2747252747251,1193,53.744368266405488,18.606600696152935,-1,-1,100
25,186,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108969,12050356,851320.3125,1750681117626.1533,2619,3814.3384615384612,2364,1731.8681318681317,1192,53.849852796859672,18.570152898511104,-1,-1,100
26,194,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108970,12050612,851328.125,1750681117633.9658,2601,3788.1230769230765,2330,1706.9597069597069,1193,53.744368266405488,18.606600696152935,-1,-1,100
27,202,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108971,12050868,851335.9375,1750681117641.7783,2620,3815.7948717948716,2346,1718.6813186813185,1192,53.849852796859672,18.570152898511104,-1,-1,100
28,210,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108972,12051124,851343.75,1750681117649.5908,2620,3815.7948717948716,2355,1725.2747252747251,1193,53.744368266405488,18.606600696152935,-1,-1,100
29,218,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108973,12051380,851351.5625,1750681117657.4033,2619,3814.3384615384612,2364,1731.8681318681317,1192,53.849852796859672,18.570152898511104,-1,-1,100
30,225,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108974,12051636,851359.375,1750681117665.2158,2601,3788.1230769230765,2330,1706.9597069597069,1192,53.849852796859672,18.570152898511104,-1,-1,100
31,233,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108975,12051892,851367.1875,1750681117673.0283,2619,3814.3384615384612,2350,1721.6117216117216,1192,53.849852796859672,18.570152898511104,-1,-1,100
32,241,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108976,12052148,851375,1750681117680.8408,2600,3786.6666666666665,2317,1697.4358974358972,1192,53.849852796859672,18.570152898511104,-1,-1,100
33,249,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108977,12052404,851382.8125,1750681117688.6533,2619,3814.3384615384612,2344,1717.216117216117,1192,53.849852796859672,18.570152898511104,-1,-1,100
34,257,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108978,12052660,851390.625,1750681117696.4658,2602,3789.5794871794869,2320,1699.6336996336995,1192,53.849852796859672,18.570152898511104,-1,-1,100
35,264,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108979,12052916,851398.4375,1750681117704.2783,2619,3814.3384615384612,2345,1717.9487179487178,1192,53.849852796859672,18.570152898511104,-1,-1,100
36,272,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108980,12053172,851406.25,1750681117712.0908,2621,3817.251282051282,2359,1728.2051282051282,1192,53.849852796859672,18.570152898511104,-1,-1,100
37,280,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108981,12053428,851414.0625,1750681117719.9033,2619,3814.3384615384612,2366,1733.3333333333333,1192,53.849852796859672,18.570152898511104,-1,-1,100
38,288,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108982,12053684,851421.875,1750681117727.7158,2600,3786.6666666666665,2326,1704.0293040293038,1191,53.955752212389399,18.533705100869273,-1,-1,100
39,296,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108983,12053940,851429.6875,1750681117735.5283,2619,3814.3384615384612,2348,1720.1465201465201,1191,53.955752212389399,18.533705100869273,-1,-1,100
40,303,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108984,12054196,851437.5,1750681117743.3408,2619,3814.3384615384612,2360,1728.9377289377289,1191,53.955752212389399,18.533705100869273,-1,-1,100
41,311,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108985,12054452,851445.3125,1750681117751.1533,2619,3814.3384615384612,2366,1733.3333333333333,1191,53.955752212389399,18.533705100869273,-1,-1,100
42,319,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108986,12054708,851453.125,1750681117758.9658,2601,3788.1230769230765,2332,1708.4249084249084,1191,53.955752212389399,18.533705100869273,-1,-1,100
43,327,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108987,12054964,851460.9375,1750681117766.7783,2620,3815.7948717948716,2347,1719.4139194139193,1191,53.955752212389399,18.533705100869273,-1,-1,100
44,335,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108988,12055220,851468.75,1750681117774.5908,2620,3815.7948717948716,2356,1726.0073260073259,1191,53.955752212389399,18.533705100869273,-1,-1,100
45,343,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108989,12055476,851476.5625,1750681117782.4033,2619,3814.3384615384612,2364,1731.8681318681317,1191,53.955752212389399,18.533705100869273,-1,-1,100
46,350,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108990,12055732,851484.375,1750681117790.2158,2602,3789.5794871794869,2331,1707.6923076923076,1191,53.955752212389399,18.533705100869273,-1,-1,100
47,358,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108991,12055988,851492.1875,1750681117798.0283,2620,3815.7948717948716,2347,1719.4139194139193,1190,54.062068965517263,18.497257303227446,-1,-1,100
48,366,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108992,12056244,851500,1750681117805.8408,2619,3814.3384615384612,2359,1728.2051282051282,1191,53.955752212389399,18.533705100869273,-1,-1,100
49,374,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108993,12056500,851507.8125,1750681117813.6533,2619,3814.3384615384612,2365,1732.6007326007325,1191,53.955752212389399,18.533705100869273,-1,-1,100
50,382,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108994,12056756,851515.625,1750681117821.4658,2602,3789.5794871794869,2332,1708.4249084249084,1190,54.062068965517263,18.497257303227446,-1,-1,100
51,389,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108995,12057012,851523.4375,1750681117829.2783,2620,3815.7948717948716,2348,1720.1465201465201,1190,54.062068965517263,18.497257303227446,-1,-1,100
52,397,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108996,12057268,851531.25,1750681117837.0908,2620,3815.7948717948716,2356,1726.0073260073259,1190,54.062068965517263,18.497257303227446,-1,-1,100
53,405,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108997,12057524,851539.0625,1750681117844.9033,2619,3814.3384615384612,2364,1731.8681318681317,1190,54.062068965517263,18.497257303227446,-1,-1,100
54,413,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108998,12057780,851546.875,1750681117852.7158,2602,3789.5794871794869,2331,1707.6923076923076,1190,54.062068965517263,18.497257303227446,-1,-1,100
55,421,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,108999,12058036,851554.6875,1750681117860.5283,2620,3815.7948717948716,2347,1719.4139194139193,1190,54.062068965517263,18.497257303227446,-1,-1,100
56,428,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109000,12058292,851562.5,1750681117868.3408,2620,3815.7948717948716,2355,1725.2747252747251,1190,54.062068965517263,18.497257303227446,-1,-1,100
57,436,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109001,12058548,851570.3125,1750681117876.1533,2619,3814.3384615384612,2364,1731.8681318681317,1189,54.168805528134271,18.460809505585619,-1,-1,100
58,444,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109002,12058804,851578.125,1750681117883.9658,2601,3788.1230769230765,2330,1706.9597069597069,1189,54.168805528134271,18.460809505585619,-1,-1,100
59,452,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109003,12059060,851585.9375,1750681117891.7783,2619,3814.3384615384612,2350,1721.6117216117216,1189,54.168805528134271,18.460809505585619,-1,-1,100
60,460,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109004,12059316,851593.75,1750681117899.5908,2620,3815.7948717948716,2357,1726.7399267399267,1189,54.168805528134271,18.460809505585619,-1,-1,100
61,468,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109005,12059572,851601.5625,1750681117907.4033,2619,3814.3384615384612,2364,1731.8681318681317,1189,54.168805528134271,18.460809505585619,-1,-1,100
62,475,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109006,12059828,851609.375,1750681117915.2158,2602,3789.5794871794869,2332,1708.4249084249084,1189,54.168805528134271,18.460809505585619,-1,-1,100
63,483,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109007,12060084,851617.1875,1750681117923.0283,2620,3815.7948717948716,2347,1719.4139194139193,1190,54.062068965517263,18.497257303227446,-1,-1,100
64,491,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109008,12060340,851625,1750681117930.8408,2620,3815.7948717948716,2355,1725.2747252747251,1189,54.168805528134271,18.460809505585619,-1,-1,100
65,499,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109009,12060596,851632.8125,1750681117938.6533,2620,3815.7948717948716,2360,1728.9377289377289,1189,54.168805528134271,18.460809505585619,-1,-1,100
66,507,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109010,12060852,851640.625,1750681117946.4658,2601,3788.1230769230765,2328,1705.4945054945053,1189,54.168805528134271,18.460809505585619,-1,-1,100
67,514,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109011,12061108,851648.4375,1750681117954.2783,2620,3815.7948717948716,2345,1717.9487179487178,1189,54.168805528134271,18.460809505585619,-1,-1,100
68,522,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109012,12061364,851656.25,1750681117962.0908,2620,3815.7948717948716,2354,1724.5421245421244,1189,54.168805528134271,18.460809505585619,-1,-1,100
69,530,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109013,12061620,851664.0625,1750681117969.9033,2619,3814.3384615384612,2363,1731.135531135531,1189,54.168805528134271,18.460809505585619,-1,-1,100
70,538,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109014,12061876,851671.875,1750681117977.7158,2600,3786.6666666666665,2325,1703.2967032967031,1189,54.168805528134271,18.460809505585619,-1,-1,100
71,546,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109015,12062132,851679.6875,1750681117985.5283,2619,3814.3384615384612,2347,1719.4139194139193,1188,54.275964391691396,18.424361707943799,-1,-1,100
72,553,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109016,12062388,851687.5,1750681117993.3408,2620,3815.7948717948716,2355,1725.2747252747251,1188,54.275964391691396,18.424361707943799,-1,-1,100
73,561,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109017,12062644,851695.3125,1750681118001.1533,2619,3814.3384615384612,2364,1731.8681318681317,1188,54.275964391691396,18.424361707943799,-1,-1,100
74,569,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109018,12062900,851703.125,1750681118008.9658,2602,3789.5794871794869,2331,1707.6923076923076,1188,54.275964391691396,18.424361707943799,-1,-1,100
75,577,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109019,12063156,851710.9375,1750681118016.7783,2619,3814.3384615384612,2351,1722.3443223443223,1188,54.275964391691396,18.424361707943799,-1,-1,100
76,585,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109020,12063412,851718.75,1750681118024.5908,2620,3815.7948717948716,2357,1726.7399267399267,1188,54.275964391691396,18.424361707943799,-1,-1,100
77,593,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109021,12063668,851726.5625,1750681118032.4033,2619,3814.3384615384612,2365,1732.6007326007325,1188,54.275964391691396,18.424361707943799,-1,-1,100
78,600,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109022,12063924,851734.375,1750681118040.2158,2602,3789.5794871794869,2332,1708.4249084249084,1188,54.275964391691396,18.424361707943799,-1,-1,100
79,608,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109023,12064180,851742.1875,1750681118048.0283,2619,3814.3384615384612,2351,1722.3443223443223,1188,54.275964391691396,18.424361707943799,-1,-1,100
80,616,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109024,12064436,851750,1750681118055.8408,2620,3815.7948717948716,2357,1726.7399267399267,1188,54.275964391691396,18.424361707943799,-1,-1,100
