Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130428,766644,1018968.75,1750681285274.5908,2599,3785.2102564102561,2319,1698.9010989010987,20247,61.587014620342721,16.23718905948871,-1,-1,100
3,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130429,766900,1018976.5625,1750681285282.4033,2616,3809.9692307692303,2332,1708.4249084249084,20240,61.722861194265001,16.201452438386237,-1,-1,100
4,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130430,767156,1018984.375,1750681285290.2158,2617,3811.4256410256407,2344,1717.216117216117,20236,61.800757217226696,16.181031512041962,-1,-1,100
5,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130431,767412,1018992.1875,1750681285298.0283,2616,3809.9692307692303,2346,1718.6813186813185,20232,61.878850102669411,16.16061058569769,-1,-1,100
6,38,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130432,767668,1019000,1750681285305.8408,2598,3783.7538461538456,2314,1695.2380952380952,20230,61.917970602181136,16.150400122525557,-1,-1,100
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130433,767924,1019007.8125,1750681285313.6533,2618,3812.8820512820507,2335,1710.6227106227104,20227,61.976744186046517,16.135084427767353,-1,-1,100
8,54,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130434,768180,1019015.625,1750681285321.4658,2617,3811.4256410256407,2346,1718.6813186813185,20223,62.055282749881201,16.114663501423081,-1,-1,100
9,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130435,768436,1019023.4375,1750681285329.2783,2616,3809.9692307692303,2347,1719.4139194139193,20219,62.134020618556704,16.094242575078813,-1,-1,100
10,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130436,768692,1019031.25,1750681285337.0908,2598,3783.7538461538456,2314,1695.2380952380952,20216,62.193205270677893,16.078926880320605,-1,-1,100
11,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130437,768948,1019039.0625,1750681285344.9033,2617,3811.4256410256407,2335,1710.6227106227104,20213,62.252502780867637,16.063611185562404,-1,-1,100
12,85,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130438,769204,1019046.875,1750681285352.7158,2617,3811.4256410256407,2345,1717.9487179487178,20212,62.272293752980453,16.058505953976336,-1,-1,100
13,93,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130439,769460,1019054.6875,1750681285360.5283,2616,3809.9692307692303,2347,1719.4139194139193,20211,62.292097312768334,16.053400722390268,-1,-1,100
14,101,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130440,769716,1019062.5,1750681285368.3408,2599,3785.2102564102561,2320,1699.6336996336995,20210,62.311913472244321,16.0482954908042,-1,-1,100
15,109,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130441,769972,1019070.3125,1750681285376.1533,2616,3809.9692307692303,2332,1708.4249084249084,20209,62.331742243436757,16.043190259218132,-1,-1,100
16,117,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130442,770228,1019078.125,1750681285383.9658,2617,3811.4256410256407,2345,1717.9487179487178,20208,62.351583638389307,16.038085027632064,-1,-1,100
17,124,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130443,770484,1019085.9375,1750681285391.7783,2617,3811.4256410256407,2351,1722.3443223443223,20208,62.351583638389307,16.038085027632064,-1,-1,100
18,132,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130444,770740,1019093.75,1750681285399.5908,2598,3783.7538461538456,2317,1697.4358974358972,20208,62.351583638389307,16.038085027632064,-1,-1,100
19,140,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130445,770996,1019101.5625,1750681285407.4033,2617,3811.4256410256407,2336,1711.3553113553112,20208,62.351583638389307,16.038085027632064,-1,-1,100
20,148,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130446,771252,1019109.375,1750681285415.2158,2617,3811.4256410256407,2346,1718.6813186813185,20208,62.351583638389307,16.038085027632064,-1,-1,100
21,156,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130447,771508,1019117.1875,1750681285423.0283,2616,3809.9692307692303,2347,1719.4139194139193,20213,62.252502780867637,16.063611185562404,-1,-1,100
22,163,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130448,771764,1019125,1750681285430.8408,2598,3783.7538461538456,2315,1695.9706959706959,20218,62.153736316039989,16.089137343492741,-1,-1,100
23,171,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130449,772020,1019132.8125,1750681285438.6533,2617,3811.4256410256407,2335,1710.6227106227104,20220,62.114317425083243,16.099347806664881,-1,-1,100
24,179,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130450,772276,1019140.625,1750681285446.4658,2617,3811.4256410256407,2346,1718.6813186813185,20219,62.134020618556704,16.094242575078813,-1,-1,100
25,187,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130451,772532,1019148.4375,1750681285454.2783,2616,3809.9692307692303,2347,1719.4139194139193,20218,62.153736316039989,16.089137343492741,-1,-1,100
26,195,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130452,772788,1019156.25,1750681285462.0908,2598,3783.7538461538456,2314,1695.2380952380952,20216,62.193205270677893,16.078926880320605,-1,-1,100
27,203,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130453,773044,1019164.0625,1750681285469.9033,2617,3811.4256410256407,2335,1710.6227106227104,20214,62.232724384432096,16.068716417148472,-1,-1,100
28,210,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130454,773300,1019171.875,1750681285477.7158,2617,3811.4256410256407,2346,1718.6813186813185,20214,62.232724384432096,16.068716417148472,-1,-1,100
29,218,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130455,773556,1019179.6875,1750681285485.5283,2616,3809.9692307692303,2347,1719.4139194139193,20213,62.252502780867637,16.063611185562404,-1,-1,100
30,226,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130456,773812,1019187.5,1750681285493.3408,2598,3783.7538461538456,2314,1695.2380952380952,20214,62.232724384432096,16.068716417148472,-1,-1,100
31,234,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130457,774068,1019195.3125,1750681285501.1533,2617,3811.4256410256407,2335,1710.6227106227104,20217,62.173464529439777,16.084032111906676,-1,-1,100
32,242,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130458,774324,1019203.125,1750681285508.9658,2617,3811.4256410256407,2346,1718.6813186813185,20217,62.173464529439777,16.084032111906676,-1,-1,100
33,249,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130459,774580,1019210.9375,1750681285516.7783,2616,3809.9692307692303,2347,1719.4139194139193,20218,62.153736316039989,16.089137343492741,-1,-1,100
34,257,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130460,774836,1019218.75,1750681285524.5908,2598,3783.7538461538456,2314,1695.2380952380952,20219,62.134020618556704,16.094242575078813,-1,-1,100
35,265,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130461,775092,1019226.5625,1750681285532.4033,2617,3811.4256410256407,2335,1710.6227106227104,20219,62.134020618556704,16.094242575078813,-1,-1,100
36,273,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130462,775348,1019234.375,1750681285540.2158,2617,3811.4256410256407,2346,1718.6813186813185,20222,62.07494850261449,16.109558269837013,-1,-1,100
37,281,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130463,775604,1019242.1875,1750681285548.0283,2616,3809.9692307692303,2347,1719.4139194139193,20223,62.055282749881201,16.114663501423081,-1,-1,100
38,288,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130464,775860,1019250,1750681285555.8408,2599,3785.2102564102561,2320,1699.6336996336995,20225,62.015988602184585,16.124873964595217,-1,-1,100
39,296,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130465,776116,1019257.8125,1750681285563.6533,2617,3811.4256410256407,2338,1712.8205128205127,20226,61.996360183573358,16.129979196181285,-1,-1,100
40,304,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130466,776372,1019265.625,1750681285571.4658,2617,3811.4256410256407,2348,1720.1465201465201,20226,61.996360183573358,16.129979196181285,-1,-1,100
41,312,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130467,776628,1019273.4375,1750681285579.2783,2616,3809.9692307692303,2347,1719.4139194139193,20226,61.996360183573358,16.129979196181285,-1,-1,100
42,320,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,130468,776884,1019281.25,1750681285587.0908,2599,3785.2102564102561,2320,1699.6336996336995,20227,61.976744186046517,16.135084427767353,-1,-1,100
