Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287476,7416500,2245906.25,1750682512212.0908,2614,3807.0564102564103,2344,1717.216117216117,1164,56.981308411214961,17.549614564539933,-1,-1,99
3,12,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287477,7416756,2245914.0625,1750682512219.9033,2614,3807.0564102564103,2344,1717.216117216117,1164,56.981308411214961,17.549614564539933,-1,-1,99
4,20,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287478,7417012,2245921.875,1750682512227.7158,2613,3805.5999999999999,2343,1716.4835164835163,1164,56.981308411214961,17.549614564539933,-1,-1,99
5,28,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287479,7417268,2245929.6875,1750682512235.5283,2612,3804.1435897435895,2338,1712.8205128205127,1164,56.981308411214961,17.549614564539933,-1,-1,99
6,36,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287480,7417524,2245937.5,1750682512243.3408,2613,3805.5999999999999,2340,1714.2857142857142,1164,56.981308411214961,17.549614564539933,-1,-1,99
7,44,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287481,7417780,2245945.3125,1750682512251.1533,2614,3807.0564102564103,2342,1715.7509157509157,1164,56.981308411214961,17.549614564539933,-1,-1,99
8,51,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287482,7418036,2245953.125,1750682512258.9658,2612,3804.1435897435895,2337,1712.0879120879119,1164,56.981308411214961,17.549614564539933,-1,-1,99
9,59,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287483,7418292,2245960.9375,1750682512266.7783,2614,3807.0564102564103,2340,1714.2857142857142,1164,56.981308411214961,17.549614564539933,-1,-1,99
10,67,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287484,7418548,2245968.75,1750682512274.5908,2613,3805.5999999999999,2341,1715.018315018315,1164,56.981308411214961,17.549614564539933,-1,-1,99
11,75,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287485,7418804,2245976.5625,1750682512282.4033,2614,3807.0564102564103,2343,1716.4835164835163,1164,56.981308411214961,17.549614564539933,-1,-1,99
12,83,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287486,7419060,2245984.375,1750682512290.2158,2612,3804.1435897435895,2337,1712.0879120879119,1164,56.981308411214961,17.549614564539933,-1,-1,99
13,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287487,7419316,2245992.1875,1750682512298.0283,2614,3807.0564102564103,2340,1714.2857142857142,1164,56.981308411214961,17.549614564539933,-1,-1,99
14,98,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287488,7419572,2246000,1750682512305.8408,2614,3807.0564102564103,2342,1715.7509157509157,1164,56.981308411214961,17.549614564539933,-1,-1,99
15,106,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287489,7419828,2246007.8125,1750682512313.6533,2615,3808.5128205128199,2348,1720.1465201465201,1164,56.981308411214961,17.549614564539933,-1,-1,99
16,114,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287490,7420084,2246015.625,1750682512321.4658,2613,3805.5999999999999,2346,1718.6813186813185,1165,56.863212435233173,17.58606236218176,-1,-1,99
17,122,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287491,7420340,2246023.4375,1750682512329.2783,2614,3807.0564102564103,2345,1717.9487179487178,1165,56.863212435233173,17.58606236218176,-1,-1,99
18,129,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287492,7420596,2246031.25,1750682512337.0908,2614,3807.0564102564103,2345,1717.9487179487178,1165,56.863212435233173,17.58606236218176,-1,-1,99
19,137,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287493,7420852,2246039.0625,1750682512344.9033,2614,3807.0564102564103,2345,1717.9487179487178,1165,56.863212435233173,17.58606236218176,-1,-1,99
20,145,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287494,7421108,2246046.875,1750682512352.7158,2613,3805.5999999999999,2343,1716.4835164835163,1165,56.863212435233173,17.58606236218176,-1,-1,99
21,153,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287495,7421364,2246054.6875,1750682512360.5283,2612,3804.1435897435895,2338,1712.8205128205127,1164,56.981308411214961,17.549614564539933,-1,-1,99
22,161,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287496,7421620,2246062.5,1750682512368.3408,2614,3807.0564102564103,2341,1715.018315018315,1165,56.863212435233173,17.58606236218176,-1,-1,99
23,169,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287497,7421876,2246070.3125,1750682512376.1533,2615,3808.5128205128199,2348,1720.1465201465201,1165,56.863212435233173,17.58606236218176,-1,-1,99
24,176,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287498,7422132,2246078.125,1750682512383.9658,2613,3805.5999999999999,2345,1717.9487179487178,1165,56.863212435233173,17.58606236218176,-1,-1,99
25,184,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287499,7422388,2246085.9375,1750682512391.7783,2612,3804.1435897435895,2338,1712.8205128205127,1165,56.863212435233173,17.58606236218176,-1,-1,99
26,192,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287500,7422644,2246093.75,1750682512399.5908,2614,3807.0564102564103,2341,1715.018315018315,1165,56.863212435233173,17.58606236218176,-1,-1,99
27,200,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287501,7422900,2246101.5625,1750682512407.4033,2614,3807.0564102564103,2342,1715.7509157509157,1165,56.863212435233173,17.58606236218176,-1,-1,99
28,208,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287502,7423156,2246109.375,1750682512415.2158,2612,3804.1435897435895,2337,1712.0879120879119,1165,56.863212435233173,17.58606236218176,-1,-1,99
29,215,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287503,7423412,2246117.1875,1750682512423.0283,2614,3807.0564102564103,2340,1714.2857142857142,1165,56.863212435233173,17.58606236218176,-1,-1,99
30,223,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287504,7423668,2246125,1750682512430.8408,2613,3805.5999999999999,2341,1715.018315018315,1165,56.863212435233173,17.58606236218176,-1,-1,99
31,231,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287505,7423924,2246132.8125,1750682512438.6533,2594,3777.9282051282048,2303,1687.1794871794871,1166,56.745604963805597,17.622510159823591,-1,-1,99
32,239,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287506,7424180,2246140.625,1750682512446.4658,2613,3805.5999999999999,2321,1700.3663003663003,1166,56.745604963805597,17.622510159823591,-1,-1,99
33,247,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287507,7424436,2246148.4375,1750682512454.2783,2612,3804.1435897435895,2325,1703.2967032967031,1166,56.745604963805597,17.622510159823591,-1,-1,99
34,254,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287508,7424692,2246156.25,1750682512462.0908,2613,3805.5999999999999,2333,1709.1575091575091,1166,56.745604963805597,17.622510159823591,-1,-1,99
35,262,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287509,7424948,2246164.0625,1750682512469.9033,2614,3807.0564102564103,2338,1712.8205128205127,1166,56.745604963805597,17.622510159823591,-1,-1,99
36,270,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287510,7425204,2246171.875,1750682512477.7158,2613,3805.5999999999999,2340,1714.2857142857142,1166,56.745604963805597,17.622510159823591,-1,-1,99
37,278,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,287511,7425460,2246179.6875,1750682512485.5283,2612,3804.1435897435895,2336,1711.3553113553112,1166,56.745604963805597,17.622510159823591,-1,-1,99
