Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,5,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,468126,4463309,3657234.375,1750759087868.3733,2586,3766.2769230769227,2240,1641.0256410256409,19951,67.90691627665106,14.726040510012638,-1,-1,99
3,13,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,468127,4463565,3657242.1875,1750759087876.1858,2594,3777.9282051282048,2248,1646.8864468864467,19949,67.954032957502164,14.715830046840502,-1,-1,99
4,21,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,468128,4463821,3657250,1750759087883.9983,2594,3777.9282051282048,2252,1649.8168498168498,19949,67.954032957502164,14.715830046840502,-1,-1,99
5,29,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,468129,4464077,3657257.8125,1750759087891.8108,2593,3776.4717948717944,2254,1651.2820512820513,19947,68.001215066828678,14.705619583668364,-1,-1,99
6,37,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,468130,4464333,3657265.625,1750759087899.6233,2585,3764.8205128205127,2239,1640.2930402930401,19947,68.001215066828678,14.705619583668364,-1,-1,99
7,45,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,468131,4464589,3657273.4375,1750759087907.4358,2593,3776.4717948717944,2246,1645.4212454212452,19947,68.001215066828678,14.705619583668364,-1,-1,99
8,52,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,468132,4464845,3657281.25,1750759087915.2483,2593,3776.4717948717944,2250,1648.3516483516482,19946,68.024830699774284,14.700514352082292,-1,-1,99
9,60,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,468133,4465101,3657289.0625,1750759087923.0608,2594,3777.9282051282048,2254,1651.2820512820513,19945,68.048462741010937,14.695409120496231,-1,-1,99
10,68,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,468134,4465357,3657296.875,1750759087930.8733,2592,3775.0153846153844,2254,1651.2820512820513,19945,68.048462741010937,14.695409120496231,-1,-1,99
