Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,305990,13288141,2390546.875,1750757821180.8733,2598,3783.7538461538456,2281,1671.0622710622708,19483,81.058348851644951,12.336792127732894,120,-1,99
3,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,305991,13288397,2390554.6875,1750757821188.6858,2578,3754.625641025641,2238,1639.5604395604394,19482,81.091906437590566,12.331686896146826,120,-1,99
4,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,305992,13288653,2390562.5,1750757821196.4983,2597,3782.2974358974357,2254,1651.2820512820513,19482,81.091906437590566,12.331686896146826,120,-1,99
5,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,305993,13288909,2390570.3125,1750757821204.3108,2599,3785.2102564102561,2270,1663.003663003663,19481,81.125491820252662,12.326581664560756,120,-1,99
6,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,305994,13289165,2390578.125,1750757821212.1233,2599,3785.2102564102561,2278,1668.8644688644688,19482,81.091906437590566,12.331686896146826,120,-1,99
7,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,305995,13289421,2390585.9375,1750757821219.9358,2599,3785.2102564102561,2282,1671.7948717948716,19481,81.125491820252662,12.326581664560756,120,-1,99
8,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,305996,13289677,2390593.75,1750757821227.7483,2598,3783.7538461538456,2279,1669.5970695970695,19481,81.125491820252662,12.326581664560756,120,-1,99
9,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,305997,13289933,2390601.5625,1750757821235.5608,2584,3763.3641025641023,2247,1646.153846153846,19481,81.125491820252662,12.326581664560756,120,-1,99
10,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,305998,13290189,2390609.375,1750757821243.3733,2598,3783.7538461538456,2261,1656.4102564102564,19480,81.15910503418273,12.321476432974691,120,-1,99
11,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,305999,13290445,2390617.1875,1750757821251.1858,2598,3783.7538461538456,2268,1661.5384615384614,19480,81.15910503418273,12.321476432974691,120,-1,99
12,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306000,13290701,2390625,1750757821258.9983,2598,3783.7538461538456,2271,1663.7362637362637,19479,81.192746113989656,12.31637120138862,120,-1,99
13,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306001,13290957,2390632.8125,1750757821266.8108,2598,3783.7538461538456,2273,1665.201465201465,19479,81.192746113989656,12.31637120138862,120,-1,99
14,97,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306002,13291213,2390640.625,1750757821274.6233,2599,3785.2102564102561,2280,1670.3296703296703,19479,81.192746113989656,12.31637120138862,120,-1,99
15,105,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306003,13291469,2390648.4375,1750757821282.4358,2598,3783.7538461538456,2278,1668.8644688644688,19478,81.226415094339629,12.311265969802553,120,-1,99
16,113,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306004,13291725,2390656.25,1750757821290.2483,2597,3782.2974358974357,2276,1667.3992673992673,19478,81.226415094339629,12.311265969802553,120,-1,99
17,121,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306005,13291981,2390664.0625,1750757821298.0608,2598,3783.7538461538456,2276,1667.3992673992673,19478,81.226415094339629,12.311265969802553,120,-1,99
18,129,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306006,13292237,2390671.875,1750757821305.8733,2598,3783.7538461538456,2276,1667.3992673992673,19478,81.226415094339629,12.311265969802553,120,-1,99
19,136,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306007,13292493,2390679.6875,1750757821313.6858,2598,3783.7538461538456,2276,1667.3992673992673,19477,81.260112009956444,12.306160738216485,120,-1,99
20,144,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306008,13292749,2390687.5,1750757821321.4983,2597,3782.2974358974357,2274,1665.9340659340658,19477,81.260112009956444,12.306160738216485,120,-1,99
21,152,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306009,13293005,2390695.3125,1750757821329.3108,2598,3783.7538461538456,2275,1666.6666666666665,19477,81.260112009956444,12.306160738216485,120,-1,99
22,160,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306010,13293261,2390703.125,1750757821337.1233,2598,3783.7538461538456,2275,1666.6666666666665,19476,81.293836895621496,12.301055506630419,120,-1,99
23,168,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306011,13293517,2390710.9375,1750757821344.9358,2599,3785.2102564102561,2281,1671.0622710622708,19477,81.260112009956444,12.306160738216485,120,-1,99
24,175,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306012,13293773,2390718.75,1750757821352.7483,2598,3783.7538461538456,2279,1669.5970695970695,19476,81.293836895621496,12.301055506630419,120,-1,99
25,183,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306013,13294029,2390726.5625,1750757821360.5608,2598,3783.7538461538456,2277,1668.131868131868,19476,81.293836895621496,12.301055506630419,120,-1,99
26,191,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306014,13294285,2390734.375,1750757821368.3733,2599,3785.2102564102561,2282,1671.7948717948716,19475,81.327589786173974,12.295950275044349,-1,-1,99
27,199,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306015,13294541,2390742.1875,1750757821376.1858,2599,3785.2102564102561,2284,1673.2600732600731,19476,81.293836895621496,12.301055506630419,-1,-1,99
28,207,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306016,13294797,2390750,1750757821383.9983,2598,3783.7538461538456,2280,1670.3296703296703,19475,81.327589786173974,12.295950275044349,-1,-1,99
29,215,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,306017,13295053,2390757.8125,1750757821391.8108,2598,3783.7538461538456,2278,1668.8644688644688,19475,81.327589786173974,12.295950275044349,-1,-1,99
