Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,5,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395179,2566093,3087335.9375,1750758517969.9358,2595,3779.3846153846152,2267,1660.8058608058607,19590,77.621359223300971,12.883051907442152,144,-1,99
3,13,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395180,2566349,3087343.75,1750758517977.7483,2596,3780.8410256410257,2264,1658.6080586080584,19592,77.559889130865173,12.893262370614286,144,-1,99
4,21,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395181,2566605,3087351.5625,1750758517985.5608,2596,3780.8410256410257,2263,1657.8754578754579,19592,77.559889130865173,12.893262370614286,144,-1,99
5,29,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395182,2566861,3087359.375,1750758517993.3733,2597,3782.2974358974357,2268,1661.5384615384614,19593,77.529190579853562,12.898367602200352,144,-1,99
6,37,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395183,2567117,3087367.1875,1750758518001.1858,2595,3779.3846153846152,2269,1662.2710622710622,19594,77.498516320474792,12.90347283378642,144,-1,99
7,44,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395184,2567373,3087375,1750758518008.9983,2582,3760.4512820512819,2240,1641.0256410256409,19594,77.498516320474792,12.90347283378642,144,-1,99
8,52,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395185,2567629,3087382.8125,1750758518016.8108,2595,3779.3846153846152,2254,1651.2820512820513,19595,77.467866323907458,12.908578065372488,144,-1,99
9,60,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395186,2567885,3087390.625,1750758518024.6233,2596,3780.8410256410257,2257,1653.4798534798533,19596,77.437240561375788,12.913683296958556,144,-1,99
10,68,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395187,2568141,3087398.4375,1750758518032.4358,2595,3779.3846153846152,2263,1657.8754578754579,19597,77.406639004149369,12.918788528544628,144,-1,99
11,76,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395188,2568397,3087406.25,1750758518040.2483,2596,3780.8410256410257,2262,1657.1428571428571,19597,77.406639004149369,12.918788528544628,144,-1,99
12,84,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395189,2568653,3087414.0625,1750758518048.0608,2595,3779.3846153846152,2266,1660.0732600732599,19599,77.345508390918056,12.928998991716764,144,-1,99
13,91,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395190,2568909,3087421.875,1750758518055.8733,2597,3782.2974358974357,2270,1663.003663003663,19599,77.345508390918056,12.928998991716764,144,-1,99
14,99,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395191,2569165,3087429.6875,1750758518063.6858,2596,3780.8410256410257,2266,1660.0732600732599,19600,77.314979277679114,12.934104223302828,144,-1,99
15,107,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395192,2569421,3087437.5,1750758518071.4983,2595,3779.3846153846152,2268,1661.5384615384614,19601,77.284474255277175,12.939209454888898,144,-1,99
16,115,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395193,2569677,3087445.3125,1750758518079.3108,2595,3779.3846153846152,2269,1662.2710622710622,19602,77.253993295208048,12.944314686474966,144,-1,99
17,123,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,395194,2569933,3087453.125,1750758518087.1233,2596,3780.8410256410257,2266,1660.0732600732599,19603,77.223536369012436,12.949419918061031,144,-1,99
