Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186050,6335075,1453515.625,1750764835204.9639,2581,3758.9948717948714,2215,1622.7106227106226,1145,59.322162162162179,16.85710640934521,-1,-1,99
3,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186051,6335331,1453523.4375,1750764835212.7764,2588,3769.1897435897436,2221,1627.1062271062269,1146,59.194174757281573,16.893554206987037,-1,-1,99
4,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186052,6335587,1453531.25,1750764835220.5889,2586,3766.2769230769227,2222,1627.8388278388277,1145,59.322162162162179,16.85710640934521,-1,-1,99
5,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186053,6335843,1453539.0625,1750764835228.4014,2587,3767.7333333333331,2228,1632.2344322344322,1145,59.322162162162179,16.85710640934521,-1,-1,99
6,38,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186054,6336099,1453546.875,1750764835236.2139,2582,3760.4512820512819,2218,1624.9084249084249,1145,59.322162162162179,16.85710640934521,-1,-1,99
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186055,6336355,1453554.6875,1750764835244.0264,2587,3767.7333333333331,2226,1630.7692307692307,1145,59.322162162162179,16.85710640934521,-1,-1,99
8,54,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186056,6336611,1453562.5,1750764835251.8389,2588,3769.1897435897436,2226,1630.7692307692307,1145,59.322162162162179,16.85710640934521,-1,-1,99
9,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186057,6336867,1453570.3125,1750764835259.6514,2588,3769.1897435897436,2226,1630.7692307692307,1145,59.322162162162179,16.85710640934521,-1,-1,99
10,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186058,6337123,1453578.125,1750764835267.4639,2582,3760.4512820512819,2217,1624.1758241758241,1145,59.322162162162179,16.85710640934521,-1,-1,99
11,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186059,6337379,1453585.9375,1750764835275.2764,2587,3767.7333333333331,2225,1630.03663003663,1146,59.194174757281573,16.893554206987037,-1,-1,99
12,85,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186060,6337635,1453593.75,1750764835283.0889,2588,3769.1897435897436,2226,1630.7692307692307,1146,59.194174757281573,16.893554206987037,-1,-1,99
13,93,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186061,6337891,1453601.5625,1750764835290.9014,2588,3769.1897435897436,2226,1630.7692307692307,1145,59.322162162162179,16.85710640934521,-1,-1,99
14,101,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186062,6338147,1453609.375,1750764835298.7139,2581,3758.9948717948714,2216,1623.4432234432234,1145,59.322162162162179,16.85710640934521,-1,-1,99
15,109,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186063,6338403,1453617.1875,1750764835306.5264,2587,3767.7333333333331,2225,1630.03663003663,1146,59.194174757281573,16.893554206987037,-1,-1,99
16,117,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186064,6338659,1453625,1750764835314.3389,2587,3767.7333333333331,2230,1633.6996336996335,1145,59.322162162162179,16.85710640934521,-1,-1,99
17,124,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186065,6338915,1453632.8125,1750764835322.1514,2587,3767.7333333333331,2233,1635.8974358974358,1146,59.194174757281573,16.893554206987037,-1,-1,99
18,132,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186066,6339171,1453640.625,1750764835329.9639,2582,3760.4512820512819,2220,1626.3736263736262,1145,59.322162162162179,16.85710640934521,-1,-1,99
19,140,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186067,6339427,1453648.4375,1750764835337.7764,2587,3767.7333333333331,2227,1631.5018315018315,1146,59.194174757281573,16.893554206987037,-1,-1,99
20,148,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186068,6339683,1453656.25,1750764835345.5889,2586,3766.2769230769227,2226,1630.7692307692307,1145,59.322162162162179,16.85710640934521,-1,-1,99
21,156,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186069,6339939,1453664.0625,1750764835353.4014,2587,3767.7333333333331,2230,1633.6996336996335,1145,59.322162162162179,16.85710640934521,-1,-1,99
22,164,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186070,6340195,1453671.875,1750764835361.2139,2582,3760.4512820512819,2219,1625.6410256410256,1146,59.194174757281573,16.893554206987037,-1,-1,99
23,171,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186071,6340451,1453679.6875,1750764835369.0264,2587,3767.7333333333331,2227,1631.5018315018315,1145,59.322162162162179,16.85710640934521,-1,-1,99
24,179,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186072,6340707,1453687.5,1750764835376.8389,2587,3767.7333333333331,2231,1634.4322344322343,1145,59.322162162162179,16.85710640934521,-1,-1,99
25,187,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186073,6340963,1453695.3125,1750764835384.6514,2587,3767.7333333333331,2233,1635.8974358974358,1145,59.322162162162179,16.85710640934521,-1,-1,99
26,195,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186074,6341219,1453703.125,1750764835392.4639,2582,3760.4512820512819,2221,1627.1062271062269,1146,59.194174757281573,16.893554206987037,-1,-1,99
27,203,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186075,6341475,1453710.9375,1750764835400.2764,2587,3767.7333333333331,2228,1632.2344322344322,1146,59.194174757281573,16.893554206987037,-1,-1,99
28,210,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186076,6341731,1453718.75,1750764835408.0889,2587,3767.7333333333331,2231,1634.4322344322343,1145,59.322162162162179,16.85710640934521,-1,-1,99
29,218,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186077,6341987,1453726.5625,1750764835415.9014,2588,3769.1897435897436,2229,1632.9670329670328,1145,59.322162162162179,16.85710640934521,-1,-1,99
30,226,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186078,6342243,1453734.375,1750764835423.7139,2581,3758.9948717948714,2217,1624.1758241758241,1146,59.194174757281573,16.893554206987037,-1,-1,99
31,234,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,186079,6342499,1453742.1875,1750764835431.5264,2587,3767.7333333333331,2226,1630.7692307692307,1146,59.194174757281573,16.893554206987037,-1,-1,99
