ts_datetime,ts_unix_ms,primary_grab_hand,pt_x,pt_y,pt_z,st_x,st_y,st_z,pv_x,pv_y,pv_z,sv_x,sv_y,sv_z,hmd_x,hmd_y,hmd_z,ee_x,ee_y,ee_z,shovel_loaded_state,cube_max_target_reached,grab_count,collision_or_load_count
6/24/2025 1:49:30 PM,1750765770817,Right,0.001591682,0.0746207,0.01084197,0.01587844,0.1048922,0.6180443,0.001591682,0.0746207,0.01084197,0.01587844,0.1048922,0.6180443,0.1226995,0.6169561,0.2945982,-1.043742E-06,0.06999996,0.7399998,False,0,1,0
6/24/2025 1:49:30 PM,1750765770831,Right,0.0005323887,0.07276508,0.009744644,0.01512301,0.1047877,0.6176699,0.0006804466,0.07282056,0.009871364,0.01514322,0.103988,0.6088868,0.1234822,0.6166249,0.2946947,-0.03130067,0.1154002,0.7496445,False,0,1,0
6/24/2025 1:49:30 PM,1750765770859,Right,-0.00153923,0.07004031,0.009560227,0.01469958,0.1071063,0.6158196,-0.001548052,0.06989136,0.009345651,0.01453946,0.1063199,0.6080227,0.1253901,0.6165588,0.2957846,-0.03151679,0.1190382,0.7487958,False,0,1,0
6/24/2025 1:49:30 PM,1750765770873,Right,-0.001634598,0.06991307,0.01110375,0.0150218,0.1084032,0.6143717,-0.001634598,0.06991307,0.01110375,0.01489743,0.1078331,0.6096761,0.1267226,0.6168193,0.29625,-0.03088749,0.1225664,0.7503412,False,0,1,0
6/24/2025 1:49:30 PM,1750765770901,Right,-0.0001049042,0.07300697,0.0127908,0.01652813,0.1114976,0.6118633,7.200241E-05,0.07245785,0.01397312,0.01649594,0.111335,0.6118945,0.1298213,0.617874,0.2978733,-0.02922877,0.1268752,0.7530809,False,0,1,0
6/24/2025 1:49:30 PM,1750765770915,Right,0.001716614,0.07404615,0.01602185,0.0173111,0.1127416,0.6112612,0.001716614,0.07404615,0.01602185,0.01731109,0.1127416,0.6112612,0.1314297,0.6186135,0.299126,-0.02869305,0.1269381,0.7551956,False,0,1,0
6/24/2025 1:49:30 PM,1750765770943,Right,0.003294706,0.07627171,0.01814175,0.01834977,0.1150223,0.6126236,0.003294706,0.07627171,0.01814175,0.01834976,0.1150222,0.6126235,0.1339772,0.6207967,0.3028777,-0.02780153,0.1288547,0.757309,False,0,1,0
6/24/2025 1:49:30 PM,1750765770956,Right,0.00343585,0.07680492,0.01802087,0.01830053,0.1159005,0.613995,0.00343585,0.07680492,0.01802087,0.01843128,0.1159345,0.61382,0.1351999,0.6219577,0.3051134,-0.02778362,0.1296663,0.757163,False,0,1,0
6/24/2025 1:49:30 PM,1750765770970,Right,0.0035007,0.07705563,0.01795816,0.01744103,0.1158717,0.6154407,0.003544092,0.07706253,0.0180831,0.01776217,0.1161105,0.615208,0.1364272,0.6229887,0.3077894,-0.02862282,0.1303118,0.7571568,False,0,1,0
6/24/2025 1:49:30 PM,1750765770997,Right,0.006121874,0.07978572,0.01911747,0.01591802,0.1154423,0.6171156,0.006099701,0.08020002,0.01899397,0.01603924,0.1154686,0.6170453,0.1386423,0.6248134,0.3149325,-0.03139092,0.1285558,0.7581531,False,0,1,0
6/24/2025 1:49:31 PM,1750765771012,Right,0.006017566,0.0794999,0.0194732,0.01473641,0.1153857,0.6175126,0.006017566,0.0794999,0.0194732,0.01491821,0.1153743,0.6174458,0.1394851,0.6264297,0.3203824,-0.0327813,0.128336,0.7585333,False,0,1,0
6/24/2025 1:49:31 PM,1750765771039,Right,0.007874966,0.08204173,0.02321458,0.01359546,0.1157399,0.6172267,0.007887125,0.08201329,0.0232029,0.01358736,0.1157018,0.6172503,0.1412864,0.6317682,0.3372747,-0.03483954,0.1281923,0.7622171,False,0,1,0
6/24/2025 1:49:31 PM,1750765771053,Right,0.008876681,0.08345127,0.02419508,0.01363385,0.1159948,0.617092,0.008876681,0.08345127,0.02419508,0.01363384,0.1159946,0.617092,0.1414496,0.6352838,0.3445345,-0.03504577,0.1278619,0.7632476,False,0,1,0
6/24/2025 1:49:31 PM,1750765771080,Right,0.01057005,0.08704996,0.02553189,0.01258576,0.1175177,0.6166548,0.01062179,0.08694804,0.02568817,0.01268029,0.117446,0.6167225,0.1415004,0.6435797,0.3550764,-0.03668232,0.1285726,0.7646942,False,0,1,0
6/24/2025 1:49:31 PM,1750765771095,Right,0.01114368,0.08928801,0.02542925,0.01122463,0.1191661,0.6164621,0.01126766,0.08904968,0.02582276,0.0114845,0.1188388,0.6164832,0.1421549,0.6473632,0.3606478,-0.03835263,0.1296104,0.764736,False,0,1,0
6/24/2025 1:49:31 PM,1750765771123,Right,0.01281857,0.09507369,0.02704632,0.008978605,0.1254634,0.6173805,0.01284194,0.09490283,0.02702725,0.008932477,0.1253124,0.6173653,0.1439258,0.6546809,0.3687474,-0.04200805,0.1350218,0.7655948,False,0,1,0
6/24/2025 1:49:31 PM,1750765771136,Right,0.01315427,0.0985801,0.02815473,0.008505106,0.1277159,0.6174725,0.01327026,0.0984275,0.02818298,0.008560069,0.1276224,0.6175144,0.1435655,0.659076,0.3720359,-0.04259854,0.1369303,0.7667602,False,0,1,0
6/24/2025 1:49:31 PM,1750765771150,Right,0.01335001,0.1022818,0.02904785,0.007545829,0.129793,0.6172847,0.01335001,0.1022818,0.02904785,0.007625943,0.1297134,0.6173297,0.1429572,0.6637906,0.374976,-0.04378126,0.1391423,0.7676123,False,0,1,0
6/24/2025 1:49:31 PM,1750765771178,Right,0.01410449,0.1106415,0.03124559,0.005869389,0.1348823,0.6176218,0.01416659,0.1104442,0.03125858,0.005891106,0.1347444,0.6175658,0.1433758,0.6730719,0.3818873,-0.04614234,0.1445282,0.7697037,False,0,1,0
6/24/2025 1:49:31 PM,1750765771192,Right,0.01442981,0.1152247,0.03218329,0.005263448,0.1379165,0.6181883,0.01442981,0.1152247,0.03218329,0.005263452,0.1379164,0.6181883,0.1436834,0.6780183,0.3853518,-0.04698727,0.1475863,0.7706146,False,0,1,0
6/24/2025 1:49:31 PM,1750765771220,Right,0.01395535,0.1260159,0.03305638,0.002577186,0.1451043,0.6209854,0.01395535,0.1260159,0.03305638,0.002770558,0.1450109,0.6208836,0.1436449,0.6887451,0.3897479,-0.04999684,0.1531808,0.7714819,False,0,1,0
6/24/2025 1:49:31 PM,1750765771233,Right,0.01325059,0.1321768,0.03364265,0.0002135038,0.1486824,0.6218776,0.01335156,0.1319222,0.03366625,0.0002135076,0.1486824,0.6218776,0.1437582,0.6944025,0.3914541,-0.05305934,0.1560282,0.7719809,False,0,1,0
6/24/2025 1:49:31 PM,1750765771262,Right,0.01331353,0.1457019,0.03594196,-0.004003525,0.1579828,0.6215156,0.01331353,0.1457019,0.03594196,-0.004003525,0.1579828,0.6215156,0.1451929,0.7066487,0.3946055,-0.05839364,0.164926,0.7739044,False,0,1,0
6/24/2025 1:49:31 PM,1750765771275,Right,0.01329958,0.1529464,0.03701937,-0.00603497,0.1630796,0.6213161,0.01331067,0.1527361,0.03702033,-0.005966768,0.1628893,0.6213273,0.1455944,0.7137802,0.3961142,-0.06088648,0.1697106,0.7747918,False,0,1,0
6/24/2025 1:49:31 PM,1750765771290,Right,0.01320076,0.1607682,0.0377984,-0.007650971,0.1687318,0.6216515,0.01327109,0.1604019,0.03785372,-0.007673161,0.1682434,0.6215164,0.1459124,0.7211396,0.3975346,-0.06306443,0.1743983,0.7754695,False,0,1,0
6/24/2025 1:49:31 PM,1750765771317,Right,0.01343441,0.1758009,0.03824174,-0.01013279,0.1815028,0.6237136,0.01343441,0.1758009,0.03824174,-0.01013276,0.1815027,0.6237136,0.1472001,0.7366259,0.4002274,-0.06609238,0.1873916,0.775562,False,0,1,0
