Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,8,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55335,15182714,432304.6875,1750769195669.113,2575,3750.2564102564102,2282,1671.7948717948716,35599,317.66348615313012,3.1479853479853479,102,-1,100
3,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55336,15182970,432312.5,1750769195676.9255,2576,3751.7128205128201,2233,1635.8974358974358,35600,317.51570132588978,3.1494505494505489,102,-1,100
4,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55337,15183226,432320.3125,1750769195684.738,2575,3750.2564102564102,2211,1619.7802197802196,35599,317.66348615313012,3.1479853479853479,102,-1,100
5,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55338,15183482,432328.125,1750769195692.5505,2557,3724.0410256410255,2364,1731.8681318681317,35599,317.66348615313012,3.1479853479853479,102,-1,100
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55339,15183738,432335.9375,1750769195700.363,2576,3751.7128205128201,2277,1668.131868131868,35600,317.51570132588978,3.1494505494505489,102,-1,100
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55340,15183994,432343.75,1750769195708.1755,2576,3751.7128205128201,2230,1633.6996336996335,35599,317.66348615313012,3.1479853479853479,102,-1,100
8,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55341,15184250,432351.5625,1750769195715.988,2575,3750.2564102564102,2209,1618.3150183150183,35599,317.66348615313012,3.1479853479853479,102,-1,100
9,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55342,15184506,432359.375,1750769195723.8005,2557,3724.0410256410255,2364,1731.8681318681317,35599,317.66348615313012,3.1479853479853479,102,-1,100
10,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55343,15184762,432367.1875,1750769195731.613,2576,3751.7128205128201,2276,1667.3992673992673,35599,317.66348615313012,3.1479853479853479,102,-1,100
11,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55344,15185018,432375,1750769195739.4255,2576,3751.7128205128201,2230,1633.6996336996335,35599,317.66348615313012,3.1479853479853479,102,-1,100
12,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55345,15185274,432382.8125,1750769195747.238,2575,3750.2564102564102,2209,1618.3150183150183,35599,317.66348615313012,3.1479853479853479,102,-1,100
13,97,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55346,15185530,432390.625,1750769195755.0505,2557,3724.0410256410255,2363,1731.135531135531,35599,317.66348615313012,3.1479853479853479,102,-1,100
14,105,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55347,15185786,432398.4375,1750769195762.863,2576,3751.7128205128201,2277,1668.131868131868,35599,317.66348615313012,3.1479853479853479,102,-1,100
15,113,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55348,15186042,432406.25,1750769195770.6755,2556,3722.5846153846151,2395,1754.5787545787546,35599,317.66348615313012,3.1479853479853479,102,-1,100
16,121,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,55349,15186298,432414.0625,1750769195778.488,2575,3750.2564102564102,2299,1684.249084249084,35599,317.66348615313012,3.1479853479853479,102,-1,100
