Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240769,12322170,1881007.8125,1750770644372.238,2572,3745.8871794871789,2161,1583.150183150183,18951,103.94136375696472,9.6208089239448107,-1,-1,99
3,17,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240770,12322426,1881015.625,1750770644380.0505,2573,3747.3435897435893,2164,1585.3479853479853,18959,103.50198150594453,9.661650776633353,-1,-1,99
4,25,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240771,12322682,1881023.4375,1750770644387.863,2572,3745.8871794871789,2161,1583.150183150183,18963,103.28368046401266,9.6820717029776269,-1,-1,99
5,33,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240772,12322938,1881031.25,1750770644395.6755,2572,3745.8871794871789,2159,1581.6849816849815,18972,102.79585410653372,9.7280187872522355,-1,-1,99
6,41,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240773,12323194,1881039.0625,1750770644403.488,2572,3745.8871794871789,2158,1580.9523809523807,18981,102.31261425959781,9.7739658715268458,-1,-1,99
7,49,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240774,12323450,1881046.875,1750770644411.3005,2573,3747.3435897435893,2163,1584.6153846153845,18992,101.72812256556739,9.830123418973594,-1,-1,99
8,56,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240775,12323706,1881054.6875,1750770644419.113,2572,3745.8871794871789,2160,1582.4175824175823,19002,101.20253164556964,9.8811757348342706,-1,-1,99
9,64,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240776,12323962,1881062.5,1750770644426.9255,2573,3747.3435897435893,2164,1585.3479853479853,19007,100.94176758567379,9.9067018927646107,-1,-1,99
10,72,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240777,12324218,1881070.3125,1750770644434.738,2571,3744.4307692307689,2164,1585.3479853479853,19023,100.11627906976744,9.9883855981416954,-1,-1,99
