Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,8,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109793,485146,857757.8125,1750844376384.771,2565,3735.6923076923072,2148,1573.6263736263736,35620,314.58861488822305,3.178754578754579,-1,-1,100
3,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109794,485402,857765.625,1750844376392.5835,2564,3734.2358974358972,2136,1564.8351648351647,35620,314.58861488822305,3.178754578754579,-1,-1,100
4,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109795,485658,857773.4375,1750844376400.396,2565,3735.6923076923072,2135,1564.102564102564,35621,314.44367657221846,3.1802197802197796,-1,-1,100
5,38,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109796,485914,857781.25,1750844376408.2085,2563,3732.7794871794868,2133,1562.6373626373625,35621,314.44367657221846,3.1802197802197796,-1,-1,100
6,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109797,486170,857789.0625,1750844376416.021,2553,3718.2153846153847,2315,1695.9706959706959,35621,314.44367657221846,3.1802197802197796,-1,-1,100
7,54,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109798,486426,857796.875,1750844376423.8335,2564,3734.2358974358972,2226,1630.7692307692307,35621,314.44367657221846,3.1802197802197796,-1,-1,100
8,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109799,486682,857804.6875,1750844376431.646,2565,3735.6923076923072,2183,1599.2673992673992,35622,314.29887174763985,3.1816849816849824,-1,-1,100
9,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109800,486938,857812.5,1750844376439.4585,2564,3734.2358974358972,2156,1579.4871794871794,35622,314.29887174763985,3.1816849816849824,-1,-1,100
10,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109801,487194,857820.3125,1750844376447.271,2564,3734.2358974358972,2140,1567.7655677655678,35622,314.29887174763985,3.1816849816849824,-1,-1,100
11,85,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109802,487450,857828.125,1750844376455.0835,2563,3732.7794871794868,2136,1564.8351648351647,35623,314.15420023014968,3.1831501831501821,-1,-1,100
12,93,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109803,487706,857835.9375,1750844376462.896,2565,3735.6923076923072,2135,1564.102564102564,35622,314.29887174763985,3.1816849816849824,-1,-1,100
13,101,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109804,487962,857843.75,1750844376470.7085,2563,3732.7794871794868,2133,1562.6373626373625,35623,314.15420023014968,3.1831501831501821,-1,-1,100
14,109,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109805,488218,857851.5625,1750844376478.521,2555,3721.1282051282046,2320,1699.6336996336995,35623,314.15420023014968,3.1831501831501821,-1,-1,100
15,117,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,109806,488474,857859.375,1750844376486.3335,2565,3735.6923076923072,2234,1636.6300366300366,35623,314.15420023014968,3.1831501831501821,-1,-1,100
