Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,6,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382366,3154970,2987234.375,1750846505861.3335,2557,3724.0410256410255,2545,1864.4688644688642,18629,125.36160000000001,7.9769243532309719,-1,-1,99
3,14,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382367,3155226,2987242.1875,1750846505869.146,2555,3721.1282051282046,2546,1865.201465201465,18629,125.36160000000001,7.9769243532309719,-1,-1,99
4,22,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382368,3155482,2987250,1750846505876.9585,2556,3722.5846153846151,2543,1863.003663003663,18629,125.36160000000001,7.9769243532309719,-1,-1,99
5,29,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382369,3155738,2987257.8125,1750846505884.771,2556,3722.5846153846151,2541,1861.5384615384614,18628,125.4418828049952,7.9718191216449057,-1,-1,99
6,37,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382370,3155994,2987265.625,1750846505892.5835,2556,3722.5846153846151,2540,1860.8058608058607,18627,125.52226850368473,7.9667138900588377,-1,-1,99
7,45,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382371,3156250,2987273.4375,1750846505900.396,2555,3721.1282051282046,2543,1863.003663003663,18627,125.52226850368473,7.9667138900588377,-1,-1,99
8,53,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382372,3156506,2987281.25,1750846505908.2085,2548,3710.9333333333329,2528,1852.0146520146518,18626,125.60275729400449,7.9616086584727697,-1,-1,99
9,61,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382373,3156762,2987289.0625,1750846505916.021,2555,3721.1282051282046,2537,1858.6080586080584,18626,125.60275729400449,7.9616086584727697,-1,-1,99
10,69,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382374,3157018,2987296.875,1750846505923.8335,2556,3722.5846153846151,2538,1859.3406593406592,18625,125.68334937439846,7.9565034268867016,-1,-1,99
11,76,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382375,3157274,2987304.6875,1750846505931.646,2555,3721.1282051282046,2542,1862.2710622710622,18625,125.68334937439846,7.9565034268867016,-1,-1,99
12,84,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382376,3157530,2987312.5,1750846505939.4585,2555,3721.1282051282046,2545,1864.4688644688642,18625,125.68334937439846,7.9565034268867016,-1,-1,99
13,92,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382377,3157786,2987320.3125,1750846505947.271,2555,3721.1282051282046,2546,1865.201465201465,18624,125.76404494382022,7.9513981953006354,-1,-1,99
14,100,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382378,3158042,2987328.125,1750846505955.0835,2556,3722.5846153846151,2543,1863.003663003663,18624,125.76404494382022,7.9513981953006354,-1,-1,99
15,108,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,382379,3158298,2987335.9375,1750846505962.896,2555,3721.1282051282046,2545,1864.4688644688642,18624,125.76404494382022,7.9513981953006354,-1,-1,99
