Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332144,7075354,2594875,1750846113501.9585,2556,3722.5846153846151,2544,1863.7362637362637,18453,141.27479264334656,7.0784035940830368,-1,-1,99
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332145,7075610,2594882.8125,1750846113509.771,2558,3725.4974358974355,2547,1865.9340659340658,18452,141.37675929267414,7.0732983624969679,-1,-1,99
4,24,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332146,7075866,2594890.625,1750846113517.5835,2556,3722.5846153846151,2543,1863.003663003663,18453,141.27479264334656,7.0784035940830368,-1,-1,99
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332147,7076122,2594898.4375,1750846113525.396,2556,3722.5846153846151,2542,1862.2710622710622,18453,141.27479264334656,7.0784035940830368,-1,-1,99
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332148,7076378,2594906.25,1750846113533.2085,2557,3724.0410256410255,2546,1865.201465201465,18453,141.27479264334656,7.0784035940830368,-1,-1,99
7,48,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332149,7076634,2594914.0625,1750846113541.021,2557,3724.0410256410255,2548,1866.6666666666665,18454,141.17297297297301,7.0835088256691021,-1,-1,99
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332150,7076890,2594921.875,1750846113548.8335,2557,3724.0410256410255,2549,1867.3992673992673,18453,141.27479264334656,7.0784035940830368,-1,-1,99
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332151,7077146,2594929.6875,1750846113556.646,2557,3724.0410256410255,2549,1867.3992673992673,18454,141.17297297297301,7.0835088256691021,-1,-1,99
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332152,7077402,2594937.5,1750846113564.4585,2558,3725.4974358974355,2550,1868.131868131868,18454,141.17297297297301,7.0835088256691021,-1,-1,99
11,79,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332153,7077658,2594945.3125,1750846113572.271,2558,3725.4974358974355,2551,1868.8644688644688,18454,141.17297297297301,7.0835088256691021,-1,-1,99
12,87,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332154,7077914,2594953.125,1750846113580.0835,2557,3724.0410256410255,2551,1868.8644688644688,18455,141.07129996398996,7.0886140572551701,-1,-1,99
13,95,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332155,7078170,2594960.9375,1750846113587.896,2556,3722.5846153846151,2545,1864.4688644688642,18455,141.07129996398996,7.0886140572551701,-1,-1,99
14,102,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332156,7078426,2594968.75,1750846113595.7085,2558,3725.4974358974355,2548,1866.6666666666665,18455,141.07129996398996,7.0886140572551701,-1,-1,99
15,110,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332157,7078682,2594976.5625,1750846113603.521,2558,3725.4974358974355,2550,1868.131868131868,18455,141.07129996398996,7.0886140572551701,-1,-1,99
16,118,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332158,7078938,2594984.375,1750846113611.3335,2557,3724.0410256410255,2550,1868.131868131868,18456,140.96977329974811,7.0937192888412399,-1,-1,99
17,126,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332159,7079194,2594992.1875,1750846113619.146,2538,3696.3692307692304,2518,1844.6886446886447,18455,141.07129996398996,7.0886140572551701,-1,-1,99
18,134,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332160,7079450,2595000,1750846113626.9585,2557,3724.0410256410255,2533,1855.6776556776556,18455,141.07129996398996,7.0886140572551701,-1,-1,99
19,141,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332161,7079706,2595007.8125,1750846113634.771,2558,3725.4974358974355,2541,1861.5384615384614,18456,140.96977329974811,7.0937192888412399,-1,-1,99
20,149,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332162,7079962,2595015.625,1750846113642.5835,2556,3722.5846153846151,2540,1860.8058608058607,18456,140.96977329974811,7.0937192888412399,-1,-1,99
21,157,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332163,7080218,2595023.4375,1750846113650.396,2557,3724.0410256410255,2544,1863.7362637362637,18456,140.96977329974811,7.0937192888412399,-1,-1,99
22,165,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332164,7080474,2595031.25,1750846113658.2085,2557,3724.0410256410255,2547,1865.9340659340658,18457,140.86839266450917,7.0988245204273079,-1,-1,99
23,173,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332165,7080730,2595039.0625,1750846113666.021,2558,3725.4974358974355,2549,1867.3992673992673,18458,140.76715774344234,7.1039297520133751,-1,-1,99
24,180,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332166,7080986,2595046.875,1750846113673.8335,2557,3724.0410256410255,2549,1867.3992673992673,18458,140.76715774344234,7.1039297520133751,-1,-1,99
25,188,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332167,7081242,2595054.6875,1750846113681.646,2557,3724.0410256410255,2550,1868.131868131868,18458,140.76715774344234,7.1039297520133751,-1,-1,99
26,196,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332168,7081498,2595062.5,1750846113689.4585,2557,3724.0410256410255,2550,1868.131868131868,18458,140.76715774344234,7.1039297520133751,-1,-1,99
27,204,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332169,7081754,2595070.3125,1750846113697.271,2558,3725.4974358974355,2551,1868.8644688644688,18459,140.66606822262119,7.1090349835994431,-1,-1,99
28,212,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332170,7082010,2595078.125,1750846113705.0835,2556,3722.5846153846151,2545,1864.4688644688642,18459,140.66606822262119,7.1090349835994431,-1,-1,99
29,220,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332171,7082266,2595085.9375,1750846113712.896,2556,3722.5846153846151,2542,1862.2710622710622,18460,140.56512378902048,7.1141402151855102,-1,-1,99
30,227,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332172,7082522,2595093.75,1750846113720.7085,2558,3725.4974358974355,2546,1865.201465201465,18461,140.46432413051275,7.1192454467715782,-1,-1,99
31,235,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332173,7082778,2595101.5625,1750846113728.521,2558,3725.4974358974355,2549,1867.3992673992673,18461,140.46432413051275,7.1192454467715782,-1,-1,99
32,243,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332174,7083034,2595109.375,1750846113736.3335,2557,3724.0410256410255,2550,1868.131868131868,18461,140.46432413051275,7.1192454467715782,-1,-1,99
33,251,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332175,7083290,2595117.1875,1750846113744.146,2556,3722.5846153846151,2544,1863.7362637362637,18462,140.36366893586529,7.1243506783576471,-1,-1,99
34,259,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332176,7083546,2595125,1750846113751.9585,2556,3722.5846153846151,2542,1862.2710622710622,18462,140.36366893586529,7.1243506783576471,-1,-1,99
35,266,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332177,7083802,2595132.8125,1750846113759.771,2558,3725.4974358974355,2546,1865.201465201465,18462,140.36366893586529,7.1243506783576471,-1,-1,99
36,274,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332178,7084058,2595140.625,1750846113767.5835,2556,3722.5846153846151,2543,1863.003663003663,18462,140.36366893586529,7.1243506783576471,-1,-1,99
37,282,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332179,7084314,2595148.4375,1750846113775.396,2556,3722.5846153846151,2541,1861.5384615384614,18462,140.36366893586529,7.1243506783576471,-1,-1,99
38,290,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332180,7084570,2595156.25,1750846113783.2085,2558,3725.4974358974355,2546,1865.201465201465,18463,140.26315789473688,7.1294559099437134,-1,-1,99
39,298,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332181,7084826,2595164.0625,1750846113791.021,2558,3725.4974358974355,2548,1866.6666666666665,18463,140.26315789473688,7.1294559099437134,-1,-1,99
40,305,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332182,7085082,2595171.875,1750846113798.8335,2557,3724.0410256410255,2549,1867.3992673992673,18463,140.26315789473688,7.1294559099437134,-1,-1,99
41,313,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332183,7085338,2595179.6875,1750846113806.646,2558,3725.4974358974355,2550,1868.131868131868,18464,140.16279069767444,7.1345611415297823,-1,-1,99
42,321,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332184,7085594,2595187.5,1750846113814.4585,2557,3724.0410256410255,2550,1868.131868131868,18464,140.16279069767444,7.1345611415297823,-1,-1,99
43,329,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332185,7085850,2595195.3125,1750846113822.271,2558,3725.4974358974355,2550,1868.131868131868,18465,140.06256703611012,7.1396663731158503,-1,-1,99
