Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,6,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,263984,1566744,2062375,1750848874239.999,2546,3708.0205128205125,2506,1835.8974358974358,19299,87.73908174692049,11.397429515896414,213,-1,99
3,14,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,263985,1567000,2062382.8125,1750848874247.8115,2529,3683.2615384615383,2479,1816.117216117216,19300,87.699798522498327,11.402534747482482,213,-1,99
4,22,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,263986,1567256,2062390.625,1750848874255.624,2548,3710.9333333333329,2493,1826.3736263736262,19301,87.660550458715605,11.407639979068549,213,-1,99
5,29,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,263987,1567512,2062398.4375,1750848874263.4365,2546,3708.0205128205125,2500,1831.5018315018315,19302,87.621337508387384,11.412745210654618,213,-1,99
6,37,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,263988,1567768,2062406.25,1750848874271.249,2546,3708.0205128205125,2503,1833.6996336996335,19302,87.621337508387384,11.412745210654618,213,-1,99
7,45,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,263989,1568024,2062414.0625,1750848874279.0615,2527,3680.3487179487179,2477,1814.6520146520145,19303,87.582159624413165,11.417850442240683,213,-1,99
8,53,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,263990,1568280,2062421.875,1750848874286.874,2546,3708.0205128205125,2491,1824.9084249084249,19304,87.543016759776535,11.422955673826753,213,-1,99
9,61,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,263991,1568536,2062429.6875,1750848874294.6865,2547,3709.4769230769225,2504,1834.4322344322343,19306,87.464835900870739,11.433166136998889,213,-1,99
10,68,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,263992,1568792,2062437.5,1750848874302.499,2546,3708.0205128205125,2505,1835.164835164835,19307,87.425797812988179,11.438271368584957,213,-1,99
