Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,10,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426420,9595928,3331406.25,1750850143271.249,2544,3705.1076923076921,2495,1827.8388278388277,1185,54.600000000000016,18.31501831501831,-1,-1,99
3,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426421,9596184,3331414.0625,1750850143279.0615,2526,3678.8923076923074,2467,1807.3260073260071,1185,54.600000000000016,18.31501831501831,-1,-1,99
4,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426422,9596440,3331421.875,1750850143286.874,2544,3705.1076923076921,2480,1816.8498168498168,1185,54.600000000000016,18.31501831501831,-1,-1,99
5,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426423,9596696,3331429.6875,1750850143294.6865,2544,3705.1076923076921,2486,1821.2454212454211,1184,54.708873379860421,18.278570517376487,-1,-1,99
6,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426424,9596952,3331437.5,1750850143302.499,2544,3705.1076923076921,2490,1824.1758241758241,1184,54.708873379860421,18.278570517376487,-1,-1,99
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426425,9597208,3331445.3125,1750850143310.3115,2535,3692,2483,1819.047619047619,1184,54.708873379860421,18.278570517376487,-1,-1,99
8,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426426,9597464,3331453.125,1750850143318.124,2545,3706.5641025641021,2493,1826.3736263736262,1184,54.708873379860421,18.278570517376487,-1,-1,99
9,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426427,9597720,3331460.9375,1750850143325.9365,2544,3705.1076923076921,2494,1827.1062271062269,1183,54.818181818181834,18.242122719734652,-1,-1,99
10,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426428,9597976,3331468.75,1750850143333.749,2543,3703.6512820512821,2499,1830.7692307692307,1183,54.818181818181834,18.242122719734652,-1,-1,99
11,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426429,9598232,3331476.5625,1750850143341.5615,2535,3692,2488,1822.7106227106226,1182,54.927927927927946,18.205674922092829,-1,-1,99
12,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426430,9598488,3331484.375,1750850143349.374,2544,3705.1076923076921,2491,1824.9084249084249,1181,55.0381143430291,18.169227124451002,-1,-1,99
13,97,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426431,9598744,3331492.1875,1750850143357.1865,2524,3675.979487179487,2459,1801.4652014652013,1181,55.0381143430291,18.169227124451002,-1,-1,99
14,105,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426432,9599000,3331500,1750850143364.999,2544,3705.1076923076921,2475,1813.186813186813,1180,55.148743718592961,18.132779326809178,-1,-1,99
15,113,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426433,9599256,3331507.8125,1750850143372.8115,2526,3678.8923076923074,2457,1799.9999999999998,1180,55.148743718592961,18.132779326809178,-1,-1,99
16,121,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426434,9599512,3331515.625,1750850143380.624,2545,3706.5641025641021,2479,1816.117216117216,1179,55.259818731117839,18.096331529167344,-1,-1,99
17,129,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426435,9599768,3331523.4375,1750850143388.4365,2544,3705.1076923076921,2486,1821.2454212454211,1179,55.259818731117839,18.096331529167344,-1,-1,99
18,136,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426436,9600024,3331531.25,1750850143396.249,2544,3705.1076923076921,2490,1824.1758241758241,1179,55.259818731117839,18.096331529167344,-1,-1,99
19,144,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426437,9600280,3331539.0625,1750850143404.0615,2526,3678.8923076923074,2464,1805.1282051282051,1178,55.371342078708388,18.05988373152552,-1,-1,99
20,152,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426438,9600536,3331546.875,1750850143411.874,2544,3705.1076923076921,2478,1815.3846153846152,1178,55.371342078708388,18.05988373152552,-1,-1,99
21,160,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426439,9600792,3331554.6875,1750850143419.6865,2544,3705.1076923076921,2486,1821.2454212454211,1178,55.371342078708388,18.05988373152552,-1,-1,99
22,168,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426440,9601048,3331562.5,1750850143427.499,2543,3703.6512820512821,2494,1827.1062271062269,1177,55.483316481294253,18.02343593388369,-1,-1,99
23,175,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426441,9601304,3331570.3125,1750850143435.3115,2536,3693.45641025641,2481,1817.5824175824175,1177,55.483316481294253,18.02343593388369,-1,-1,99
24,183,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,426442,9601560,3331578.125,1750850143443.124,2544,3705.1076923076921,2487,1821.9780219780218,1176,55.595744680851077,17.986988136241862,-1,-1,99
