Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178778,13229690,1396703.125,1750770160067.5505,2574,3748.7999999999997,2171,1590.4761904761904,18000,209.83128012854854,4.7657336855943111,174,-1,100
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178779,13229946,1396710.9375,1750770160075.363,2575,3750.2564102564102,2176,1594.1391941391939,18012,207.16816499206769,4.8269964646271264,174,-1,100
4,24,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178780,13230202,1396718.75,1750770160083.1755,2574,3748.7999999999997,2174,1592.6739926739926,18040,201.20955315870572,4.9699429490370246,174,-1,100
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178781,13230458,1396726.5625,1750770160090.988,2574,3748.7999999999997,2173,1591.9413919413919,18081,193.0778708723509,5.179257444065807,174,-1,100
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178782,13230714,1396734.375,1750770160098.8005,2574,3748.7999999999997,2172,1591.2087912087911,18126,184.87730061349694,5.4089928654388579,174,-1,100
7,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178783,13230970,1396742.1875,1750770160106.613,2574,3748.7999999999997,2172,1591.2087912087911,18179,176.06966292134831,5.679570139500453,174,-1,100
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178784,13231226,1396750,1750770160114.4255,2573,3747.3435897435893,2170,1589.7435897435896,18223,169.37094682230872,5.9042003292874359,174,-1,100
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178785,13231482,1396757.8125,1750770160122.238,2574,3748.7999999999997,2171,1590.4761904761904,18277,161.81536555142503,6.1798828349350998,174,-1,100
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178786,13231738,1396765.625,1750770160130.0505,2573,3747.3435897435893,2170,1589.7435897435896,18323,155.89136490250698,6.4147234878942188,174,-1,100
11,79,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178787,13231994,1396773.4375,1750770160137.863,2575,3750.2564102564102,2175,1593.4065934065934,18349,152.73099415204683,6.5474595091319809,174,-1,100
12,86,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178788,13232250,1396781.25,1750770160145.6755,2573,3747.3435897435893,2172,1591.2087912087911,18364,150.96531791907515,6.6240379829230003,174,-1,100
13,94,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178789,13232506,1396789.0625,1750770160153.488,2574,3748.7999999999997,2172,1591.2087912087911,18378,149.35379336637439,6.6955112251279498,-1,-1,100
14,102,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,178790,13232762,1396796.875,1750770160161.3005,2573,3747.3435897435893,2170,1589.7435897435896,18401,146.77969276882726,6.8129315516075106,-1,-1,100
