Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,209520,4322426,1636875,1750770400239.4255,2573,3747.3435897435893,2269,1662.2710622710622,19340,86.156806685726863,11.606744010925194,-1,-1,100
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,209521,4322682,1636882.8125,1750770400247.238,2573,3747.3435897435893,2223,1628.5714285714284,19337,86.270645232327695,11.591428316166992,-1,-1,100
4,24,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,209522,4322938,1636890.625,1750770400255.0505,2573,3747.3435897435893,2198,1610.2564102564102,19333,86.422898742554608,11.57100738982272,-1,-1,100
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,209523,4323194,1636898.4375,1750770400262.863,2556,3722.5846153846151,2351,1722.3443223443223,19323,86.805894083758034,11.519955073962043,-1,-1,100
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,209524,4323450,1636906.25,1750770400270.6755,2572,3745.8871794871789,2262,1657.1428571428571,19306,87.464835900870739,11.433166136998889,-1,-1,100
7,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,209525,4323706,1636914.0625,1750770400278.488,2573,3747.3435897435893,2220,1626.3736263736262,19280,88.492206912130129,11.300430115761124,-1,-1,100
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,209526,4323962,1636921.875,1750770400286.3005,2574,3748.7999999999997,2197,1609.5238095238094,19256,89.462205983101157,11.1779045576955,-1,-1,100
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,209527,4324218,1636929.6875,1750770400294.113,2556,3722.5846153846151,2351,1722.3443223443223,19227,90.663040962740098,11.029852841699533,-1,-1,100
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,209528,4324474,1636937.5,1750770400301.9255,2574,3748.7999999999997,2268,1661.5384615384614,19201,91.76739283204499,10.897116820461767,-1,-1,100
