Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,6,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274904,4283514,2147687.5,1750770911051.9255,2571,3744.4307692307689,2263,1657.8754578754579,19403,83.833725658035519,11.92837360084747,-1,-1,99
3,14,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274905,4283770,2147695.3125,1750770911059.738,2553,3718.2153846153847,2385,1747.2527472527472,19402,83.869621066152874,11.923268369261399,-1,-1,99
4,22,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274906,4284026,2147703.125,1750770911067.5505,2571,3744.4307692307689,2285,1673.9926739926739,19402,83.869621066152874,11.923268369261399,-1,-1,99
5,30,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274907,4284282,2147710.9375,1750770911075.363,2553,3718.2153846153847,2397,1756.0439560439559,19401,83.905547226386815,11.918163137675332,-1,-1,99
6,38,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274908,4284538,2147718.75,1750770911083.1755,2571,3744.4307692307689,2292,1679.120879120879,19401,83.905547226386815,11.918163137675332,-1,-1,99
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274909,4284794,2147726.5625,1750770911090.988,2572,3745.8871794871789,2230,1633.6996336996335,19401,83.905547226386815,11.918163137675332,-1,-1,99
8,53,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274910,4285050,2147734.375,1750770911098.8005,2571,3744.4307692307689,2200,1611.7216117216117,19399,83.977491961414799,11.907952674503196,-1,-1,99
9,61,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274911,4285306,2147742.1875,1750770911106.613,2554,3719.6717948717942,2352,1723.0769230769229,19398,84.013510615483582,11.902847442917132,-1,-1,99
10,69,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274912,4285562,2147750,1750770911114.4255,2571,3744.4307692307689,2267,1660.8058608058607,19397,84.049560180218847,11.89774221133106,-1,-1,99
11,77,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274913,4285818,2147757.8125,1750770911122.238,2572,3745.8871794871789,2216,1623.4432234432234,19397,84.049560180218847,11.89774221133106,-1,-1,99
12,85,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,274914,4286074,2147765.625,1750770911130.0505,2572,3745.8871794871789,2189,1603.6630036630036,19396,84.085640695428197,11.892636979744996,-1,-1,99
