Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,15,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,18,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182544,14108340,1426125,1750681692430.8408,2617,3811.4256410256407,2352,1723.0769230769229,1179,55.259818731117839,18.096331529167344,-1,-1,99
3,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182545,14108596,1426132.8125,1750681692438.6533,2601,3788.1230769230765,2323,1701.8315018315018,1179,55.259818731117839,18.096331529167344,-1,-1,99
4,33,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182546,14108852,1426140.625,1750681692446.4658,2617,3811.4256410256407,2340,1714.2857142857142,1179,55.259818731117839,18.096331529167344,-1,-1,99
5,41,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182547,14109108,1426148.4375,1750681692454.2783,2617,3811.4256410256407,2349,1720.8791208791208,1179,55.259818731117839,18.096331529167344,-1,-1,99
6,49,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182548,14109364,1426156.25,1750681692462.0908,2618,3812.8820512820507,2354,1724.5421245421244,1179,55.259818731117839,18.096331529167344,-1,-1,99
7,57,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182549,14109620,1426164.0625,1750681692469.9033,2600,3786.6666666666665,2320,1699.6336996336995,1178,55.371342078708388,18.05988373152552,-1,-1,99
8,65,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182550,14109876,1426171.875,1750681692477.7158,2617,3811.4256410256407,2338,1712.8205128205127,1179,55.259818731117839,18.096331529167344,-1,-1,99
9,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182551,14110132,1426179.6875,1750681692485.5283,2617,3811.4256410256407,2347,1719.4139194139193,1179,55.259818731117839,18.096331529167344,-1,-1,99
10,80,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182552,14110388,1426187.5,1750681692493.3408,2617,3811.4256410256407,2352,1723.0769230769229,1178,55.371342078708388,18.05988373152552,-1,-1,99
11,88,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182553,14110644,1426195.3125,1750681692501.1533,2601,3788.1230769230765,2324,1702.5641025641025,1178,55.371342078708388,18.05988373152552,-1,-1,99
12,96,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182554,14110900,1426203.125,1750681692508.9658,2617,3811.4256410256407,2340,1714.2857142857142,1178,55.371342078708388,18.05988373152552,-1,-1,99
13,104,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182555,14111156,1426210.9375,1750681692516.7783,2617,3811.4256410256407,2348,1720.1465201465201,1178,55.371342078708388,18.05988373152552,-1,-1,99
14,112,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182556,14111412,1426218.75,1750681692524.5908,2617,3811.4256410256407,2353,1723.8095238095236,1179,55.259818731117839,18.096331529167344,-1,-1,99
15,119,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182557,14111668,1426226.5625,1750681692532.4033,2600,3786.6666666666665,2319,1698.9010989010987,1178,55.371342078708388,18.05988373152552,-1,-1,99
16,127,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182558,14111924,1426234.375,1750681692540.2158,2618,3812.8820512820507,2338,1712.8205128205127,1178,55.371342078708388,18.05988373152552,-1,-1,99
17,135,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182559,14112180,1426242.1875,1750681692548.0283,2618,3812.8820512820507,2349,1720.8791208791208,1178,55.371342078708388,18.05988373152552,-1,-1,99
18,143,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182560,14112436,1426250,1750681692555.8408,2617,3811.4256410256407,2353,1723.8095238095236,1178,55.371342078708388,18.05988373152552,-1,-1,99
19,151,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,182561,14112692,1426257.8125,1750681692563.6533,2600,3786.6666666666665,2320,1699.6336996336995,1178,55.371342078708388,18.05988373152552,-1,-1,99
