Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,8,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153027,6551988,1195523.4375,1750681461829.2783,2616,3809.9692307692303,2342,1715.7509157509157,20130,63.939121919373264,15.639876963918775,-1,-1,99
3,18,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153028,6552244,1195531.25,1750681461837.0908,2603,3791.0358974358974,2325,1703.2967032967031,20130,63.939121919373264,15.639876963918775,-1,-1,99
4,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153029,6552500,1195539.0625,1750681461844.9033,2615,3808.5128205128199,2339,1713.5531135531135,20131,63.918257464512983,15.64498219550484,-1,-1,99
5,34,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153030,6552756,1195546.875,1750681461852.7158,2600,3786.6666666666665,2312,1693.7728937728937,20131,63.918257464512983,15.64498219550484,-1,-1,99
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153031,6553012,1195554.6875,1750681461860.5283,2615,3808.5128205128199,2332,1708.4249084249084,20132,63.897406622084489,15.650087427090911,-1,-1,99
7,49,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153032,6553268,1195562.5,1750681461868.3408,2617,3811.4256410256407,2344,1717.216117216117,20132,63.897406622084489,15.650087427090911,-1,-1,99
8,57,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153033,6553524,1195570.3125,1750681461876.1533,2616,3809.9692307692303,2346,1718.6813186813185,20132,63.897406622084489,15.650087427090911,-1,-1,99
9,65,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153034,6553780,1195578.125,1750681461883.9658,2599,3785.2102564102561,2319,1698.9010989010987,20133,63.876569378770597,15.655192658676976,-1,-1,99
10,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153035,6554036,1195585.9375,1750681461891.7783,2616,3809.9692307692303,2332,1708.4249084249084,20134,63.85574572127139,15.660297890263047,-1,-1,99
11,81,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153036,6554292,1195593.75,1750681461899.5908,2617,3811.4256410256407,2345,1717.9487179487178,20133,63.876569378770597,15.655192658676976,-1,-1,99
12,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153037,6554548,1195601.5625,1750681461907.4033,2616,3809.9692307692303,2346,1718.6813186813185,20134,63.85574572127139,15.660297890263047,-1,-1,99
13,96,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153038,6554804,1195609.375,1750681461915.2158,2600,3786.6666666666665,2315,1695.9706959706959,20135,63.834935636304394,15.665403121849112,-1,-1,99
14,104,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153039,6555060,1195617.1875,1750681461923.0283,2616,3809.9692307692303,2330,1706.9597069597069,20135,63.834935636304394,15.665403121849112,-1,-1,99
15,112,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153040,6555316,1195625,1750681461930.8408,2603,3791.0358974358974,2319,1698.9010989010987,20135,63.834935636304394,15.665403121849112,-1,-1,99
16,120,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153041,6555572,1195632.8125,1750681461938.6533,2615,3808.5128205128199,2336,1711.3553113553112,20136,63.81413911060433,15.670508353435183,-1,-1,99
17,128,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153042,6555828,1195640.625,1750681461946.4658,2600,3786.6666666666665,2310,1692.3076923076922,20136,63.81413911060433,15.670508353435183,-1,-1,99
18,135,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153043,6556084,1195648.4375,1750681461954.2783,2616,3809.9692307692303,2327,1704.7619047619046,20137,63.7933561309233,15.675613585021251,-1,-1,99
19,143,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153044,6556340,1195656.25,1750681461962.0908,2617,3811.4256410256407,2342,1715.7509157509157,20138,63.772586684030614,15.680718816607316,-1,-1,99
20,151,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153045,6556596,1195664.0625,1750681461969.9033,2615,3808.5128205128199,2348,1720.1465201465201,20139,63.751830756712778,15.685824048193384,-1,-1,99
21,159,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153046,6556852,1195671.875,1750681461977.7158,2600,3786.6666666666665,2316,1696.7032967032967,20139,63.751830756712778,15.685824048193384,-1,-1,99
22,167,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153047,6557108,1195679.6875,1750681461985.5283,2616,3809.9692307692303,2331,1707.6923076923076,20139,63.751830756712778,15.685824048193384,-1,-1,99
23,174,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153048,6557364,1195687.5,1750681461993.3408,2617,3811.4256410256407,2344,1717.216117216117,20140,63.731088335773563,15.690929279779448,-1,-1,99
24,182,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153049,6557620,1195695.3125,1750681462001.1533,2615,3808.5128205128199,2349,1720.8791208791208,20141,63.710359408033824,15.696034511365523,-1,-1,99
25,190,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,153050,6557876,1195703.125,1750681462008.9658,2601,3788.1230769230765,2322,1701.098901098901,20141,63.710359408033824,15.696034511365523,-1,-1,99
