Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320258,15808692,2502015.625,1750682768321.4658,2612,3804.1435897435895,2315,1695.9706959706959,1175,55.708629441624382,17.950540338600035,-1,-1,99
3,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320259,15808948,2502023.4375,1750682768329.2783,2612,3804.1435897435895,2322,1701.098901098901,1175,55.708629441624382,17.950540338600035,-1,-1,99
4,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320260,15809204,2502031.25,1750682768337.0908,2613,3805.5999999999999,2332,1708.4249084249084,1175,55.708629441624382,17.950540338600035,-1,-1,99
5,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320261,15809460,2502039.0625,1750682768344.9033,2594,3777.9282051282048,2298,1683.5164835164835,1175,55.708629441624382,17.950540338600035,-1,-1,99
6,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320262,15809716,2502046.875,1750682768352.7158,2612,3804.1435897435895,2313,1694.5054945054944,1175,55.708629441624382,17.950540338600035,-1,-1,99
7,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320263,15809972,2502054.6875,1750682768360.5283,2612,3804.1435897435895,2321,1700.3663003663003,1175,55.708629441624382,17.950540338600035,-1,-1,99
8,51,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320264,15810228,2502062.5,1750682768368.3408,2612,3804.1435897435895,2325,1703.2967032967031,1175,55.708629441624382,17.950540338600035,-1,-1,99
9,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320265,15810484,2502070.3125,1750682768376.1533,2595,3779.3846153846152,2300,1684.9816849816848,1175,55.708629441624382,17.950540338600035,-1,-1,99
10,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320266,15810740,2502078.125,1750682768383.9658,2613,3805.5999999999999,2319,1698.9010989010987,1175,55.708629441624382,17.950540338600035,-1,-1,99
11,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320267,15810996,2502085.9375,1750682768391.7783,2613,3805.5999999999999,2330,1706.9597069597069,1174,55.821973550356063,17.914092540958208,-1,-1,99
12,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320268,15811252,2502093.75,1750682768399.5908,2612,3804.1435897435895,2330,1706.9597069597069,1175,55.708629441624382,17.950540338600035,-1,-1,99
13,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320269,15811508,2502101.5625,1750682768407.4033,2594,3777.9282051282048,2297,1682.7838827838827,1175,55.708629441624382,17.950540338600035,-1,-1,99
14,97,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320270,15811764,2502109.375,1750682768415.2158,2612,3804.1435897435895,2312,1693.7728937728937,1175,55.708629441624382,17.950540338600035,-1,-1,99
15,105,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320271,15812020,2502117.1875,1750682768423.0283,2613,3805.5999999999999,2326,1704.0293040293038,1175,55.708629441624382,17.950540338600035,-1,-1,99
16,113,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320272,15812276,2502125,1750682768430.8408,2612,3804.1435897435895,2328,1705.4945054945053,1174,55.821973550356063,17.914092540958208,-1,-1,99
17,121,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320273,15812532,2502132.8125,1750682768438.6533,2594,3777.9282051282048,2296,1682.051282051282,1174,55.821973550356063,17.914092540958208,-1,-1,99
18,129,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320274,15812788,2502140.625,1750682768446.4658,2613,3805.5999999999999,2317,1697.4358974358972,1174,55.821973550356063,17.914092540958208,-1,-1,99
19,136,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320275,15813044,2502148.4375,1750682768454.2783,2613,3805.5999999999999,2329,1706.2271062271061,1174,55.821973550356063,17.914092540958208,-1,-1,99
20,144,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320276,15813300,2502156.25,1750682768462.0908,2612,3804.1435897435895,2329,1706.2271062271061,1174,55.821973550356063,17.914092540958208,-1,-1,99
21,152,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320277,15813556,2502164.0625,1750682768469.9033,2594,3777.9282051282048,2297,1682.7838827838827,1174,55.821973550356063,17.914092540958208,-1,-1,99
22,160,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320278,15813812,2502171.875,1750682768477.7158,2612,3804.1435897435895,2312,1693.7728937728937,1174,55.821973550356063,17.914092540958208,-1,-1,99
23,168,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320279,15814068,2502179.6875,1750682768485.5283,2612,3804.1435897435895,2320,1699.6336996336995,1174,55.821973550356063,17.914092540958208,-1,-1,99
24,176,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320280,15814324,2502187.5,1750682768493.3408,2612,3804.1435897435895,2325,1703.2967032967031,1174,55.821973550356063,17.914092540958208,-1,-1,99
25,183,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320281,15814580,2502195.3125,1750682768501.1533,2595,3779.3846153846152,2300,1684.9816849816848,1174,55.821973550356063,17.914092540958208,-1,-1,99
26,191,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320282,15814836,2502203.125,1750682768508.9658,2612,3804.1435897435895,2314,1695.2380952380952,1174,55.821973550356063,17.914092540958208,-1,-1,99
27,199,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320283,15815092,2502210.9375,1750682768516.7783,2613,3805.5999999999999,2327,1704.7619047619046,1173,55.935779816513772,17.877644743316381,-1,-1,99
28,207,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320284,15815348,2502218.75,1750682768524.5908,2613,3805.5999999999999,2334,1709.8901098901097,1174,55.821973550356063,17.914092540958208,-1,-1,99
29,215,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320285,15815604,2502226.5625,1750682768532.4033,2595,3779.3846153846152,2304,1687.9120879120878,1174,55.821973550356063,17.914092540958208,-1,-1,99
30,222,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320286,15815860,2502234.375,1750682768540.2158,2613,3805.5999999999999,2322,1701.098901098901,1174,55.821973550356063,17.914092540958208,-1,-1,99
31,230,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320287,15816116,2502242.1875,1750682768548.0283,2612,3804.1435897435895,2326,1704.0293040293038,1173,55.935779816513772,17.877644743316381,-1,-1,99
32,238,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320288,15816372,2502250,1750682768555.8408,2612,3804.1435897435895,2328,1705.4945054945053,1174,55.821973550356063,17.914092540958208,-1,-1,99
33,246,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320289,15816628,2502257.8125,1750682768563.6533,2595,3779.3846153846152,2301,1685.7142857142856,1174,55.821973550356063,17.914092540958208,-1,-1,99
34,254,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320290,15816884,2502265.625,1750682768571.4658,2612,3804.1435897435895,2315,1695.9706959706959,1173,55.935779816513772,17.877644743316381,-1,-1,99
35,261,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,320291,15817140,2502273.4375,1750682768579.2783,2613,3805.5999999999999,2327,1704.7619047619046,1174,55.821973550356063,17.914092540958208,-1,-1,99
