Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191198,16487960,1493734.375,1750848305599.374,2550,3713.8461538461538,2522,1847.6190476190475,19013,100.63061905985103,9.9373332822810152,-1,-1,100
3,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191199,16488216,1493742.1875,1750848305607.1865,2550,3713.8461538461538,2522,1847.6190476190475,19013,100.63061905985103,9.9373332822810152,-1,-1,100
4,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191200,16488472,1493750,1750848305614.999,2550,3713.8461538461538,2522,1847.6190476190475,19013,100.63061905985103,9.9373332822810152,-1,-1,100
5,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191201,16488728,1493757.8125,1750848305622.8115,2550,3713.8461538461538,2522,1847.6190476190475,19013,100.63061905985103,9.9373332822810152,-1,-1,100
6,39,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191202,16488984,1493765.625,1750848305630.624,2549,3712.3897435897434,2522,1847.6190476190475,19014,100.57894736842107,9.9424385138670832,-1,-1,100
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191203,16489240,1493773.4375,1750848305638.4365,2550,3713.8461538461538,2522,1847.6190476190475,19016,100.47576301615798,9.952648977039221,-1,-1,100
8,54,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191204,16489496,1493781.25,1750848305646.249,2550,3713.8461538461538,2522,1847.6190476190475,19017,100.42425019225841,9.9577542086252873,-1,-1,100
9,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191205,16489752,1493789.0625,1750848305654.0615,2551,3715.3025641025638,2527,1851.2820512820513,19019,100.32138284250962,9.9679646717974233,-1,-1,100
10,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191206,16490008,1493796.875,1750848305661.874,2549,3712.3897435897434,2525,1849.8168498168498,19020,100.27002815459433,9.9730699033834913,-1,-1,100
11,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191207,16490264,1493804.6875,1750848305669.6865,2550,3713.8461538461538,2524,1849.084249084249,19022,100.16747634875992,9.9832803665556273,-1,-1,100
12,85,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191208,16490520,1493812.5,1750848305677.499,2550,3713.8461538461538,2523,1848.3516483516482,19022,100.16747634875992,9.9832803665556273,-1,-1,100
13,93,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191209,16490776,1493820.3125,1750848305685.3115,2550,3713.8461538461538,2523,1848.3516483516482,19022,100.16747634875992,9.9832803665556273,-1,-1,100
14,101,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191210,16491032,1493828.125,1750848305693.124,2548,3710.9333333333329,2517,1843.9560439560439,19020,100.27002815459433,9.9730699033834913,-1,-1,100
15,109,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191211,16491288,1493835.9375,1750848305700.9365,2545,3706.5641025641021,2513,1841.0256410256409,19019,100.32138284250962,9.9679646717974233,-1,-1,100
16,117,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191212,16491544,1493843.75,1750848305708.749,2549,3712.3897435897434,2516,1843.2234432234432,19017,100.42425019225841,9.9577542086252873,-1,-1,100
17,124,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191213,16491800,1493851.5625,1750848305716.5615,2550,3713.8461538461538,2519,1845.4212454212452,19016,100.47576301615798,9.952648977039221,-1,-1,100
18,132,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,191214,16492056,1493859.375,1750848305724.374,2550,3713.8461538461538,2521,1846.8864468864467,19015,100.52732871439569,9.9475437454531512,-1,-1,100
