Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240126,12236312,1875984.375,1750848687849.374,2528,3681.8051282051279,2468,1808.0586080586079,19444,82.388012618296528,12.137688095876248,-1,-1,99
3,18,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240127,12236568,1875992.1875,1750848687857.1865,2546,3708.0205128205125,2486,1821.2454212454211,19450,82.180616740088098,12.168319485392656,-1,-1,99
4,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240128,12236824,1876000,1750848687864.999,2529,3683.2615384615383,2468,1808.0586080586079,19454,82.042931937172796,12.188740411736925,-1,-1,99
5,34,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240129,12237080,1876007.8125,1750848687872.8115,2548,3710.9333333333329,2487,1821.9780219780218,19458,81.905707714823336,12.209161338081199,-1,-1,99
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240130,12237336,1876015.625,1750848687880.624,2548,3710.9333333333329,2497,1829.3040293040292,19460,81.837267599749325,12.219371801253335,-1,-1,99
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240131,12237592,1876023.4375,1750848687888.4365,2548,3710.9333333333329,2503,1833.6996336996335,19461,81.803090415535621,12.224477032839399,-1,-1,99
8,57,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240132,12237848,1876031.25,1750848687896.249,2529,3683.2615384615383,2477,1814.6520146520145,19464,81.700729927007302,12.239792727597605,-1,-1,99
9,65,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240133,12238104,1876039.0625,1750848687904.0615,2548,3710.9333333333329,2492,1825.6410256410254,19466,81.632631798291314,12.250003190769741,-1,-1,99
10,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240134,12238360,1876046.875,1750848687911.874,2548,3710.9333333333329,2500,1831.5018315018315,19470,81.496775535677159,12.270424117114009,-1,-1,99
11,81,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240135,12238616,1876054.6875,1750848687919.6865,2548,3710.9333333333329,2504,1834.4322344322343,19475,81.327589786173974,12.295950275044349,-1,-1,99
12,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240136,12238872,1876062.5,1750848687927.499,2529,3683.2615384615383,2478,1815.3846153846152,19480,81.15910503418273,12.321476432974691,-1,-1,99
13,96,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240137,12239128,1876070.3125,1750848687935.3115,2549,3712.3897435897434,2497,1829.3040293040292,19485,80.991316931982638,12.34700259090503,-1,-1,99
14,104,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240138,12239384,1876078.125,1750848687943.124,2548,3710.9333333333329,2503,1833.6996336996335,19489,80.857585139318886,12.367423517249302,-1,-1,99
15,112,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240139,12239640,1876085.9375,1750848687950.9365,2547,3709.4769230769225,2510,1838.8278388278386,19494,80.691040164778585,12.39294967517964,-1,-1,99
16,120,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240140,12239896,1876093.75,1750848687958.749,2529,3683.2615384615383,2481,1817.5824175824175,19498,80.558297347316483,12.41337060152391,-1,-1,99
17,128,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240141,12240152,1876101.5625,1750848687966.5615,2548,3710.9333333333329,2494,1827.1062271062269,19503,80.392981736096871,12.438896759454249,-1,-1,99
18,135,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240142,12240408,1876109.375,1750848687974.374,2548,3710.9333333333329,2500,1831.5018315018315,19509,80.195496417604915,12.469528148970658,-1,-1,99
19,143,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,240143,12240664,1876117.1875,1750848687982.1865,2546,3708.0205128205125,2504,1834.4322344322343,19514,80.031664964249245,12.495054306900995,-1,-1,99
