Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365435,10760984,2854960.9375,1750849666825.9365,2526,3678.8923076923074,2466,1806.5934065934064,19894,69.275862068965523,14.435042309606768,-1,-1,99
3,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365436,10761240,2854968.75,1750849666833.749,2544,3705.1076923076921,2479,1816.117216117216,19893,69.300371484167712,14.4299370780207,-1,-1,99
4,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365437,10761496,2854976.5625,1750849666841.5615,2544,3705.1076923076921,2486,1821.2454212454211,19892,69.324898248097696,14.424831846434632,-1,-1,99
5,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365438,10761752,2854984.375,1750849666849.374,2544,3705.1076923076921,2490,1824.1758241758241,19891,69.349442379182165,14.419726614848564,-1,-1,99
6,39,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365439,10762008,2854992.1875,1750849666857.1865,2525,3677.4358974358975,2464,1805.1282051282051,19892,69.324898248097696,14.424831846434632,-1,-1,99
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365440,10762264,2855000,1750849666864.999,2544,3705.1076923076921,2478,1815.3846153846152,19891,69.349442379182165,14.419726614848564,-1,-1,99
8,54,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365441,10762520,2855007.8125,1750849666872.8115,2544,3705.1076923076921,2486,1821.2454212454211,19890,69.374003895873912,14.414621383262499,-1,-1,99
9,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365442,10762776,2855015.625,1750849666880.624,2544,3705.1076923076921,2490,1824.1758241758241,19890,69.374003895873912,14.414621383262499,-1,-1,99
10,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365443,10763032,2855023.4375,1750849666888.4365,2525,3677.4358974358975,2464,1805.1282051282051,19889,69.39858281665191,14.40951615167643,-1,-1,99
11,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365444,10763288,2855031.25,1750849666896.249,2544,3705.1076923076921,2478,1815.3846153846152,19889,69.39858281665191,14.40951615167643,-1,-1,99
12,86,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365445,10763544,2855039.0625,1750849666904.0615,2525,3677.4358974358975,2457,1799.9999999999998,19889,69.39858281665191,14.40951615167643,-1,-1,99
13,93,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365446,10763800,2855046.875,1750849666911.874,2542,3702.1948717948717,2473,1811.7216117216117,19888,69.423179160021277,14.40441092009036,-1,-1,99
14,101,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365447,10764056,2855054.6875,1750849666919.6865,2525,3677.4358974358975,2455,1798.5347985347985,19887,69.447792944513395,14.399305688504294,-1,-1,99
15,109,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365448,10764312,2855062.5,1750849666927.499,2544,3705.1076923076921,2473,1811.7216117216117,19887,69.447792944513395,14.399305688504294,-1,-1,99
16,117,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365449,10764568,2855070.3125,1750849666935.3115,2524,3675.979487179487,2449,1794.1391941391939,19886,69.472424188685949,14.394200456918226,-1,-1,99
17,125,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365450,10764824,2855078.125,1750849666943.124,2544,3705.1076923076921,2470,1809.5238095238094,19886,69.472424188685949,14.394200456918226,-1,-1,99
18,132,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365451,10765080,2855085.9375,1750849666950.9365,2526,3678.8923076923074,2454,1797.8021978021977,19886,69.472424188685949,14.394200456918226,-1,-1,99
19,140,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365452,10765336,2855093.75,1750849666958.749,2545,3706.5641025641021,2477,1814.6520146520145,19885,69.497072911122942,14.389095225332159,-1,-1,99
20,148,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365453,10765592,2855101.5625,1750849666966.5615,2544,3705.1076923076921,2485,1820.5128205128203,19884,69.521739130434796,14.38398999374609,-1,-1,99
21,156,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365454,10765848,2855109.375,1750849666974.374,2543,3703.6512820512821,2494,1827.1062271062269,19883,69.546422865258307,14.378884762160022,-1,-1,99
22,164,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365455,10766104,2855117.1875,1750849666982.1865,2524,3675.979487179487,2461,1802.9304029304028,19882,69.571124134256806,14.373779530573952,-1,-1,99
23,171,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365456,10766360,2855125,1750849666989.999,2545,3706.5641025641021,2481,1817.5824175824175,19881,69.59584295612008,14.368674298987889,-1,-1,99
24,179,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,365457,10766616,2855132.8125,1750849666997.8115,2544,3705.1076923076921,2487,1821.9780219780218,19880,69.620579349564608,14.363569067401817,-1,-1,99
