Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,Shimmer 569430 A1B9 GSR,332681,2375960,2599070.3125,1750849410935.3115,2545,3706.5641025641021,2492,1825.6410256410254,20123,64.085555373793554,15.604140342816303,-1,-1,99
2,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332682,2376216,2599078.125,1750849410943.124,2545,3706.5641025641021,2499,1830.7692307692307,20123,64.085555373793554,15.604140342816303,-1,-1,99
3,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332683,2376472,2599085.9375,1750849410950.9365,2525,3677.4358974358975,2469,1808.7912087912086,20123,64.085555373793554,15.604140342816303,-1,-1,99
4,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332684,2376728,2599093.75,1750849410958.749,2544,3705.1076923076921,2481,1817.5824175824175,20123,64.085555373793554,15.604140342816303,-1,-1,99
5,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332685,2376984,2599101.5625,1750849410966.5615,2545,3706.5641025641021,2492,1825.6410256410254,20123,64.085555373793554,15.604140342816303,-1,-1,99
6,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332686,2377240,2599109.375,1750849410974.374,2545,3706.5641025641021,2499,1830.7692307692307,20123,64.085555373793554,15.604140342816303,-1,-1,99
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332687,2377496,2599117.1875,1750849410982.1865,2539,3697.8256410256408,2495,1827.8388278388277,20123,64.085555373793554,15.604140342816303,-1,-1,99
8,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332688,2377752,2599125,1750849410989.999,2545,3706.5641025641021,2500,1831.5018315018315,20123,64.085555373793554,15.604140342816303,-1,-1,99
9,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332689,2378008,2599132.8125,1750849410997.8115,2535,3692,2489,1823.4432234432234,20123,64.085555373793554,15.604140342816303,-1,-1,99
10,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332690,2378264,2599140.625,1750849411005.624,2545,3706.5641025641021,2496,1828.5714285714284,20123,64.085555373793554,15.604140342816303,-1,-1,99
11,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332691,2378520,2599148.4375,1750849411013.4365,2546,3708.0205128205125,2502,1832.9670329670328,20124,64.064595257563383,15.609245574402365,-1,-1,99
12,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332692,2378776,2599156.25,1750849411021.249,2544,3705.1076923076921,2498,1830.03663003663,20124,64.064595257563383,15.609245574402365,-1,-1,99
13,97,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332693,2379032,2599164.0625,1750849411029.0615,2535,3692,2488,1822.7106227106226,20124,64.064595257563383,15.609245574402365,-1,-1,99
14,105,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332694,2379288,2599171.875,1750849411036.874,2544,3705.1076923076921,2491,1824.9084249084249,20124,64.064595257563383,15.609245574402365,-1,-1,99
15,113,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332695,2379544,2599179.6875,1750849411044.6865,2545,3706.5641025641021,2498,1830.03663003663,20124,64.064595257563383,15.609245574402365,-1,-1,99
16,121,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332696,2379800,2599187.5,1750849411052.499,2544,3705.1076923076921,2496,1828.5714285714284,20124,64.064595257563383,15.609245574402365,-1,-1,99
17,128,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332697,2380056,2599195.3125,1750849411060.3115,2545,3706.5641025641021,2501,1832.234432234432,20125,64.043648847474245,15.614350805988439,-1,-1,99
18,136,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332698,2380312,2599203.125,1750849411068.124,2545,3706.5641025641021,2503,1833.6996336996335,20124,64.064595257563383,15.609245574402365,-1,-1,99
19,144,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332699,2380568,2599210.9375,1750849411075.9365,2546,3708.0205128205125,2506,1835.8974358974358,20124,64.064595257563383,15.609245574402365,-1,-1,99
20,152,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332700,2380824,2599218.75,1750849411083.749,2544,3705.1076923076921,2501,1832.234432234432,20124,64.064595257563383,15.609245574402365,-1,-1,99
21,160,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,332701,2381080,2599226.5625,1750849411091.5615,2536,3693.45641025641,2485,1820.5128205128203,20124,64.064595257563383,15.609245574402365,-1,-1,99
