Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41484,16552474,324093.75,1750843842720.7085,2566,3737.1487179487176,2138,1566.3003663003662,52350,895.34883720930247,1.1168831168831166,-1,-1,100
3,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41485,16552730,324101.5625,1750843842728.521,2566,3737.1487179487176,2138,1566.3003663003662,52350,895.34883720930247,1.1168831168831166,-1,-1,100
4,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41486,16552986,324109.375,1750843842736.3335,2567,3738.605128205128,2143,1569.9633699633698,52350,895.34883720930247,1.1168831168831166,-1,-1,100
5,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41487,16553242,324117.1875,1750843842744.146,2568,3740.0615384615385,2141,1568.4981684981683,52350,895.34883720930247,1.1168831168831166,-1,-1,100
6,39,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41488,16553498,324125,1750843842751.9585,2566,3737.1487179487176,2139,1567.032967032967,52350,895.34883720930247,1.1168831168831166,-1,-1,100
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41489,16553754,324132.8125,1750843842759.771,2567,3738.605128205128,2144,1570.6959706959706,52349,895.70491151322324,1.1164391164391165,-1,-1,100
8,54,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41490,16554010,324140.625,1750843842767.5835,2567,3738.605128205128,2146,1572.1611721611721,52349,895.70491151322324,1.1164391164391165,-1,-1,100
9,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41491,16554266,324148.4375,1750843842775.396,2566,3737.1487179487176,2142,1569.2307692307691,52349,895.70491151322324,1.1164391164391165,-1,-1,100
10,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41492,16554522,324156.25,1750843842783.2085,2566,3737.1487179487176,2140,1567.7655677655678,52349,895.70491151322324,1.1164391164391165,-1,-1,100
11,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41493,16554778,324164.0625,1750843842791.021,2565,3735.6923076923072,2137,1565.5677655677655,52349,895.70491151322324,1.1164391164391165,-1,-1,100
12,85,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41494,16555034,324171.875,1750843842798.8335,2567,3738.605128205128,2143,1569.9633699633698,52348,896.06126914660842,1.1159951159951158,-1,-1,100
13,93,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41495,16555290,324179.6875,1750843842806.646,2568,3740.0615384615385,2141,1568.4981684981683,52348,896.06126914660842,1.1159951159951158,-1,-1,100
14,101,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41496,16555546,324187.5,1750843842814.4585,2566,3737.1487179487176,2139,1567.032967032967,52348,896.06126914660842,1.1159951159951158,-1,-1,100
15,109,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41497,16555802,324195.3125,1750843842822.271,2566,3737.1487179487176,2138,1566.3003663003662,52348,896.06126914660842,1.1159951159951158,-1,-1,100
16,117,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41498,16556058,324203.125,1750843842830.0835,2567,3738.605128205128,2143,1569.9633699633698,52348,896.06126914660842,1.1159951159951158,-1,-1,100
17,124,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41499,16556314,324210.9375,1750843842837.896,2567,3738.605128205128,2146,1572.1611721611721,52348,896.06126914660842,1.1159951159951158,-1,-1,100
18,132,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41500,16556570,324218.75,1750843842845.7085,2566,3737.1487179487176,2142,1569.2307692307691,52348,896.06126914660842,1.1159951159951158,-1,-1,100
19,140,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41501,16556826,324226.5625,1750843842853.521,2567,3738.605128205128,2145,1571.4285714285713,52347,896.41791044776119,1.1155511155511155,-1,-1,100
20,148,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41502,16557082,324234.375,1750843842861.3335,2567,3738.605128205128,2147,1572.8937728937728,52347,896.41791044776119,1.1155511155511155,-1,-1,100
21,156,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41503,16557338,324242.1875,1750843842869.146,2568,3740.0615384615385,2144,1570.6959706959706,52347,896.41791044776119,1.1155511155511155,-1,-1,100
22,164,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,41504,16557594,324250,1750843842876.9585,2566,3737.1487179487176,2140,1567.7655677655678,52346,896.77483575552469,1.115107115107115,-1,-1,100
