Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,88626,11843610,692390.625,1750844211017.5835,2565,3735.6923076923072,2164,1585.3479853479853,35117,409.54095409540957,2.4417582417582415,-1,-1,100
3,18,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,88627,11843866,692398.4375,1750844211025.396,2548,3710.9333333333329,2320,1699.6336996336995,35117,409.54095409540957,2.4417582417582415,-1,-1,100
4,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,88628,11844122,692406.25,1750844211033.2085,2564,3734.2358974358972,2229,1632.9670329670328,35118,409.29535232383813,2.443223443223443,-1,-1,100
5,34,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,88629,11844378,692414.0625,1750844211041.021,2565,3735.6923076923072,2186,1601.4652014652013,35119,409.05004495055437,2.4446886446886449,-1,-1,100
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,88630,11844634,692421.875,1750844211048.8335,2565,3735.6923076923072,2162,1583.8827838827838,35120,408.80503144654091,2.4461538461538463,-1,-1,100
7,49,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,88631,11844890,692429.6875,1750844211056.646,2547,3709.4769230769225,2324,1702.5641025641025,35120,408.80503144654091,2.4461538461538463,-1,-1,100
8,57,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,88632,11845146,692437.5,1750844211064.4585,2566,3737.1487179487176,2238,1639.5604395604394,35120,408.80503144654091,2.4461538461538463,-1,-1,100
9,65,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,88633,11845402,692445.3125,1750844211072.271,2566,3737.1487179487176,2192,1605.8608058608058,35121,408.56031128404675,2.4476190476190474,-1,-1,100
10,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,88634,11845658,692453.125,1750844211080.0835,2565,3735.6923076923072,2165,1586.080586080586,35121,408.56031128404675,2.4476190476190474,-1,-1,100
