Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194238,5325850,1517484.375,1750845036111.3335,2560,3728.4102564102564,2148,1573.6263736263736,35922,276.14808820554316,3.6212454212454217,-1,-1,100
3,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194239,5326106,1517492.1875,1750845036119.146,2559,3726.9538461538459,2334,1709.8901098901097,35922,276.14808820554316,3.6212454212454217,-1,-1,100
4,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194240,5326362,1517500,1750845036126.9585,2560,3728.4102564102564,2228,1632.2344322344322,35923,276.03640040444895,3.6227106227106227,-1,-1,100
5,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194241,5326618,1517507.8125,1750845036134.771,2560,3728.4102564102564,2171,1590.4761904761904,35923,276.03640040444895,3.6227106227106227,-1,-1,100
6,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194242,5326874,1517515.625,1750845036142.5835,2560,3728.4102564102564,2140,1567.7655677655678,35923,276.03640040444895,3.6227106227106227,-1,-1,100
7,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194243,5327130,1517523.4375,1750845036150.396,2559,3726.9538461538459,2330,1706.9597069597069,35923,276.03640040444895,3.6227106227106227,-1,-1,100
8,51,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194244,5327386,1517531.25,1750845036158.2085,2561,3729.8666666666668,2231,1634.4322344322343,35923,276.03640040444895,3.6227106227106227,-1,-1,100
9,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194245,5327642,1517539.0625,1750845036166.021,2560,3728.4102564102564,2173,1591.9413919413919,35924,275.92480291085508,3.6241758241758237,-1,-1,100
10,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194246,5327898,1517546.875,1750845036173.8335,2560,3728.4102564102564,2141,1568.4981684981683,35924,275.92480291085508,3.6241758241758237,-1,-1,100
11,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194247,5328154,1517554.6875,1750845036181.646,2559,3726.9538461538459,2331,1707.6923076923076,35925,275.81329561527582,3.6256410256410256,-1,-1,100
12,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194248,5328410,1517562.5,1750845036189.4585,2559,3726.9538461538459,2434,1783.150183150183,35924,275.92480291085508,3.6241758241758237,-1,-1,100
13,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194249,5328666,1517570.3125,1750845036197.271,2559,3726.9538461538459,2491,1824.9084249084249,35925,275.81329561527582,3.6256410256410256,-1,-1,100
14,97,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194250,5328922,1517578.125,1750845036205.0835,2561,3729.8666666666668,2319,1698.9010989010987,35926,275.70187840840237,3.6271062271062267,-1,-1,100
15,105,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,194251,5329178,1517585.9375,1750845036212.896,2559,3726.9538461538459,2429,1779.4871794871794,35926,275.70187840840237,3.6271062271062267,-1,-1,100
