ts_datetime,ts_unix_ms,primary_grab_hand,pt_x,pt_y,pt_z,st_x,st_y,st_z,pv_x,pv_y,pv_z,sv_x,sv_y,sv_z,hmd_x,hmd_y,hmd_z,ee_x,ee_y,ee_z,shovel_loaded_state,cube_max_target_reached,grab_count,collision_or_load_count
6/25/2025 11:27:13 AM,1750843633277,Left,-0.9410895,0.1283033,0.4773537,-0.568122,0.4031143,0.06895638,-0.9411913,0.1279147,0.4772422,0.1,3,0,-0.7081901,0.7152242,0.3492712,-0.9780631,0.06000001,0.5001206,False,1,1,0
6/25/2025 11:27:13 AM,1750843633291,Left,-0.9410931,0.1273164,0.4780967,-0.5691894,0.4030515,0.0691427,-0.9409934,0.1271461,0.4779914,0.1,3,0,-0.7090484,0.7142108,0.3504708,-0.9778907,0.05954848,0.5017505,False,1,1,0
6/25/2025 11:27:13 AM,1750843633321,Left,-0.9422227,0.1258474,0.4789996,-0.5707098,0.403157,0.06959474,-0.9420756,0.1256068,0.4791717,0.1,3,0,-0.7110287,0.7112932,0.354207,-0.9799792,0.05858528,0.5029788,False,1,1,0
6/25/2025 11:27:13 AM,1750843633334,Left,-0.9438058,0.1230318,0.4804453,-0.5716175,0.4033052,0.06993008,-0.9438058,0.1230318,0.4804453,0.1,3,0,-0.7118033,0.7104223,0.3553274,-0.981314,0.0551827,0.5024675,False,1,1,0
6/25/2025 11:27:13 AM,1750843633363,Left,-0.9477521,0.1209749,0.4808136,-0.5745796,0.4039873,0.07140672,-0.9474264,0.1210617,0.4807464,0.1,3,0,-0.7133058,0.7086554,0.3574722,-0.9823613,0.0506212,0.4984392,False,1,1,0
6/25/2025 11:27:13 AM,1750843633378,Left,-0.9487966,0.1201115,0.481373,-0.5755378,0.40431,0.07225657,-0.9488667,0.1200342,0.4814074,0.1,3,0,-0.713843,0.7079698,0.358708,-0.9829073,0.04904532,0.4986457,False,1,1,0
6/25/2025 11:27:13 AM,1750843633394,Left,-0.9492565,0.1194994,0.4816649,-0.5766689,0.4046757,0.07342911,-0.949464,0.1194054,0.4817007,0.1,3,0,-0.7146713,0.7075251,0.3599836,-0.9843261,0.04900792,0.4997057,False,1,1,0
6/25/2025 11:27:13 AM,1750843633423,Left,-0.9503683,0.1178016,0.480564,-0.5799919,0.4055236,0.07713771,-0.9504424,0.1178275,0.4809299,0.1,3,0,-0.7161824,0.7068757,0.3612092,-0.9871678,0.04860387,0.4997627,False,1,1,0
6/25/2025 11:27:13 AM,1750843633438,Left,-0.9504389,0.1167118,0.4787518,-0.5811256,0.4054863,0.07878244,-0.9504389,0.1167118,0.4787518,0.1,3,0,-0.7163485,0.7068352,0.3614521,-0.9873753,0.04729783,0.4964366,False,1,1,0
6/25/2025 11:27:13 AM,1750843633453,Left,-0.949988,0.1156229,0.4768691,-0.5812975,0.4053443,0.07917452,-0.9501702,0.115563,0.4770591,0.1,3,0,-0.7169672,0.7074046,0.3617823,-0.9877101,0.0462993,0.4940486,False,1,1,0
6/25/2025 11:27:13 AM,1750843633481,Left,-0.9504627,0.1169693,0.4748313,-0.5829211,0.40534,0.08101237,-0.9504627,0.1169693,0.4748313,0.1,3,0,-0.7179316,0.7093453,0.3636574,-0.9888593,0.04833928,0.4924657,False,1,1,0
6/25/2025 11:27:13 AM,1750843633496,Left,-0.9512986,0.1203253,0.4755726,-0.5841874,0.4054227,0.0824635,-0.9512478,0.1199276,0.4753627,0.1,3,0,-0.7179452,0.7109974,0.3643823,-0.9897255,0.05171928,0.4944006,False,1,1,0
6/25/2025 11:27:13 AM,1750843633524,Left,-0.9529737,0.1262627,0.4774311,-0.5862762,0.4058917,0.08500695,-0.9529961,0.126051,0.4773905,0.1,3,0,-0.7179652,0.7143939,0.3656554,-0.9898812,0.05737954,0.4978616,False,1,1,0
6/25/2025 11:27:13 AM,1750843633539,Left,-0.9530035,0.1285389,0.4774997,-0.5869304,0.4064101,0.0859772,-0.9530035,0.1285389,0.4774997,0.1,3,0,-0.7175683,0.716029,0.3662791,-0.9892759,0.05977966,0.498756,False,1,1,0
6/25/2025 11:27:13 AM,1750843633553,Left,-0.9524101,0.1300749,0.4770805,-0.5879239,0.4076679,0.08748579,-0.9525388,0.1301025,0.4771594,0.1,3,0,-0.7166172,0.7179287,0.3665246,-0.9887584,0.06152962,0.4990966,False,1,1,0
6/25/2025 11:27:13 AM,1750843633581,Left,-0.9524578,0.1324925,0.4760993,-0.5900642,0.4125445,0.09084094,-0.9524163,0.1324378,0.4761027,0.1,3,0,-0.7145408,0.7223851,0.366043,-0.9903141,0.06487779,0.4983455,False,1,1,0
6/25/2025 11:27:13 AM,1750843633595,Left,-0.9529933,0.1349775,0.4759834,-0.5905496,0.4157929,0.09189916,-0.9529785,0.1347797,0.4759866,0.1,3,0,-0.7133373,0.7241492,0.3684943,-0.9918514,0.0677433,0.4981308,False,1,1,0
6/25/2025 11:27:13 AM,1750843633623,Left,-0.9525367,0.1420837,0.4759921,-0.5907434,0.4215672,0.09310412,-0.9525367,0.1420837,0.4759921,0.1,3,0,-0.7120236,0.7298223,0.3655529,-0.9912695,0.07503137,0.4983326,False,1,1,0
6/25/2025 11:27:13 AM,1750843633637,Left,-0.9514092,0.146983,0.4764837,-0.5907387,0.4241924,0.09375668,-0.9514092,0.146983,0.4764837,0.1,3,0,-0.710734,0.7328205,0.364931,-0.9893382,0.07967023,0.4994125,False,1,1,0
6/25/2025 11:27:13 AM,1750843633665,Left,-0.9486855,0.1588611,0.4784688,-0.5897804,0.4285924,0.09398675,-0.9486855,0.1588611,0.4784688,0.1,3,0,-0.7061108,0.7395622,0.3636878,-0.9859369,0.09202148,0.5037699,False,1,1,0
