Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157042,15686243,1226890.625,1750764608579.9639,2586,3766.2769230769227,2220,1626.3736263736262,20030,66.09667622743379,15.129353805311991,-1,-1,100
3,18,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157043,15686499,1226898.4375,1750764608587.7764,2577,3753.1692307692306,2205,1615.3846153846152,20031,66.074380165289256,15.134459036898063,-1,-1,100
4,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157044,15686755,1226906.25,1750764608595.5889,2587,3767.7333333333331,2219,1625.6410256410256,20031,66.074380165289256,15.134459036898063,-1,-1,100
5,34,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157045,15687011,1226914.0625,1750764608603.4014,2587,3767.7333333333331,2226,1630.7692307692307,20030,66.09667622743379,15.129353805311991,-1,-1,100
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157046,15687267,1226921.875,1750764608611.2139,2586,3766.2769230769227,2225,1630.03663003663,20030,66.09667622743379,15.129353805311991,-1,-1,100
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157047,15687523,1226929.6875,1750764608619.0264,2577,3753.1692307692306,2207,1616.8498168498168,20031,66.074380165289256,15.134459036898063,-1,-1,100
8,57,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157048,15687779,1226937.5,1750764608626.8389,2587,3767.7333333333331,2220,1626.3736263736262,20030,66.09667622743379,15.129353805311991,-1,-1,100
9,65,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157049,15688035,1226945.3125,1750764608634.6514,2587,3767.7333333333331,2227,1631.5018315018315,20030,66.09667622743379,15.129353805311991,-1,-1,100
10,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157050,15688291,1226953.125,1750764608642.4639,2586,3766.2769230769227,2225,1630.03663003663,20030,66.09667622743379,15.129353805311991,-1,-1,100
11,81,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157051,15688547,1226960.9375,1750764608650.2764,2568,3740.0615384615385,2186,1601.4652014652013,20030,66.09667622743379,15.129353805311991,-1,-1,100
12,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157052,15688803,1226968.75,1750764608658.0889,2587,3767.7333333333331,2208,1617.5824175824175,20030,66.09667622743379,15.129353805311991,-1,-1,100
13,96,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157053,15689059,1226976.5625,1750764608665.9014,2587,3767.7333333333331,2221,1627.1062271062269,20030,66.09667622743379,15.129353805311991,-1,-1,100
14,104,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157054,15689315,1226984.375,1750764608673.7139,2586,3766.2769230769227,2222,1627.8388278388277,20030,66.09667622743379,15.129353805311991,-1,-1,100
15,112,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157055,15689571,1226992.1875,1750764608681.5264,2578,3754.625641025641,2207,1616.8498168498168,20030,66.09667622743379,15.129353805311991,-1,-1,100
16,120,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157056,15689827,1227000,1750764608689.3389,2587,3767.7333333333331,2220,1626.3736263736262,20030,66.09667622743379,15.129353805311991,-1,-1,100
17,128,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157057,15690083,1227007.8125,1750764608697.1514,2587,3767.7333333333331,2227,1631.5018315018315,20030,66.09667622743379,15.129353805311991,-1,-1,100
18,136,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157058,15690339,1227015.625,1750764608704.9639,2586,3766.2769230769227,2225,1630.03663003663,20029,66.118987341772154,15.124248573725925,-1,-1,100
19,143,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157059,15690595,1227023.4375,1750764608712.7764,2578,3754.625641025641,2209,1618.3150183150183,20029,66.118987341772154,15.124248573725925,-1,-1,100
20,151,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157060,15690851,1227031.25,1750764608720.5889,2586,3766.2769230769227,2215,1622.7106227106226,20030,66.09667622743379,15.129353805311991,-1,-1,100
21,159,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157061,15691107,1227039.0625,1750764608728.4014,2586,3766.2769230769227,2219,1625.6410256410256,20029,66.118987341772154,15.124248573725925,-1,-1,100
22,167,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157062,15691363,1227046.875,1750764608736.2139,2585,3764.8205128205127,2220,1626.3736263736262,20029,66.118987341772154,15.124248573725925,-1,-1,100
23,175,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157063,15691619,1227054.6875,1750764608744.0264,2569,3741.5179487179485,2189,1603.6630036630036,20030,66.09667622743379,15.129353805311991,-1,-1,100
24,182,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157064,15691875,1227062.5,1750764608751.8389,2587,3767.7333333333331,2210,1619.047619047619,20029,66.118987341772154,15.124248573725925,-1,-1,100
25,190,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157065,15692131,1227070.3125,1750764608759.6514,2587,3767.7333333333331,2221,1627.1062271062269,20029,66.118987341772154,15.124248573725925,-1,-1,100
26,198,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157066,15692387,1227078.125,1750764608767.4639,2587,3767.7333333333331,2228,1632.2344322344322,20029,66.118987341772154,15.124248573725925,-1,-1,100
27,206,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157067,15692643,1227085.9375,1750764608775.2764,2569,3741.5179487179485,2193,1606.5934065934066,20029,66.118987341772154,15.124248573725925,-1,-1,100
28,214,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157068,15692899,1227093.75,1750764608783.0889,2587,3767.7333333333331,2212,1620.5128205128203,20029,66.118987341772154,15.124248573725925,-1,-1,100
29,221,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157069,15693155,1227101.5625,1750764608790.9014,2587,3767.7333333333331,2223,1628.5714285714284,20029,66.118987341772154,15.124248573725925,-1,-1,100
30,229,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157070,15693411,1227109.375,1750764608798.7139,2586,3766.2769230769227,2223,1628.5714285714284,20029,66.118987341772154,15.124248573725925,-1,-1,100
31,237,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157071,15693667,1227117.1875,1750764608806.5264,2579,3756.082051282051,2213,1621.2454212454211,20029,66.118987341772154,15.124248573725925,-1,-1,100
32,245,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157072,15693923,1227125,1750764608814.3389,2587,3767.7333333333331,2223,1628.5714285714284,20029,66.118987341772154,15.124248573725925,-1,-1,100
33,253,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157073,15694179,1227132.8125,1750764608822.1514,2587,3767.7333333333331,2229,1632.9670329670328,20029,66.118987341772154,15.124248573725925,-1,-1,100
34,261,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157074,15694435,1227140.625,1750764608829.9639,2587,3767.7333333333331,2231,1634.4322344322343,20028,66.141313523552256,15.119143342139857,-1,-1,100
35,268,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157075,15694691,1227148.4375,1750764608837.7764,2579,3756.082051282051,2218,1624.9084249084249,20028,66.141313523552256,15.119143342139857,-1,-1,100
36,276,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157076,15694947,1227156.25,1750764608845.5889,2586,3766.2769230769227,2220,1626.3736263736262,20029,66.118987341772154,15.124248573725925,-1,-1,100
37,284,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,157077,15695203,1227164.0625,1750764608853.4014,2587,3767.7333333333331,2227,1631.5018315018315,20029,66.118987341772154,15.124248573725925,-1,-1,100
