Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262811,9208675,2053210.9375,1750765434900.2764,2586,3766.2769230769227,2214,1621.9780219780218,1209,52.111111111111121,19.189765458422173,-1,-1,99
3,12,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262812,9208931,2053218.75,1750765434908.0889,2566,3737.1487179487176,2179,1596.3369963369962,1208,52.210275927687924,19.153317660780342,-1,-1,99
4,20,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262813,9209187,2053226.5625,1750765434915.9014,2586,3766.2769230769227,2199,1610.9890109890109,1208,52.210275927687924,19.153317660780342,-1,-1,99
5,28,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262814,9209443,2053234.375,1750765434923.7139,2586,3766.2769230769227,2210,1619.047619047619,1207,52.309818875119184,19.116869863138511,-1,-1,99
6,36,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262815,9209699,2053242.1875,1750765434931.5264,2586,3766.2769230769227,2216,1623.4432234432234,1207,52.309818875119184,19.116869863138511,-1,-1,99
7,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262816,9209955,2053250,1750765434939.3389,2567,3738.605128205128,2185,1600.7326007326005,1206,52.40974212034385,19.080422065496688,-1,-1,99
8,51,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262817,9210211,2053257.8125,1750765434947.1514,2587,3767.7333333333331,2208,1617.5824175824175,1205,52.510047846889961,19.04397426785486,-1,-1,99
9,59,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262818,9210467,2053265.625,1750765434954.9639,2586,3766.2769230769227,2215,1622.7106227106226,1204,52.610738255033567,19.007526470213037,-1,-1,99
10,67,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262819,9210723,2053273.4375,1750765434962.7764,2586,3766.2769230769227,2219,1625.6410256410256,1203,52.711815561959675,18.971078672571203,-1,-1,99
11,75,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262820,9210979,2053281.25,1750765434970.5889,2567,3738.605128205128,2186,1601.4652014652013,1203,52.711815561959675,18.971078672571203,-1,-1,99
12,83,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262821,9211235,2053289.0625,1750765434978.4014,2585,3764.8205128205127,2202,1613.186813186813,1202,52.813282001924946,18.934630874929375,-1,-1,99
13,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262822,9211491,2053296.875,1750765434986.2139,2586,3766.2769230769227,2212,1620.5128205128203,1202,52.813282001924946,18.934630874929375,-1,-1,99
14,98,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262823,9211747,2053304.6875,1750765434994.0264,2586,3766.2769230769227,2217,1624.1758241758241,1201,52.915139826422376,18.898183077287555,-1,-1,99
15,106,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262824,9212003,2053312.5,1750765435001.8389,2567,3738.605128205128,2185,1600.7326007326005,1201,52.915139826422376,18.898183077287555,-1,-1,99
16,114,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262825,9212259,2053320.3125,1750765435009.6514,2586,3766.2769230769227,2203,1613.9194139194137,1201,52.915139826422376,18.898183077287555,-1,-1,99
17,122,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262826,9212515,2053328.125,1750765435017.4639,2586,3766.2769230769227,2212,1620.5128205128203,1200,53.017391304347832,18.861735279645725,-1,-1,99
18,129,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262827,9212771,2053335.9375,1750765435025.2764,2585,3764.8205128205127,2216,1623.4432234432234,1200,53.017391304347832,18.861735279645725,-1,-1,99
19,137,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262828,9213027,2053343.75,1750765435033.0889,2567,3738.605128205128,2185,1600.7326007326005,1200,53.017391304347832,18.861735279645725,-1,-1,99
20,145,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262829,9213283,2053351.5625,1750765435040.9014,2587,3767.7333333333331,2208,1617.5824175824175,1200,53.017391304347832,18.861735279645725,-1,-1,99
21,153,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262830,9213539,2053359.375,1750765435048.7139,2566,3737.1487179487176,2175,1593.4065934065934,1202,52.813282001924946,18.934630874929375,-1,-1,99
22,161,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262831,9213795,2053367.1875,1750765435056.5264,2585,3764.8205128205127,2196,1608.7912087912086,1201,52.915139826422376,18.898183077287555,-1,-1,99
23,168,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262832,9214051,2053375,1750765435064.3389,2568,3740.0615384615385,2170,1589.7435897435896,1201,52.915139826422376,18.898183077287555,-1,-1,99
24,176,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262833,9214307,2053382.8125,1750765435072.1514,2586,3766.2769230769227,2195,1608.0586080586079,1201,52.915139826422376,18.898183077287555,-1,-1,99
25,184,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262834,9214563,2053390.625,1750765435079.9639,2586,3766.2769230769227,2207,1616.8498168498168,1202,52.813282001924946,18.934630874929375,-1,-1,99
26,192,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262835,9214819,2053398.4375,1750765435087.7764,2585,3764.8205128205127,2214,1621.9780219780218,1203,52.711815561959675,18.971078672571203,-1,-1,99
27,200,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262836,9215075,2053406.25,1750765435095.5889,2568,3740.0615384615385,2179,1596.3369963369962,1203,52.711815561959675,18.971078672571203,-1,-1,99
28,208,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262837,9215331,2053414.0625,1750765435103.4014,2586,3766.2769230769227,2200,1611.7216117216117,1203,52.711815561959675,18.971078672571203,-1,-1,99
29,215,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262838,9215587,2053421.875,1750765435111.2139,2586,3766.2769230769227,2210,1619.047619047619,1203,52.711815561959675,18.971078672571203,-1,-1,99
30,223,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262839,9215843,2053429.6875,1750765435119.0264,2586,3766.2769230769227,2216,1623.4432234432234,1202,52.813282001924946,18.934630874929375,-1,-1,99
31,231,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262840,9216099,2053437.5,1750765435126.8389,2567,3738.605128205128,2185,1600.7326007326005,1202,52.813282001924946,18.934630874929375,-1,-1,99
32,239,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262841,9216355,2053445.3125,1750765435134.6514,2586,3766.2769230769227,2203,1613.9194139194137,1202,52.813282001924946,18.934630874929375,-1,-1,99
33,247,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262842,9216611,2053453.125,1750765435142.4639,2586,3766.2769230769227,2212,1620.5128205128203,1201,52.915139826422376,18.898183077287555,-1,-1,99
34,254,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262843,9216867,2053460.9375,1750765435150.2764,2586,3766.2769230769227,2217,1624.1758241758241,1202,52.813282001924946,18.934630874929375,-1,-1,99
35,262,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262844,9217123,2053468.75,1750765435158.0889,2568,3740.0615384615385,2182,1598.5347985347985,1201,52.915139826422376,18.898183077287555,-1,-1,99
36,270,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262845,9217379,2053476.5625,1750765435165.9014,2586,3766.2769230769227,2201,1612.4542124542124,1201,52.915139826422376,18.898183077287555,-1,-1,99
37,278,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262846,9217635,2053484.375,1750765435173.7139,2586,3766.2769230769227,2211,1619.7802197802196,1202,52.813282001924946,18.934630874929375,-1,-1,99
38,286,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262847,9217891,2053492.1875,1750765435181.5264,2585,3764.8205128205127,2215,1622.7106227106226,1202,52.813282001924946,18.934630874929375,-1,-1,99
39,293,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262848,9218147,2053500,1750765435189.3389,2567,3738.605128205128,2185,1600.7326007326005,1202,52.813282001924946,18.934630874929375,-1,-1,99
40,301,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262849,9218403,2053507.8125,1750765435197.1514,2586,3766.2769230769227,2203,1613.9194139194137,1201,52.915139826422376,18.898183077287555,-1,-1,99
41,309,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262850,9218659,2053515.625,1750765435204.9639,2586,3766.2769230769227,2212,1620.5128205128203,1201,52.915139826422376,18.898183077287555,-1,-1,99
42,317,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262851,9218915,2053523.4375,1750765435212.7764,2586,3766.2769230769227,2217,1624.1758241758241,1201,52.915139826422376,18.898183077287555,-1,-1,99
43,325,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262852,9219171,2053531.25,1750765435220.5889,2567,3738.605128205128,2186,1601.4652014652013,1201,52.915139826422376,18.898183077287555,-1,-1,99
44,333,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262853,9219427,2053539.0625,1750765435228.4014,2586,3766.2769230769227,2203,1613.9194139194137,1201,52.915139826422376,18.898183077287555,-1,-1,99
45,340,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262854,9219683,2053546.875,1750765435236.2139,2586,3766.2769230769227,2212,1620.5128205128203,1201,52.915139826422376,18.898183077287555,-1,-1,99
46,348,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262855,9219939,2053554.6875,1750765435244.0264,2586,3766.2769230769227,2217,1624.1758241758241,1201,52.915139826422376,18.898183077287555,-1,-1,99
47,356,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262856,9220195,2053562.5,1750765435251.8389,2568,3740.0615384615385,2181,1597.8021978021977,1201,52.915139826422376,18.898183077287555,-1,-1,99
48,364,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262857,9220451,2053570.3125,1750765435259.6514,2586,3766.2769230769227,2201,1612.4542124542124,1201,52.915139826422376,18.898183077287555,-1,-1,99
49,372,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262858,9220707,2053578.125,1750765435267.4639,2586,3766.2769230769227,2211,1619.7802197802196,1201,52.915139826422376,18.898183077287555,-1,-1,99
50,379,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262859,9220963,2053585.9375,1750765435275.2764,2586,3766.2769230769227,2216,1623.4432234432234,1201,52.915139826422376,18.898183077287555,-1,-1,99
51,387,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262860,9221219,2053593.75,1750765435283.0889,2567,3738.605128205128,2185,1600.7326007326005,1201,52.915139826422376,18.898183077287555,-1,-1,99
52,395,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262861,9221475,2053601.5625,1750765435290.9014,2586,3766.2769230769227,2203,1613.9194139194137,1201,52.915139826422376,18.898183077287555,-1,-1,99
53,403,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262862,9221731,2053609.375,1750765435298.7139,2586,3766.2769230769227,2212,1620.5128205128203,1201,52.915139826422376,18.898183077287555,-1,-1,99
54,411,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262863,9221987,2053617.1875,1750765435306.5264,2585,3764.8205128205127,2216,1623.4432234432234,1201,52.915139826422376,18.898183077287555,-1,-1,99
55,418,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262864,9222243,2053625,1750765435314.3389,2568,3740.0615384615385,2181,1597.8021978021977,1202,52.813282001924946,18.934630874929375,-1,-1,99
56,426,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,262865,9222499,2053632.8125,1750765435322.1514,2586,3766.2769230769227,2200,1611.7216117216117,1203,52.711815561959675,18.971078672571203,-1,-1,99
