Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119436,15861965,933093.75,1750756363727.7483,2598,3783.7538461538456,2289,1676.9230769230769,18732,117.60882617832483,8.5027632065959597,-1,-1,99
3,17,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119437,15862221,933101.5625,1750756363735.5608,2603,3791.0358974358974,2297,1682.7838827838827,18733,117.53825382538255,8.507868438182026,-1,-1,99
4,25,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119438,15862477,933109.375,1750756363743.3733,2603,3791.0358974358974,2301,1685.7142857142856,18732,117.60882617832483,8.5027632065959597,-1,-1,99
5,33,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119439,15862733,933117.1875,1750756363751.1858,2604,3792.4923076923073,2299,1684.249084249084,18733,117.53825382538255,8.507868438182026,-1,-1,99
6,41,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119440,15862989,933125,1750756363758.9983,2598,3783.7538461538456,2289,1676.9230769230769,18733,117.53825382538255,8.507868438182026,-1,-1,99
7,48,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119441,15863245,933132.8125,1750756363766.8108,2603,3791.0358974358974,2296,1682.051282051282,18733,117.53825382538255,8.507868438182026,-1,-1,99
8,56,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119442,15863501,933140.625,1750756363774.6233,2603,3791.0358974358974,2301,1685.7142857142856,18733,117.53825382538255,8.507868438182026,-1,-1,99
9,64,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119443,15863757,933148.4375,1750756363782.4358,2604,3792.4923076923073,2299,1684.249084249084,18732,117.60882617832483,8.5027632065959597,-1,-1,99
10,72,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119444,15864013,933156.25,1750756363790.2483,2598,3783.7538461538456,2289,1676.9230769230769,18733,117.53825382538255,8.507868438182026,-1,-1,99
11,80,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119445,15864269,933164.0625,1750756363798.0608,2603,3791.0358974358974,2297,1682.7838827838827,18733,117.53825382538255,8.507868438182026,-1,-1,99
12,87,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119446,15864525,933171.875,1750756363805.8733,2603,3791.0358974358974,2301,1685.7142857142856,18734,117.46776611694155,8.512973669768094,-1,-1,99
13,95,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119447,15864781,933179.6875,1750756363813.6858,2604,3792.4923076923073,2299,1684.249084249084,18734,117.46776611694155,8.512973669768094,-1,-1,99
14,103,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119448,15865037,933187.5,1750756363821.4983,2598,3783.7538461538456,2289,1676.9230769230769,18734,117.46776611694155,8.512973669768094,-1,-1,99
15,111,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119449,15865293,933195.3125,1750756363829.3108,2604,3792.4923076923073,2293,1679.8534798534797,18733,117.53825382538255,8.507868438182026,-1,-1,99
16,119,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119450,15865549,933203.125,1750756363837.1233,2604,3792.4923076923073,2295,1681.3186813186812,18733,117.53825382538255,8.507868438182026,-1,-1,99
17,127,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119451,15865805,933210.9375,1750756363844.9358,2604,3792.4923076923073,2296,1682.051282051282,18733,117.53825382538255,8.507868438182026,-1,-1,99
18,134,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119452,15866061,933218.75,1750756363852.7483,2597,3782.2974358974357,2286,1674.7252747252746,18733,117.53825382538255,8.507868438182026,-1,-1,99
19,142,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119453,15866317,933226.5625,1750756363860.5608,2603,3791.0358974358974,2295,1681.3186813186812,18733,117.53825382538255,8.507868438182026,-1,-1,99
20,150,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119454,15866573,933234.375,1750756363868.3733,2604,3792.4923076923073,2296,1682.051282051282,18734,117.46776611694155,8.512973669768094,-1,-1,99
21,158,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119455,15866829,933242.1875,1750756363876.1858,2604,3792.4923076923073,2296,1682.051282051282,18734,117.46776611694155,8.512973669768094,-1,-1,99
22,166,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119456,15867085,933250,1750756363883.9983,2597,3782.2974358974357,2286,1674.7252747252746,18734,117.46776611694155,8.512973669768094,-1,-1,99
23,173,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119457,15867341,933257.8125,1750756363891.8108,2603,3791.0358974358974,2295,1681.3186813186812,18733,117.53825382538255,8.507868438182026,-1,-1,99
24,181,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119458,15867597,933265.625,1750756363899.6233,2603,3791.0358974358974,2300,1684.9816849816848,18733,117.53825382538255,8.507868438182026,-1,-1,99
25,189,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119459,15867853,933273.4375,1750756363907.4358,2604,3792.4923076923073,2299,1684.249084249084,18733,117.53825382538255,8.507868438182026,-1,-1,99
26,197,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119460,15868109,933281.25,1750756363915.2483,2598,3783.7538461538456,2289,1676.9230769230769,18733,117.53825382538255,8.507868438182026,-1,-1,99
27,205,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119461,15868365,933289.0625,1750756363923.0608,2603,3791.0358974358974,2296,1682.051282051282,18734,117.46776611694155,8.512973669768094,-1,-1,99
28,212,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119462,15868621,933296.875,1750756363930.8733,2602,3789.5794871794869,2295,1681.3186813186812,18734,117.46776611694155,8.512973669768094,-1,-1,99
29,220,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119463,15868877,933304.6875,1750756363938.6858,2604,3792.4923076923073,2296,1682.051282051282,18734,117.46776611694155,8.512973669768094,-1,-1,99
30,228,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119464,15869133,933312.5,1750756363946.4983,2598,3783.7538461538456,2287,1675.4578754578754,18734,117.46776611694155,8.512973669768094,-1,-1,99
31,236,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119465,15869389,933320.3125,1750756363954.3108,2604,3792.4923076923073,2292,1679.120879120879,18734,117.46776611694155,8.512973669768094,-1,-1,99
32,244,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119466,15869645,933328.125,1750756363962.1233,2604,3792.4923076923073,2294,1680.5860805860805,18734,117.46776611694155,8.512973669768094,-1,-1,99
33,252,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119467,15869901,933335.9375,1750756363969.9358,2604,3792.4923076923073,2295,1681.3186813186812,18734,117.46776611694155,8.512973669768094,-1,-1,99
34,259,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119468,15870157,933343.75,1750756363977.7483,2598,3783.7538461538456,2287,1675.4578754578754,18734,117.46776611694155,8.512973669768094,-1,-1,99
35,267,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119469,15870413,933351.5625,1750756363985.5608,2604,3792.4923076923073,2291,1678.3882783882782,18734,117.46776611694155,8.512973669768094,-1,-1,99
36,275,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119470,15870669,933359.375,1750756363993.3733,2603,3791.0358974358974,2298,1683.5164835164835,18734,117.46776611694155,8.512973669768094,-1,-1,99
37,283,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119471,15870925,933367.1875,1750756364001.1858,2604,3792.4923076923073,2297,1682.7838827838827,18734,117.46776611694155,8.512973669768094,-1,-1,99
38,291,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119472,15871181,933375,1750756364008.9983,2599,3785.2102564102561,2293,1679.8534798534797,18734,117.46776611694155,8.512973669768094,-1,-1,99
39,298,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119473,15871437,933382.8125,1750756364016.8108,2603,3791.0358974358974,2299,1684.249084249084,18734,117.46776611694155,8.512973669768094,-1,-1,99
40,306,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119474,15871693,933390.625,1750756364024.6233,2604,3792.4923076923073,2298,1683.5164835164835,18734,117.46776611694155,8.512973669768094,-1,-1,99
41,314,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119475,15871949,933398.4375,1750756364032.4358,2604,3792.4923076923073,2298,1683.5164835164835,18733,117.53825382538255,8.507868438182026,-1,-1,99
42,322,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119476,15872205,933406.25,1750756364040.2483,2598,3783.7538461538456,2288,1676.1904761904761,18733,117.53825382538255,8.507868438182026,-1,-1,99
43,330,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,119477,15872461,933414.0625,1750756364048.0608,2603,3791.0358974358974,2296,1682.051282051282,18734,117.46776611694155,8.512973669768094,-1,-1,99
