Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506324,14241997,3955656.25,1750759386290.2483,2592,3775.0153846153844,2244,1643.9560439560439,19699,74.407407407407419,13.439522150323542,-1,-1,99
3,17,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506325,14242253,3955664.0625,1750759386298.0608,2574,3748.7999999999997,2210,1619.047619047619,19693,74.577384351798983,13.408890760807136,-1,-1,99
4,25,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506326,14242509,3955671.875,1750759386305.8733,2593,3776.4717948717944,2231,1634.4322344322343,19690,74.66266437964552,13.393575066048932,-1,-1,99
5,33,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506327,14242765,3955679.6875,1750759386313.6858,2592,3775.0153846153844,2237,1638.8278388278386,19688,74.719626168224309,13.383364602876796,-1,-1,99
6,41,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506328,14243021,3955687.5,1750759386321.4983,2592,3775.0153846153844,2240,1641.0256410256409,19686,74.776674937965268,13.373154139704662,-1,-1,99
7,48,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506329,14243277,3955695.3125,1750759386329.3108,2575,3750.2564102564102,2214,1621.9780219780218,19684,74.83381088825216,13.362943676532526,-1,-1,99
8,56,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506330,14243533,3955703.125,1750759386337.1233,2593,3776.4717948717944,2233,1635.8974358974358,19682,74.891034219078577,13.352733213360391,-1,-1,99
9,64,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506331,14243789,3955710.9375,1750759386344.9358,2592,3775.0153846153844,2238,1639.5604395604394,19679,74.977033492822969,13.337417518602187,-1,-1,99
10,72,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506332,14244045,3955718.75,1750759386352.7483,2592,3775.0153846153844,2240,1641.0256410256409,19677,75.034476153993495,13.327207055430049,-1,-1,99
11,80,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506333,14244301,3955726.5625,1750759386360.5608,2574,3748.7999999999997,2208,1617.5824175824175,19675,75.092006900517546,13.316996592257915,-1,-1,99
12,87,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506334,14244557,3955734.375,1750759386368.3733,2592,3775.0153846153844,2225,1630.03663003663,19676,75.063230503927954,13.322101823843983,-1,-1,99
13,95,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506335,14244813,3955742.1875,1750759386376.1858,2592,3775.0153846153844,2233,1635.8974358974358,19677,75.034476153993495,13.327207055430049,-1,-1,99
14,103,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506336,14245069,3955750,1750759386383.9983,2592,3775.0153846153844,2238,1639.5604395604394,19682,74.891034219078577,13.352733213360391,-1,-1,99
15,111,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506337,14245325,3955757.8125,1750759386391.8108,2574,3748.7999999999997,2207,1616.8498168498168,19688,74.719626168224309,13.383364602876796,-1,-1,99
16,119,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506338,14245581,3955765.625,1750759386399.6233,2592,3775.0153846153844,2224,1629.3040293040292,19696,74.492298916143767,13.424206455565338,-1,-1,99
17,126,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506339,14245837,3955773.4375,1750759386407.4358,2592,3775.0153846153844,2233,1635.8974358974358,19706,74.210077666224677,13.475258771426017,-1,-1,99
18,134,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506340,14246093,3955781.25,1750759386415.2483,2591,3773.558974358974,2242,1642.4908424908424,19720,73.818541548897699,13.546732013630965,-1,-1,99
19,142,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506341,14246349,3955789.0625,1750759386423.0608,2575,3750.2564102564102,2215,1622.7106227106226,19744,73.156862745098053,13.669257571696594,-1,-1,99
20,150,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506342,14246605,3955796.875,1750759386430.8733,2592,3775.0153846153844,2228,1632.2344322344322,19765,72.587548638132304,13.776467435004019,-1,-1,99
21,158,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506343,14246861,3955804.6875,1750759386438.6858,2592,3775.0153846153844,2235,1637.3626373626373,19787,72.000551369233591,13.888782529897513,-1,-1,99
22,166,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506344,14247117,3955812.5,1750759386446.4983,2593,3776.4717948717944,2244,1643.9560439560439,19804,71.553424657534265,13.975571466860663,-1,-1,99
23,173,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506345,14247373,3955820.3125,1750759386454.3108,2574,3748.7999999999997,2211,1619.7802197802196,19821,71.11181702668361,14.062360403823817,-1,-1,99
24,181,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506346,14247629,3955828.125,1750759386462.1233,2592,3775.0153846153844,2226,1630.7692307692307,19835,70.752212389380531,14.133833646028767,-1,-1,99
25,189,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506347,14247885,3955835.9375,1750759386469.9358,2592,3775.0153846153844,2234,1636.6300366300366,19848,70.42153514290851,14.200201656647648,-1,-1,99
26,197,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506348,14248141,3955843.75,1750759386477.7483,2593,3776.4717948717944,2243,1643.2234432234432,19858,70.169263836646977,14.251253972508326,-1,-1,99
27,205,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506349,14248397,3955851.5625,1750759386485.5608,2574,3748.7999999999997,2210,1619.047619047619,19864,70.018766756032178,14.281885362024735,-1,-1,99
28,212,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506350,14248653,3955859.375,1750759386493.3733,2592,3775.0153846153844,2226,1630.7692307692307,19869,69.893844781445139,14.307411519955075,-1,-1,99
29,220,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506351,14248909,3955867.1875,1750759386501.1858,2591,3773.558974358974,2238,1639.5604395604394,19875,69.744525547445264,14.338042909471479,-1,-1,99
30,228,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506352,14249165,3955875,1750759386508.9983,2592,3775.0153846153844,2240,1641.0256410256409,19878,69.670104926195989,14.353358604229681,-1,-1,99
31,236,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506353,14249421,3955882.8125,1750759386516.8108,2574,3748.7999999999997,2209,1618.3150183150183,19880,69.620579349564608,14.363569067401817,-1,-1,99
32,244,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506354,14249677,3955890.625,1750759386524.6233,2592,3775.0153846153844,2225,1630.03663003663,19883,69.546422865258307,14.378884762160022,-1,-1,99
33,251,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506355,14249933,3955898.4375,1750759386532.4358,2593,3776.4717948717944,2239,1640.2930402930401,19887,69.447792944513395,14.399305688504294,-1,-1,99
34,259,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506356,14250189,3955906.25,1750759386540.2483,2592,3775.0153846153844,2241,1641.7582417582416,19890,69.374003895873912,14.414621383262499,-1,-1,99
35,267,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506357,14250445,3955914.0625,1750759386548.0608,2574,3748.7999999999997,2209,1618.3150183150183,19894,69.275862068965523,14.435042309606768,-1,-1,99
36,275,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506358,14250701,3955921.875,1750759386555.8733,2593,3776.4717948717944,2230,1633.6996336996335,19899,69.153574580759042,14.46056846753711,-1,-1,99
37,283,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506359,14250957,3955929.6875,1750759386563.6858,2593,3776.4717948717944,2242,1642.4908424908424,19903,69.056054997355901,14.480989393881378,-1,-1,99
38,291,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506360,14251213,3955937.5,1750759386571.4983,2593,3776.4717948717944,2248,1646.8864468864467,19905,69.007398273736143,14.491199857053513,-1,-1,99
39,298,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506361,14251469,3955945.3125,1750759386579.3108,2574,3748.7999999999997,2213,1621.2454212454211,19907,68.958810068649896,14.501410320225649,-1,-1,99
40,306,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506362,14251725,3955953.125,1750759386587.1233,2593,3776.4717948717944,2232,1635.164835164835,19908,68.934541615344003,14.50651555181172,-1,-1,99
41,314,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506363,14251981,3955960.9375,1750759386594.9358,2592,3775.0153846153844,2237,1638.8278388278386,19909,68.910290237467024,14.511620783397785,-1,-1,99
42,322,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506364,14252237,3955968.75,1750759386602.7483,2592,3775.0153846153844,2240,1641.0256410256409,19910,68.886055917003702,14.516726014983853,-1,-1,99
43,330,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506365,14252493,3955976.5625,1750759386610.5608,2574,3748.7999999999997,2209,1618.3150183150183,19912,68.837638376383779,14.526936478155987,-1,-1,99
44,337,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506366,14252749,3955984.375,1750759386618.3733,2592,3775.0153846153844,2225,1630.03663003663,19916,68.741007194244617,14.547357404500259,-1,-1,99
45,345,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506367,14253005,3955992.1875,1750759386626.1858,2593,3776.4717948717944,2238,1639.5604395604394,19918,68.692793266701742,14.557567867672397,-1,-1,99
46,353,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506368,14253261,3956000,1750759386633.9983,2584,3763.3641025641023,2225,1630.03663003663,19920,68.644646924829161,14.567778330844533,-1,-1,99
47,361,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506369,14253517,3956007.8125,1750759386641.8108,2575,3750.2564102564102,2206,1616.117216117216,19921,68.62059905412508,14.572883562430597,-1,-1,99
48,369,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506370,14253773,3956015.625,1750759386649.6233,2592,3775.0153846153844,2223,1628.5714285714284,19924,68.548556430446197,14.588199257188803,-1,-1,99
49,376,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506371,14254029,3956023.4375,1750759386657.4358,2593,3776.4717948717944,2238,1639.5604395604394,19925,68.524575826482433,14.593304488774869,-1,-1,99
50,384,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506372,14254285,3956031.25,1750759386665.2483,2592,3775.0153846153844,2240,1641.0256410256409,19926,68.500611995104038,14.598409720360941,-1,-1,99
51,392,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506373,14254541,3956039.0625,1750759386673.0608,2574,3748.7999999999997,2209,1618.3150183150183,19926,68.500611995104038,14.598409720360941,-1,-1,99
52,400,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506374,14254797,3956046.875,1750759386680.8733,2592,3775.0153846153844,2224,1629.3040293040292,19928,68.452734579765874,14.608620183533072,-1,-1,99
53,408,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506375,14255053,3956054.6875,1750759386688.6858,2593,3776.4717948717944,2238,1639.5604395604394,19930,68.404924044002101,14.618830646705209,-1,-1,99
54,416,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506376,14255309,3956062.5,1750759386696.4983,2592,3775.0153846153844,2240,1641.0256410256409,19931,68.38104381218362,14.623935878291281,-1,-1,99
55,423,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506377,14255565,3956070.3125,1750759386704.3108,2574,3748.7999999999997,2208,1617.5824175824175,19932,68.357180247775275,14.629041109877342,-1,-1,99
56,431,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506378,14255821,3956078.125,1750759386712.1233,2592,3775.0153846153844,2225,1630.03663003663,19934,68.30950305143854,14.639251573049481,-1,-1,99
57,439,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506379,14256077,3956085.9375,1750759386719.9358,2593,3776.4717948717944,2239,1640.2930402930401,19934,68.30950305143854,14.639251573049481,-1,-1,99
58,447,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506380,14256333,3956093.75,1750759386727.7483,2592,3775.0153846153844,2241,1641.7582417582416,19934,68.30950305143854,14.639251573049481,-1,-1,99
59,455,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506381,14256589,3956101.5625,1750759386735.5608,2574,3748.7999999999997,2209,1618.3150183150183,19935,68.285689384695829,14.644356804635551,-1,-1,99
60,462,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506382,14256845,3956109.375,1750759386743.3733,2592,3775.0153846153844,2224,1629.3040293040292,19936,68.261892315734457,14.649462036221616,-1,-1,99
61,470,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,506383,14257101,3956117.1875,1750759386751.1858,2591,3773.558974358974,2237,1638.8278388278386,19938,68.214347901793488,14.659672499393753,-1,-1,99
