Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729424,3576173,5698625,1750956574023.7134,2572,3745.8871794871789,2156,1579.4871794871794,35471,337.78767631774315,2.9604395604395601,-1,-1,99
3,12,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729425,3576429,5698632.8125,1750956574031.5259,2565,3735.6923076923072,2146,1572.1611721611721,35473,337.45364647713228,2.9633699633699631,-1,-1,99
4,20,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729426,3576685,5698640.625,1750956574039.3384,2571,3744.4307692307689,2155,1578.7545787545787,35473,337.45364647713228,2.9633699633699631,-1,-1,99
5,28,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729427,3576941,5698648.4375,1750956574047.1509,2571,3744.4307692307689,2160,1582.4175824175823,35474,337.28687916975542,2.9648351648351645,-1,-1,99
6,36,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729428,3577197,5698656.25,1750956574054.9634,2571,3744.4307692307689,2162,1583.8827838827838,35475,337.12027661150904,2.966300366300366,-1,-1,99
7,44,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729429,3577453,5698664.0625,1750956574062.7759,2565,3735.6923076923072,2149,1574.3589743589744,35476,336.95383855838071,2.967765567765567,-1,-1,99
8,51,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729430,3577709,5698671.875,1750956574070.5884,2571,3744.4307692307689,2157,1580.2197802197802,35478,336.62145499383479,2.9706959706959704,-1,-1,99
9,59,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729431,3577965,5698679.6875,1750956574078.4009,2571,3744.4307692307689,2161,1583.150183150183,35479,336.45550899679563,2.9721611721611727,-1,-1,99
10,67,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729432,3578221,5698687.5,1750956574086.2134,2571,3744.4307692307689,2163,1584.6153846153845,35480,336.28972653362899,2.9736263736263733,-1,-1,99
11,75,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729433,3578477,5698695.3125,1750956574094.0259,2565,3735.6923076923072,2150,1575.0915750915749,35481,336.12410736271858,2.9750915750915747,-1,-1,99
12,83,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729434,3578733,5698703.125,1750956574101.8384,2571,3744.4307692307689,2157,1580.2197802197802,35481,336.12410736271858,2.9750915750915747,-1,-1,99
13,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729435,3578989,5698710.9375,1750956574109.6509,2571,3744.4307692307689,2161,1583.150183150183,35479,336.45550899679563,2.9721611721611727,-1,-1,99
14,98,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729436,3579245,5698718.75,1750956574117.4634,2571,3744.4307692307689,2163,1584.6153846153845,35476,336.95383855838071,2.967765567765567,-1,-1,99
15,106,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729437,3579501,5698726.5625,1750956574125.2759,2566,3737.1487179487176,2150,1575.0915750915749,35471,337.78767631774315,2.9604395604395601,-1,-1,99
16,114,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729438,3579757,5698734.375,1750956574133.0884,2571,3744.4307692307689,2157,1580.2197802197802,35466,338.62565120317544,2.9531135531135528,-1,-1,99
17,122,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729439,3580013,5698742.1875,1750956574140.9009,2567,3738.605128205128,2153,1577.2893772893772,35463,339.13043478260875,2.9487179487179485,-1,-1,99
18,129,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729440,3580269,5698750,1750956574148.7134,2571,3744.4307692307689,2160,1582.4175824175823,35459,339.80582524271847,2.9428571428571426,-1,-1,99
19,137,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729441,3580525,5698757.8125,1750956574156.5259,2564,3734.2358974358972,2142,1569.2307692307691,35454,340.65385575243334,2.9355311355311349,-1,-1,99
20,145,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729442,3580781,5698765.625,1750956574164.3384,2571,3744.4307692307689,2153,1577.2893772893772,35450,341.33533383345838,2.9296703296703299,-1,-1,99
21,153,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729443,3581037,5698773.4375,1750956574172.1509,2570,3742.9743589743589,2153,1577.2893772893772,35446,342.01954397394144,2.9238095238095232,-1,-1,99
22,161,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729444,3581293,5698781.25,1750956574179.9634,2571,3744.4307692307689,2159,1581.6849816849815,35441,342.87867370007535,2.9164835164835168,-1,-1,99
23,169,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729445,3581549,5698789.0625,1750956574187.7759,2564,3734.2358974358972,2142,1569.2307692307691,35438,343.39622641509442,2.9120879120879115,-1,-1,99
24,176,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729446,3581805,5698796.875,1750956574195.5884,2571,3744.4307692307689,2153,1577.2893772893772,35436,343.74213044573162,2.9091575091575086,-1,-1,99
25,184,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729447,3582061,5698804.6875,1750956574203.4009,2572,3745.8871794871789,2154,1578.0219780219779,35432,344.43603330809992,2.9032967032967036,-1,-1,99
26,192,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729448,3582317,5698812.5,1750956574211.2134,2571,3744.4307692307689,2160,1582.4175824175823,35428,345.13274336283195,2.8974358974358969,-1,-1,99
27,200,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729449,3582573,5698820.3125,1750956574219.0259,2565,3735.6923076923072,2148,1573.6263736263736,35415,347.41664545685927,2.8783882783882779,-1,-1,99
28,208,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729450,3582829,5698828.125,1750956574226.8384,2571,3744.4307692307689,2156,1579.4871794871794,35385,352.80434220728876,2.8344322344322341,-1,-1,99
29,215,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729451,3583085,5698835.9375,1750956574234.6509,2571,3744.4307692307689,2160,1582.4175824175823,35353,358.73850197109067,2.7875457875457874,-1,-1,99
30,223,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729452,3583341,5698843.75,1750956574242.4634,2571,3744.4307692307689,2162,1583.8827838827838,35337,361.78107606679038,2.7641025641025636,-1,-1,99
31,231,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729453,3583597,5698851.5625,1750956574250.2759,2565,3735.6923076923072,2149,1574.3589743589744,35331,362.93538952406283,2.7553113553113548,-1,-1,99
32,239,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729454,3583853,5698859.375,1750956574258.0884,2571,3744.4307692307689,2157,1580.2197802197802,35330,363.12849162011173,2.7538461538461538,-1,-1,99
33,247,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,729455,3584109,5698867.1875,1750956574265.9009,2571,3744.4307692307689,2161,1583.150183150183,35329,363.32179930795849,2.7523809523809524,-1,-1,99
