Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111374,692077,8682609.375,1750959558008.0884,2558,3725.4974358974355,2536,1857.8754578754576,19004,101.09806451612904,9.8913861980064066,-1,-1,99
3,18,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111375,692333,8682617.1875,1750959558015.9009,2558,3725.4974358974355,2543,1863.003663003663,19007,100.94176758567379,9.9067018927646107,-1,-1,99
4,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111376,692589,8682625,1750959558023.7134,2557,3724.0410256410255,2547,1865.9340659340658,19011,100.73412188223195,9.9271228191088809,-1,-1,99
5,34,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111377,692845,8682632.8125,1750959558031.5259,2542,3702.1948717948717,2522,1847.6190476190475,19013,100.63061905985103,9.9373332822810152,-1,-1,99
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111378,693101,8682640.625,1750959558039.3384,2558,3725.4974358974355,2536,1857.8754578754576,19016,100.47576301615798,9.952648977039221,-1,-1,99
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111379,693357,8682648.4375,1750959558047.1509,2544,3705.1076923076921,2518,1844.6886446886447,19018,100.37279016141431,9.9628594402113553,-1,-1,99
8,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111380,693613,8682656.25,1750959558054.9634,2557,3724.0410256410255,2532,1854.9450549450548,19019,100.32138284250962,9.9679646717974233,-1,-1,99
9,65,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111381,693869,8682664.0625,1750959558062.7759,2541,3700.7384615384613,2514,1841.7582417582416,19022,100.16747634875992,9.9832803665556273,-1,-1,99
10,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111382,694125,8682671.875,1750959558070.5884,2558,3725.4974358974355,2531,1854.2124542124541,19026,99.96300076550142,10.003701292899898,-1,-1,99
11,81,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111383,694381,8682679.6875,1750959558078.4009,2557,3724.0410256410255,2540,1860.8058608058607,19027,99.912012241775074,10.008806524485966,-1,-1,99
12,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111384,694637,8682687.5,1750959558086.2134,2557,3724.0410256410255,2545,1864.4688644688642,19030,99.759358288770073,10.024122219244168,-1,-1,99
13,97,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111385,694893,8682695.3125,1750959558094.0259,2541,3700.7384615384613,2521,1846.8864468864467,19033,99.607170099160953,10.039437914002374,-1,-1,99
14,104,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111386,695149,8682703.125,1750959558101.8384,2558,3725.4974358974355,2535,1857.1428571428571,19034,99.556543837357054,10.044543145588442,-1,-1,99
15,112,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111387,695405,8682710.9375,1750959558109.6509,2558,3725.4974358974355,2543,1863.003663003663,19032,99.657847875858565,10.034332682416306,-1,-1,99
16,120,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111388,695661,8682718.75,1750959558117.4634,2558,3725.4974358974355,2547,1865.9340659340658,19029,99.810191082802561,10.019016987658102,-1,-1,99
17,128,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111389,695917,8682726.5625,1750959558125.2759,2541,3700.7384615384613,2522,1847.6190476190475,19026,99.96300076550142,10.003701292899898,-1,-1,99
18,136,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111390,696173,8682734.375,1750959558133.0884,2558,3725.4974358974355,2535,1857.1428571428571,19024,100.06513409961686,9.9934908297277651,-1,-1,99
19,143,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111391,696429,8682742.1875,1750959558140.9009,2558,3725.4974358974355,2543,1863.003663003663,19025,100.01404135818228,9.9985960613138314,-1,-1,99
20,151,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111392,696685,8682750,1750959558148.7134,2557,3724.0410256410255,2547,1865.9340659340658,19026,99.96300076550142,10.003701292899898,-1,-1,99
21,159,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111393,696941,8682757.8125,1750959558156.5259,2541,3700.7384615384613,2522,1847.6190476190475,19027,99.912012241775074,10.008806524485966,-1,-1,99
22,167,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111394,697197,8682765.625,1750959558164.3384,2557,3724.0410256410255,2535,1857.1428571428571,19027,99.912012241775074,10.008806524485966,-1,-1,99
23,175,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111395,697453,8682773.4375,1750959558172.1509,2557,3724.0410256410255,2542,1862.2710622710622,19026,99.96300076550142,10.003701292899898,-1,-1,99
24,183,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111396,697709,8682781.25,1750959558179.9634,2556,3722.5846153846151,2540,1860.8058608058607,19028,99.861075707366822,10.013911756072034,-1,-1,99
25,190,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111397,697965,8682789.0625,1750959558187.7759,2541,3700.7384615384613,2518,1844.6886446886447,19030,99.759358288770073,10.024122219244168,-1,-1,99
26,198,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111398,698221,8682796.875,1750959558195.5884,2558,3725.4974358974355,2534,1856.4102564102564,19033,99.607170099160953,10.039437914002374,-1,-1,99
27,206,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111399,698477,8682804.6875,1750959558203.4009,2543,3703.6512820512821,2521,1846.8864468864467,19037,99.404973357016004,10.059858840346642,-1,-1,99
28,214,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111400,698733,8682812.5,1750959558211.2134,2558,3725.4974358974355,2535,1857.1428571428571,19038,99.354552371290907,10.064964071932712,-1,-1,99
29,222,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111401,698989,8682820.3125,1750959558219.0259,2541,3700.7384615384613,2516,1843.2234432234432,19039,99.304182509505708,10.07006930351878,-1,-1,99
30,229,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111402,699245,8682828.125,1750959558226.8384,2558,3725.4974358974355,2532,1854.9450549450548,19041,99.203595847049883,10.080279766690916,-1,-1,99
31,237,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111403,699501,8682835.9375,1750959558234.6509,2558,3725.4974358974355,2541,1861.5384615384614,19042,99.153378891419891,10.085384998276984,-1,-1,99
32,245,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111404,699757,8682843.75,1750959558242.4634,2557,3724.0410256410255,2545,1864.4688644688642,19043,99.103212749810282,10.09049022986305,-1,-1,99
33,253,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111405,700013,8682851.5625,1750959558250.2759,2541,3700.7384615384613,2521,1846.8864468864467,19044,99.053097345132755,10.095595461449118,-1,-1,99
34,261,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111406,700269,8682859.375,1750959558258.0884,2556,3722.5846153846151,2530,1853.4798534798533,19047,98.903054784145425,10.110911156207324,-1,-1,99
35,268,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111407,700525,8682867.1875,1750959558265.9009,2557,3724.0410256410255,2539,1860.0732600732599,19049,98.8032786885246,10.121121619379458,-1,-1,99
36,276,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111408,700781,8682875,1750959558273.7134,2557,3724.0410256410255,2544,1863.7362637362637,19048,98.853141559424685,10.116016387793392,-1,-1,99
37,284,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111409,701037,8682882.8125,1750959558281.5259,2540,3699.2820512820508,2516,1843.2234432234432,19047,98.903054784145425,10.110911156207324,-1,-1,99
38,292,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111410,701293,8682890.625,1750959558289.3384,2557,3724.0410256410255,2532,1854.9450549450548,19047,98.903054784145425,10.110911156207324,-1,-1,99
39,300,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111411,701549,8682898.4375,1750959558297.1509,2558,3725.4974358974355,2540,1860.8058608058607,19049,98.8032786885246,10.121121619379458,-1,-1,99
40,308,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111412,701805,8682906.25,1750959558304.9634,2556,3722.5846153846151,2540,1860.8058608058607,19048,98.853141559424685,10.116016387793392,-1,-1,99
41,315,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111413,702061,8682914.0625,1750959558312.7759,2540,3699.2820512820508,2513,1841.0256410256409,19047,98.903054784145425,10.110911156207324,-1,-1,99
42,323,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111414,702317,8682921.875,1750959558320.5884,2558,3725.4974358974355,2531,1854.2124542124541,19048,98.853141559424685,10.116016387793392,-1,-1,99
43,331,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111415,702573,8682929.6875,1750959558328.4009,2557,3724.0410256410255,2540,1860.8058608058607,19043,99.103212749810282,10.09049022986305,-1,-1,99
44,339,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111416,702829,8682937.5,1750959558336.2134,2557,3724.0410256410255,2545,1864.4688644688642,19041,99.203595847049883,10.080279766690916,-1,-1,99
45,347,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111417,703085,8682945.3125,1750959558344.0259,2541,3700.7384615384613,2520,1846.153846153846,19041,99.203595847049883,10.080279766690916,-1,-1,99
46,354,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111418,703341,8682953.125,1750959558351.8384,2558,3725.4974358974355,2535,1857.1428571428571,19042,99.153378891419891,10.085384998276984,-1,-1,99
47,362,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111419,703597,8682960.9375,1750959558359.6509,2557,3724.0410256410255,2542,1862.2710622710622,19043,99.103212749810282,10.09049022986305,-1,-1,99
48,370,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111420,703853,8682968.75,1750959558367.4634,2557,3724.0410256410255,2546,1865.201465201465,19044,99.053097345132755,10.095595461449118,-1,-1,99
49,378,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111421,704109,8682976.5625,1750959558375.2759,2541,3700.7384615384613,2521,1846.8864468864467,19051,98.703703703703709,10.131332082551594,-1,-1,99
50,386,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,1111422,704365,8682984.375,1750959558383.0884,2558,3725.4974358974355,2535,1857.1428571428571,19058,98.356766256590518,10.167068703654069,-1,-1,99
