Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955703,11171949,7466429.6875,1750958341828.4009,2562,3731.3230769230768,2190,1604.3956043956043,19002,101.20253164556964,9.8811757348342706,-1,-1,99
3,18,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955704,11172205,7466437.5,1750958341836.2134,2565,3735.6923076923072,2164,1585.3479853479853,19003,101.15027110766849,9.8862809664203386,-1,-1,99
4,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955705,11172461,7466445.3125,1750958341844.0259,2565,3735.6923076923072,2151,1575.8241758241757,19004,101.09806451612904,9.8913861980064066,-1,-1,99
5,34,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955706,11172717,7466453.125,1750958341851.8384,2563,3732.7794871794868,2141,1568.4981684981683,19004,101.09806451612904,9.8913861980064066,-1,-1,99
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955707,11172973,7466460.9375,1750958341859.6509,2562,3731.3230769230768,2131,1561.1721611721612,19004,101.09806451612904,9.8913861980064066,-1,-1,99
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955708,11173229,7466468.75,1750958341867.4634,2564,3734.2358974358972,2127,1558.2417582417581,19004,101.09806451612904,9.8913861980064066,-1,-1,99
8,57,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955709,11173485,7466476.5625,1750958341875.2759,2544,3705.1076923076921,2293,1679.8534798534797,19003,101.15027110766849,9.8862809664203386,-1,-1,99
9,65,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955710,11173741,7466484.375,1750958341883.0884,2563,3732.7794871794868,2218,1624.9084249084249,19000,101.30721489526766,9.8709652716621346,-1,-1,99
10,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955711,11173997,7466492.1875,1750958341890.9009,2562,3731.3230769230768,2173,1591.9413919413919,18998,101.41211493657779,9.8607548084900003,-1,-1,99
11,81,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955712,11174253,7466500,1750958341898.7134,2562,3731.3230769230768,2148,1573.6263736263736,18997,101.46464646464648,9.8556495769039305,-1,-1,99
12,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955713,11174509,7466507.8125,1750958341906.5259,2544,3705.1076923076921,2305,1688.6446886446886,18995,101.56987295825772,9.8454391137317963,-1,-1,99
13,96,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955714,11174765,7466515.625,1750958341914.3384,2563,3732.7794871794868,2225,1630.03663003663,18994,101.62256809338523,9.8403338821457282,-1,-1,99
14,104,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955715,11175021,7466523.4375,1750958341922.1509,2544,3705.1076923076921,2347,1719.4139194139193,18994,101.62256809338523,9.8403338821457282,-1,-1,99
15,112,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955716,11175277,7466531.25,1750958341929.9634,2563,3732.7794871794868,2248,1646.8864468864467,18993,101.67531793407736,9.8352286505596602,-1,-1,99
16,120,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955717,11175533,7466539.0625,1750958341937.7759,2545,3706.5641025641021,2365,1732.6007326007325,18992,101.72812256556739,9.830123418973594,-1,-1,99
17,128,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955718,11175789,7466546.875,1750958341945.5884,2562,3731.3230769230768,2252,1649.8168498168498,18990,101.8338965427606,9.819912955801458,-1,-1,99
18,135,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955719,11176045,7466554.6875,1750958341953.4009,2546,3708.0205128205125,2368,1734.7985347985348,18987,101.99297058057799,9.8045972610432521,-1,-1,99
19,143,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955720,11176301,7466562.5,1750958341961.2134,2564,3734.2358974358972,2255,1652.0146520146518,18983,102.20584398643361,9.7841763346989818,-1,-1,99
20,151,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955721,11176557,7466570.3125,1750958341969.0259,2564,3734.2358974358972,2195,1608.0586080586079,18978,102.47318859534398,9.7586501767686418,-1,-1,99
21,159,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955722,11176813,7466578.125,1750958341976.8384,2563,3732.7794871794868,2166,1586.8131868131868,18972,102.79585410653372,9.7280187872522355,-1,-1,99
22,167,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955723,11177069,7466585.9375,1750958341984.6509,2563,3732.7794871794868,2150,1575.0915750915749,18968,103.01209571391007,9.7075978609079652,-1,-1,99
23,175,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955724,11177325,7466593.75,1750958341992.4634,2564,3734.2358974358972,2137,1565.5677655677655,18965,103.17487490123784,9.6922821661497611,-1,-1,99
24,182,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955725,11177581,7466601.5625,1750958342000.2759,2544,3705.1076923076921,2299,1684.249084249084,18964,103.22924901185773,9.6871769345636931,-1,-1,99
25,190,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955726,11177837,7466609.375,1750958342008.0884,2562,3731.3230769230768,2216,1623.4432234432234,18963,103.28368046401266,9.6820717029776269,-1,-1,99
26,198,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955727,11178093,7466617.1875,1750958342015.9009,2546,3708.0205128205125,2348,1720.1465201465201,18964,103.22924901185773,9.6871769345636931,-1,-1,99
27,206,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955728,11178349,7466625,1750958342023.7134,2564,3734.2358974358972,2245,1644.6886446886447,18964,103.22924901185773,9.6871769345636931,-1,-1,99
28,214,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955729,11178605,7466632.8125,1750958342031.5259,2564,3734.2358974358972,2189,1603.6630036630036,18965,103.17487490123784,9.6922821661497611,-1,-1,99
29,221,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955730,11178861,7466640.625,1750958342039.3384,2563,3732.7794871794868,2162,1583.8827838827838,18966,103.12055804158992,9.6973873977358274,-1,-1,99
30,229,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955731,11179117,7466648.4375,1750958342047.1509,2562,3731.3230769230768,2142,1569.2307692307691,18968,103.01209571391007,9.7075978609079652,-1,-1,99
31,237,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955732,11179373,7466656.25,1750958342054.9634,2564,3734.2358974358972,2133,1562.6373626373625,18970,102.90386130811663,9.7178083240801012,-1,-1,99
32,245,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955733,11179629,7466664.0625,1750958342062.7759,2563,3732.7794871794868,2132,1561.9047619047617,18973,102.74193548387099,9.7331240188383017,-1,-1,99
33,253,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955734,11179885,7466671.875,1750958342070.5884,2563,3732.7794871794868,2131,1561.1721611721612,18975,102.63426774954154,9.7433344820104395,-1,-1,99
34,260,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955735,11180141,7466679.6875,1750958342078.4009,2563,3732.7794871794868,2131,1561.1721611721612,18977,102.52682543836693,9.7535449451825755,-1,-1,99
35,268,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955736,11180397,7466687.5,1750958342086.2134,2563,3732.7794871794868,2130,1560.4395604395604,18977,102.52682543836693,9.7535449451825755,-1,-1,99
36,276,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955737,11180653,7466695.3125,1750958342094.0259,2564,3734.2358974358972,2127,1558.2417582417581,18977,102.52682543836693,9.7535449451825755,-1,-1,99
37,284,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955738,11180909,7466703.125,1750958342101.8384,2563,3732.7794871794868,2128,1558.9743589743589,18977,102.52682543836693,9.7535449451825755,-1,-1,99
38,292,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955739,11181165,7466710.9375,1750958342109.6509,2546,3708.0205128205125,2300,1684.9816849816848,18977,102.52682543836693,9.7535449451825755,-1,-1,99
39,300,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955740,11181421,7466718.75,1750958342117.4634,2563,3732.7794871794868,2222,1627.8388278388277,18977,102.52682543836693,9.7535449451825755,-1,-1,99
40,307,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955741,11181677,7466726.5625,1750958342125.2759,2564,3734.2358974358972,2176,1594.1391941391939,18977,102.52682543836693,9.7535449451825755,-1,-1,99
41,315,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955742,11181933,7466734.375,1750958342133.0884,2563,3732.7794871794868,2156,1579.4871794871794,18976,102.58051846032994,9.7484397135965075,-1,-1,99
42,323,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955743,11182189,7466742.1875,1750958342140.9009,2546,3708.0205128205125,2315,1695.9706959706959,18975,102.63426774954154,9.7433344820104395,-1,-1,99
43,331,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955744,11182445,7466750,1750958342148.7134,2563,3732.7794871794868,2230,1633.6996336996335,18974,102.68807339449543,9.7382292504243697,-1,-1,99
44,339,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,955745,11182701,7466757.8125,1750958342156.5259,2564,3734.2358974358972,2181,1597.8021978021977,18973,102.74193548387099,9.7331240188383017,-1,-1,99
