Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,280328,5968011,2190062.5,1751015845352.0813,2539,3697.8256410256408,2502,1832.9670329670328,19736,73.376100393332095,13.628415719008052,-1,-1,99
3,17,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,280329,5968267,2190070.3125,1751015845359.8938,2547,3709.4769230769225,2510,1838.8278388278386,19744,73.156862745098053,13.669257571696594,-1,-1,99
4,25,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,280330,5968523,2190078.125,1751015845367.7063,2549,3712.3897435897434,2516,1843.2234432234432,19750,72.993292342090555,13.699888961213002,-1,-1,99
5,33,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,280331,5968779,2190085.9375,1751015845375.5188,2547,3709.4769230769225,2517,1843.9560439560439,19764,72.614457831325296,13.771362203417953,-1,-1,99
6,41,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,280332,5969035,2190093.75,1751015845383.3313,2539,3697.8256410256408,2506,1835.8974358974358,19773,72.372990947718449,13.817309287692565,-1,-1,99
7,48,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,280333,5969291,2190101.5625,1751015845391.1438,2549,3712.3897435897434,2513,1841.0256410256409,19776,72.292858460970677,13.832624982450763,-1,-1,99
8,56,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,280334,5969547,2190109.375,1751015845398.9563,2549,3712.3897435897434,2517,1843.9560439560439,19780,72.186290768380317,13.853045908795039,-1,-1,99
9,64,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,280335,5969803,2190117.1875,1751015845406.7688,2547,3709.4769230769225,2518,1844.6886446886447,19778,72.239535312557621,13.842835445622903,-1,-1,99
10,72,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,280336,5970059,2190125,1751015845414.5813,2548,3710.9333333333329,2515,1842.4908424908424,19774,72.346260387811654,13.822414519278627,-1,-1,99
