Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485522,7954330,3793140.625,1751029014402.5315,2525,3677.4358974358975,2432,1781.6849816849815,1603,29.806083650190114,33.550197729302205,-1,-1,99
3,12,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485523,7954586,3793148.4375,1751029014410.344,2526,3678.8923076923074,2433,1782.4175824175823,1602,29.838499184339316,33.513749931660378,-1,-1,99
4,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485524,7954842,3793156.25,1751029014418.1565,2525,3677.4358974358975,2433,1782.4175824175823,1602,29.838499184339316,33.513749931660378,-1,-1,99
5,27,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485525,7955098,3793164.0625,1751029014425.969,2525,3677.4358974358975,2434,1783.150183150183,1601,29.870985302123028,33.477302134018551,-1,-1,99
6,35,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485526,7955354,3793171.875,1751029014433.7815,2524,3675.979487179487,2428,1778.7545787545787,1601,29.870985302123028,33.477302134018551,-1,-1,99
7,43,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485527,7955610,3793179.6875,1751029014441.594,2526,3678.8923076923074,2431,1780.9523809523807,1600,29.903542234332434,33.440854336376717,-1,-1,99
8,51,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485528,7955866,3793187.5,1751029014449.4065,2524,3675.979487179487,2428,1778.7545787545787,1600,29.903542234332434,33.440854336376717,-1,-1,99
9,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485529,7956122,3793195.3125,1751029014457.219,2525,3677.4358974358975,2431,1780.9523809523807,1599,29.936170212765965,33.404406538734889,-1,-1,99
10,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485530,7956378,3793203.125,1751029014465.0315,2525,3677.4358974358975,2432,1781.6849816849815,1599,29.936170212765965,33.404406538734889,-1,-1,99
11,74,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485531,7956634,3793210.9375,1751029014472.844,2526,3678.8923076923074,2434,1783.150183150183,1598,29.968869470234853,33.367958741093055,-1,-1,99
12,82,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485532,7956890,3793218.75,1751029014480.6565,2524,3675.979487179487,2428,1778.7545787545787,1598,29.968869470234853,33.367958741093055,-1,-1,99
13,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485533,7957146,3793226.5625,1751029014488.469,2518,3667.2410256410258,2418,1771.4285714285713,1597,30.001640240568626,33.331510943451228,-1,-1,99
14,98,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485534,7957402,3793234.375,1751029014496.2815,2525,3677.4358974358975,2425,1776.5567765567764,1598,29.968869470234853,33.367958741093055,-1,-1,99
15,105,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485535,7957658,3793242.1875,1751029014504.094,2526,3678.8923076923074,2430,1780.2197802197802,1598,29.968869470234853,33.367958741093055,-1,-1,99
16,113,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485536,7957914,3793250,1751029014511.9065,2524,3675.979487179487,2426,1777.2893772893772,1599,29.936170212765965,33.404406538734889,-1,-1,99
17,121,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485537,7958170,3793257.8125,1751029014519.719,2517,3665.7846153846153,2417,1770.6959706959706,1600,29.903542234332434,33.440854336376717,-1,-1,99
18,129,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485538,7958426,3793265.625,1751029014527.5315,2525,3677.4358974358975,2424,1775.8241758241757,1600,29.903542234332434,33.440854336376717,-1,-1,99
19,137,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485539,7958682,3793273.4375,1751029014535.344,2526,3678.8923076923074,2429,1779.4871794871794,1601,29.870985302123028,33.477302134018551,-1,-1,99
20,144,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485540,7958938,3793281.25,1751029014543.1565,2525,3677.4358974358975,2432,1781.6849816849815,1601,29.870985302123028,33.477302134018551,-1,-1,99
21,152,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485541,7959194,3793289.0625,1751029014550.969,2525,3677.4358974358975,2432,1781.6849816849815,1601,29.870985302123028,33.477302134018551,-1,-1,99
22,160,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485542,7959450,3793296.875,1751029014558.7815,2526,3678.8923076923074,2434,1783.150183150183,1601,29.870985302123028,33.477302134018551,-1,-1,99
23,168,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485543,7959706,3793304.6875,1751029014566.594,2526,3678.8923076923074,2434,1783.150183150183,1601,29.870985302123028,33.477302134018551,-1,-1,99
24,176,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485544,7959962,3793312.5,1751029014574.4065,2524,3675.979487179487,2429,1779.4871794871794,1602,29.838499184339316,33.513749931660378,-1,-1,99
25,183,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485545,7960218,3793320.3125,1751029014582.219,2525,3677.4358974358975,2431,1780.9523809523807,1603,29.806083650190114,33.550197729302205,-1,-1,99
26,191,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485546,7960474,3793328.125,1751029014590.0315,2525,3677.4358974358975,2432,1781.6849816849815,1603,29.806083650190114,33.550197729302205,-1,-1,99
27,199,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485547,7960730,3793335.9375,1751029014597.844,2526,3678.8923076923074,2434,1783.150183150183,1605,29.741463414634158,33.623093324585852,-1,-1,99
28,207,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485548,7960986,3793343.75,1751029014605.6565,2524,3675.979487179487,2428,1778.7545787545787,1608,29.645056726094012,33.732436717511334,-1,-1,99
29,215,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485549,7961242,3793351.5625,1751029014613.469,2525,3677.4358974358975,2431,1780.9523809523807,1610,29.5811320754717,33.805332312794995,-1,-1,99
30,223,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485550,7961498,3793359.375,1751029014621.2815,2525,3677.4358974358975,2432,1781.6849816849815,1612,29.51748251748252,33.878227908078649,-1,-1,99
31,230,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485551,7961754,3793367.1875,1751029014629.094,2526,3678.8923076923074,2434,1783.150183150183,1613,29.485760343901138,33.914675705720477,-1,-1,99
32,238,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485552,7962010,3793375,1751029014636.9065,2524,3675.979487179487,2428,1778.7545787545787,1614,29.454106280193248,33.951123503362297,-1,-1,99
33,246,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,485553,7962266,3793382.8125,1751029014644.719,2525,3677.4358974358975,2431,1780.9523809523807,1616,29.39100160685593,34.024019098645951,-1,-1,99
