Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,414217,6477466,3236070.3125,1751028457332.219,2528,3681.8051282051279,2432,1781.6849816849815,1582,30.501945525291838,32.784793978823821,-1,-1,99
3,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,414218,6477722,3236078.125,1751028457340.0315,2528,3681.8051282051279,2434,1783.150183150183,1582,30.501945525291838,32.784793978823821,-1,-1,99
4,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,414219,6477978,3236085.9375,1751028457347.844,2528,3681.8051282051279,2435,1783.8827838827838,1582,30.501945525291838,32.784793978823821,-1,-1,99
5,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,414220,6478234,3236093.75,1751028457355.6565,2522,3673.0666666666662,2429,1779.4871794871794,1582,30.501945525291838,32.784793978823821,-1,-1,99
6,39,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,414221,6478490,3236101.5625,1751028457363.469,2527,3680.3487179487179,2437,1785.3479853479853,1581,30.535893155258773,32.748346181181994,-1,-1,99
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,414222,6478746,3236109.375,1751028457371.2815,2528,3681.8051282051279,2436,1784.6153846153845,1581,30.535893155258773,32.748346181181994,-1,-1,99
8,54,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,414223,6479002,3236117.1875,1751028457379.094,2528,3681.8051282051279,2436,1784.6153846153845,1580,30.569916434540396,32.711898383540166,-1,-1,99
9,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,414224,6479258,3236125,1751028457386.9065,2521,3671.6102564102562,2429,1779.4871794871794,1580,30.569916434540396,32.711898383540166,-1,-1,99
10,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,414225,6479514,3236132.8125,1751028457394.719,2528,3681.8051282051279,2432,1781.6849816849815,1580,30.569916434540396,32.711898383540166,-1,-1,99
