Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310843,5355739,2428460.9375,1750175079228.3389,2638,3842.0102564102563,2431,1780.9523809523807,18090,191.38006839276991,5.2252045283404165,-1,-1,99
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310844,5355995,2428468.75,1750175079236.1514,2638,3842.0102564102563,2436,1784.6153846153845,18090,191.38006839276991,5.2252045283404165,-1,-1,99
4,24,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310845,5356251,2428476.5625,1750175079243.9639,2627,3825.9897435897433,2424,1775.8241758241757,18090,191.38006839276991,5.2252045283404165,-1,-1,99
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310846,5356507,2428484.375,1750175079251.7764,2639,3843.4666666666667,2438,1786.080586080586,18090,191.38006839276991,5.2252045283404165,-1,-1,99
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310847,5356763,2428492.1875,1750175079259.5889,2638,3842.0102564102563,2441,1788.2783882783881,18090,191.38006839276991,5.2252045283404165,-1,-1,99
7,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310848,5357019,2428500,1750175079267.4014,2638,3842.0102564102563,2443,1789.7435897435896,18090,191.38006839276991,5.2252045283404165,-1,-1,99
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310849,5357275,2428507.8125,1750175079275.2139,2626,3824.5333333333328,2422,1774.3589743589741,18090,191.38006839276991,5.2252045283404165,-1,-1,99
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310850,5357531,2428515.625,1750175079283.0264,2638,3842.0102564102563,2432,1781.6849816849815,18090,191.38006839276991,5.2252045283404165,-1,-1,99
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310851,5357787,2428523.4375,1750175079290.8389,2637,3840.5538461538458,2436,1784.6153846153845,18090,191.38006839276991,5.2252045283404165,-1,-1,99
11,79,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310852,5358043,2428531.25,1750175079298.6514,2638,3842.0102564102563,2440,1787.5457875457873,18090,191.38006839276991,5.2252045283404165,-1,-1,99
12,86,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310853,5358299,2428539.0625,1750175079306.4639,2626,3824.5333333333328,2420,1772.8937728937728,18090,191.38006839276991,5.2252045283404165,-1,-1,99
13,94,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310854,5358555,2428546.875,1750175079314.2764,2638,3842.0102564102563,2431,1780.9523809523807,18090,191.38006839276991,5.2252045283404165,-1,-1,99
14,102,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310855,5358811,2428554.6875,1750175079322.0889,2638,3842.0102564102563,2437,1785.3479853479853,18091,191.19326500732063,5.2303097599264854,-1,-1,99
15,110,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310856,5359067,2428562.5,1750175079329.9014,2638,3842.0102564102563,2440,1787.5457875457873,18091,191.19326500732063,5.2303097599264854,-1,-1,99
16,118,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310857,5359323,2428570.3125,1750175079337.7139,2625,3823.0769230769224,2420,1772.8937728937728,18090,191.38006839276991,5.2252045283404165,-1,-1,99
17,126,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310858,5359579,2428578.125,1750175079345.5264,2638,3842.0102564102563,2431,1780.9523809523807,18091,191.19326500732063,5.2303097599264854,-1,-1,99
18,133,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310859,5359835,2428585.9375,1750175079353.3389,2638,3842.0102564102563,2437,1785.3479853479853,18090,191.38006839276991,5.2252045283404165,-1,-1,99
19,141,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310860,5360091,2428593.75,1750175079361.1514,2638,3842.0102564102563,2440,1787.5457875457873,18091,191.19326500732063,5.2303097599264854,-1,-1,99
20,149,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310861,5360347,2428601.5625,1750175079368.9639,2627,3825.9897435897433,2426,1777.2893772893772,18091,191.19326500732063,5.2303097599264854,-1,-1,99
21,157,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310862,5360603,2428609.375,1750175079376.7764,2638,3842.0102564102563,2434,1783.150183150183,18090,191.38006839276991,5.2252045283404165,-1,-1,99
22,165,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310863,5360859,2428617.1875,1750175079384.5889,2637,3840.5538461538458,2438,1786.080586080586,18091,191.19326500732063,5.2303097599264854,-1,-1,99
23,172,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310864,5361115,2428625,1750175079392.4014,2638,3842.0102564102563,2440,1787.5457875457873,18091,191.19326500732063,5.2303097599264854,-1,-1,99
24,180,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310865,5361371,2428632.8125,1750175079400.2139,2625,3823.0769230769224,2420,1772.8937728937728,18091,191.19326500732063,5.2303097599264854,-1,-1,99
25,188,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310866,5361627,2428640.625,1750175079408.0264,2637,3840.5538461538458,2430,1780.2197802197802,18091,191.19326500732063,5.2303097599264854,-1,-1,99
26,196,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310867,5361883,2428648.4375,1750175079415.8389,2637,3840.5538461538458,2435,1783.8827838827838,18091,191.19326500732063,5.2303097599264854,-1,-1,99
27,204,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,310868,5362139,2428656.25,1750175079423.6514,2638,3842.0102564102563,2439,1786.8131868131868,18091,191.19326500732063,5.2303097599264854,-1,-1,99
