Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347764,6073012,2716906.25,1750682983212.0908,2611,3802.687179487179,2331,1707.6923076923076,1128,61.585858585858603,16.237493849434145,192,312.5,99
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347765,6073268,2716914.0625,1750682983219.9033,2595,3779.3846153846152,2303,1687.1794871794871,1128,61.585858585858603,16.237493849434145,192,-1,99
4,24,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347766,6073524,2716921.875,1750682983227.7158,2611,3802.687179487179,2319,1698.9010989010987,1128,61.585858585858603,16.237493849434145,192,-1,99
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347767,6073780,2716929.6875,1750682983235.5283,2612,3804.1435897435895,2324,1702.5641025641025,1128,61.585858585858603,16.237493849434145,192,-1,99
6,39,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347768,6074036,2716937.5,1750682983243.3408,2611,3802.687179487179,2331,1707.6923076923076,1128,61.585858585858603,16.237493849434145,192,-1,99
7,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347769,6074292,2716945.3125,1750682983251.1533,2595,3779.3846153846152,2303,1687.1794871794871,1128,61.585858585858603,16.237493849434145,192,-1,99
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347770,6074548,2716953.125,1750682983258.9658,2611,3802.687179487179,2320,1699.6336996336995,1128,61.585858585858603,16.237493849434145,192,-1,99
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347771,6074804,2716960.9375,1750682983266.7783,2611,3802.687179487179,2328,1705.4945054945053,1128,61.585858585858603,16.237493849434145,192,-1,99
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347772,6075060,2716968.75,1750682983274.5908,2591,3773.558974358974,2294,1680.5860805860805,1128,61.585858585858603,16.237493849434145,192,-1,99
11,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347773,6075316,2716976.5625,1750682983282.4033,2596,3780.8410256410257,2279,1669.5970695970695,1128,61.585858585858603,16.237493849434145,192,-1,99
12,86,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347774,6075572,2716984.375,1750682983290.2158,2611,3802.687179487179,2307,1690.1098901098901,1127,61.724409448818911,16.201046051792318,192,-1,99
13,94,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347775,6075828,2716992.1875,1750682983298.0283,2611,3802.687179487179,2321,1700.3663003663003,1128,61.585858585858603,16.237493849434145,192,-1,99
14,102,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347776,6076084,2717000,1750682983305.8408,2610,3801.2307692307691,2324,1702.5641025641025,1128,61.585858585858603,16.237493849434145,192,-1,99
15,110,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347777,6076340,2717007.8125,1750682983313.6533,2595,3779.3846153846152,2299,1684.249084249084,1128,61.585858585858603,16.237493849434145,192,-1,99
16,118,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347778,6076596,2717015.625,1750682983321.4658,2611,3802.687179487179,2318,1698.168498168498,1128,61.585858585858603,16.237493849434145,192,-1,99
17,125,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347779,6076852,2717023.4375,1750682983329.2783,2611,3802.687179487179,2327,1704.7619047619046,1128,61.585858585858603,16.237493849434145,192,-1,99
18,133,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347780,6077108,2717031.25,1750682983337.0908,2610,3801.2307692307691,2327,1704.7619047619046,1127,61.724409448818911,16.201046051792318,192,-1,99
19,141,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347781,6077364,2717039.0625,1750682983344.9033,2596,3780.8410256410257,2297,1682.7838827838827,1127,61.724409448818911,16.201046051792318,192,-1,99
20,149,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347782,6077620,2717046.875,1750682983352.7158,2611,3802.687179487179,2316,1696.7032967032967,1127,61.724409448818911,16.201046051792318,192,-1,99
21,157,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347783,6077876,2717054.6875,1750682983360.5283,2611,3802.687179487179,2327,1704.7619047619046,1128,61.585858585858603,16.237493849434145,192,-1,99
22,164,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347784,6078132,2717062.5,1750682983368.3408,2611,3802.687179487179,2332,1708.4249084249084,1127,61.724409448818911,16.201046051792318,192,-1,99
23,172,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347785,6078388,2717070.3125,1750682983376.1533,2595,3779.3846153846152,2304,1687.9120879120878,1127,61.724409448818911,16.201046051792318,192,-1,99
24,180,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347786,6078644,2717078.125,1750682983383.9658,2611,3802.687179487179,2320,1699.6336996336995,1127,61.724409448818911,16.201046051792318,192,-1,99
25,188,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347787,6078900,2717085.9375,1750682983391.7783,2611,3802.687179487179,2329,1706.2271062271061,1127,61.724409448818911,16.201046051792318,192,-1,99
26,196,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347788,6079156,2717093.75,1750682983399.5908,2611,3802.687179487179,2334,1709.8901098901097,1127,61.724409448818911,16.201046051792318,192,-1,99
27,203,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347789,6079412,2717101.5625,1750682983407.4033,2596,3780.8410256410257,2301,1685.7142857142856,1127,61.724409448818911,16.201046051792318,-1,-1,99
28,211,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347790,6079668,2717109.375,1750682983415.2158,2611,3802.687179487179,2318,1698.168498168498,1127,61.724409448818911,16.201046051792318,-1,-1,99
29,219,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347791,6079924,2717117.1875,1750682983423.0283,2610,3801.2307692307691,2322,1701.098901098901,1127,61.724409448818911,16.201046051792318,-1,-1,99
30,227,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347792,6080180,2717125,1750682983430.8408,2611,3802.687179487179,2330,1706.9597069597069,1127,61.724409448818911,16.201046051792318,-1,-1,99
31,235,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347793,6080436,2717132.8125,1750682983438.6533,2596,3780.8410256410257,2298,1683.5164835164835,1127,61.724409448818911,16.201046051792318,-1,-1,99
32,243,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347794,6080692,2717140.625,1750682983446.4658,2611,3802.687179487179,2317,1697.4358974358972,1127,61.724409448818911,16.201046051792318,-1,-1,99
33,250,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347795,6080948,2717148.4375,1750682983454.2783,2611,3802.687179487179,2327,1704.7619047619046,1127,61.724409448818911,16.201046051792318,-1,-1,99
34,258,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347796,6081204,2717156.25,1750682983462.0908,2612,3804.1435897435895,2329,1706.2271062271061,1127,61.724409448818911,16.201046051792318,-1,-1,99
35,266,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347797,6081460,2717164.0625,1750682983469.9033,2595,3779.3846153846152,2302,1686.4468864468863,1127,61.724409448818911,16.201046051792318,-1,-1,99
36,274,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347798,6081716,2717171.875,1750682983477.7158,2611,3802.687179487179,2319,1698.9010989010987,1127,61.724409448818911,16.201046051792318,-1,-1,99
37,282,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347799,6081972,2717179.6875,1750682983485.5283,2610,3801.2307692307691,2323,1701.8315018315018,1127,61.724409448818911,16.201046051792318,-1,-1,99
38,289,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,347800,6082228,2717187.5,1750682983493.3408,2612,3804.1435897435895,2326,1704.0293040293038,1127,61.724409448818911,16.201046051792318,-1,-1,99
