Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110369,3737955,862257.8125,1750764243947.1514,2588,3769.1897435897436,2216,1623.4432234432234,19766,72.560659381366918,13.781572666590089,-1,-1,100
3,12,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110370,3738211,862265.625,1750764243954.9639,2587,3767.7333333333331,2225,1630.03663003663,19767,72.533790038881705,13.786677898176151,-1,-1,100
4,20,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110371,3738467,862273.4375,1750764243962.7764,2588,3769.1897435897436,2226,1630.7692307692307,19767,72.533790038881705,13.786677898176151,-1,-1,100
5,28,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110372,3738723,862281.25,1750764243970.5889,2580,3757.538461538461,2210,1619.047619047619,19767,72.533790038881705,13.786677898176151,-1,-1,100
6,36,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110373,3738979,862289.0625,1750764243978.4014,2588,3769.1897435897436,2218,1624.9084249084249,19767,72.533790038881705,13.786677898176151,-1,-1,100
7,44,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110374,3739235,862296.875,1750764243986.2139,2588,3769.1897435897436,2222,1627.8388278388277,19768,72.506940588561903,13.791783129762225,-1,-1,100
8,51,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110375,3739491,862304.6875,1750764243994.0264,2587,3767.7333333333331,2228,1632.2344322344322,19767,72.533790038881705,13.786677898176151,-1,-1,100
9,59,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110376,3739747,862312.5,1750764244001.8389,2580,3757.538461538461,2211,1619.7802197802196,19768,72.506940588561903,13.791783129762225,-1,-1,100
10,67,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110377,3740003,862320.3125,1750764244009.6514,2588,3769.1897435897436,2218,1624.9084249084249,19768,72.506940588561903,13.791783129762225,-1,-1,100
11,75,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110378,3740259,862328.125,1750764244017.4639,2582,3760.4512820512819,2213,1621.2454212454211,19768,72.506940588561903,13.791783129762225,-1,-1,100
12,83,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110379,3740515,862335.9375,1750764244025.2764,2588,3769.1897435897436,2219,1625.6410256410256,19769,72.480111008325622,13.796888361348291,-1,-1,100
13,90,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110380,3740771,862343.75,1750764244033.0889,2580,3757.538461538461,2206,1616.117216117216,19768,72.506940588561903,13.791783129762225,-1,-1,100
14,98,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,110381,3741027,862351.5625,1750764244040.9014,2588,3769.1897435897436,2216,1623.4432234432234,19768,72.506940588561903,13.791783129762225,-1,-1,100
