Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335071,10930019,2617742.1875,1750765999431.5264,2585,3764.8205128205127,2214,1621.9780219780218,1282,45.765638031693094,21.850454686275572,-1,-1,99
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335072,10930275,2617750,1750765999439.3389,2585,3764.8205128205127,2217,1624.1758241758241,1282,45.765638031693094,21.850454686275572,-1,-1,99
4,24,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335073,10930531,2617757.8125,1750765999447.1514,2585,3764.8205128205127,2219,1625.6410256410256,1282,45.765638031693094,21.850454686275572,-1,-1,99
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335074,10930787,2617765.625,1750765999454.9639,2579,3756.082051282051,2210,1619.047619047619,1282,45.765638031693094,21.850454686275572,-1,-1,99
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335075,10931043,2617773.4375,1750765999462.7764,2584,3763.3641025641023,2210,1619.047619047619,1282,45.765638031693094,21.850454686275572,-1,-1,99
7,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335076,10931299,2617781.25,1750765999470.5889,2584,3763.3641025641023,2209,1618.3150183150183,1282,45.765638031693094,21.850454686275572,-1,-1,99
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335077,10931555,2617789.0625,1750765999478.4014,2585,3764.8205128205127,2214,1621.9780219780218,1282,45.765638031693094,21.850454686275572,-1,-1,99
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335078,10931811,2617796.875,1750765999486.2139,2579,3756.082051282051,2208,1617.5824175824175,1282,45.765638031693094,21.850454686275572,-1,-1,99
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335079,10932067,2617804.6875,1750765999494.0264,2585,3764.8205128205127,2214,1621.9780219780218,1282,45.765638031693094,21.850454686275572,-1,-1,99
11,79,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335080,10932323,2617812.5,1750765999501.8389,2581,3758.9948717948714,2209,1618.3150183150183,1282,45.765638031693094,21.850454686275572,-1,-1,99
12,86,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335081,10932579,2617820.3125,1750765999509.6514,2584,3763.3641025641023,2209,1618.3150183150183,1281,45.842105263157897,21.814006888633752,-1,-1,99
13,94,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335082,10932835,2617828.125,1750765999517.4639,2578,3754.625641025641,2200,1611.7216117216117,1281,45.842105263157897,21.814006888633752,-1,-1,99
14,102,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335083,10933091,2617835.9375,1750765999525.2764,2585,3764.8205128205127,2209,1618.3150183150183,1281,45.842105263157897,21.814006888633752,-1,-1,99
15,110,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335084,10933347,2617843.75,1750765999533.0889,2585,3764.8205128205127,2215,1622.7106227106226,1282,45.765638031693094,21.850454686275572,-1,-1,99
16,118,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335085,10933603,2617851.5625,1750765999540.9014,2584,3763.3641025641023,2211,1619.7802197802196,1281,45.842105263157897,21.814006888633752,-1,-1,99
17,125,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335086,10933859,2617859.375,1750765999548.7139,2579,3756.082051282051,2206,1616.117216117216,1281,45.842105263157897,21.814006888633752,-1,-1,99
18,133,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335087,10934115,2617867.1875,1750765999556.5264,2585,3764.8205128205127,2213,1621.2454212454211,1281,45.842105263157897,21.814006888633752,-1,-1,99
19,141,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335088,10934371,2617875,1750765999564.3389,2585,3764.8205128205127,2216,1623.4432234432234,1281,45.842105263157897,21.814006888633752,-1,-1,99
20,149,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335089,10934627,2617882.8125,1750765999572.1514,2585,3764.8205128205127,2218,1624.9084249084249,1281,45.842105263157897,21.814006888633752,-1,-1,99
21,157,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335090,10934883,2617890.625,1750765999579.9639,2578,3754.625641025641,2205,1615.3846153846152,1281,45.842105263157897,21.814006888633752,-1,-1,99
22,165,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,335091,10935139,2617898.4375,1750765999587.7764,2585,3764.8205128205127,2212,1620.5128205128203,1280,45.918828451882845,21.777559090991929,-1,-1,99
