Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350909,6963578,2741476.5625,1750771504840.988,2569,3741.5179487179485,2251,1649.084249084249,19766,72.560659381366918,13.781572666590089,-1,-1,99
3,15,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350910,6963834,2741484.375,1750771504848.8005,2568,3740.0615384615385,2200,1611.7216117216117,19765,72.587548638132304,13.776467435004019,-1,-1,99
4,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350911,6964090,2741492.1875,1750771504856.613,2567,3738.605128205128,2176,1594.1391941391939,19764,72.614457831325296,13.771362203417953,-1,-1,99
5,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350912,6964346,2741500,1750771504864.4255,2551,3715.3025641025638,2338,1712.8205128205127,19764,72.614457831325296,13.771362203417953,-1,-1,99
6,39,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350913,6964602,2741507.8125,1750771504872.238,2570,3742.9743589743589,2253,1650.5494505494505,19764,72.614457831325296,13.771362203417953,-1,-1,99
7,46,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350914,6964858,2741515.625,1750771504880.0505,2569,3741.5179487179485,2207,1616.8498168498168,19763,72.641386983126282,13.766256971831883,-1,-1,99
8,54,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350915,6965114,2741523.4375,1750771504887.863,2569,3741.5179487179485,2181,1597.8021978021977,19761,72.695305251438128,13.756046508659747,-1,-1,99
9,62,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350916,6965370,2741531.25,1750771504895.6755,2550,3713.8461538461538,2335,1710.6227106227104,19760,72.722294412474483,13.750941277073679,-1,-1,99
10,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350917,6965626,2741539.0625,1750771504903.488,2569,3741.5179487179485,2251,1649.084249084249,19760,72.722294412474483,13.750941277073679,-1,-1,99
11,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350918,6965882,2741546.875,1750771504911.3005,2568,3740.0615384615385,2200,1611.7216117216117,19758,72.776332899869971,13.740730813901543,-1,-1,99
12,85,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350919,6966138,2741554.6875,1750771504919.113,2568,3740.0615384615385,2172,1591.2087912087911,19758,72.776332899869971,13.740730813901543,-1,-1,99
13,93,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350920,6966394,2741562.5,1750771504926.9255,2550,3713.8461538461538,2330,1706.9597069597069,19758,72.776332899869971,13.740730813901543,-1,-1,99
14,101,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350921,6966650,2741570.3125,1750771504934.738,2569,3741.5179487179485,2248,1646.8864468864467,19756,72.830451756832133,13.730520350729408,-1,-1,99
15,109,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350922,6966906,2741578.125,1750771504942.5505,2570,3742.9743589743589,2205,1615.3846153846152,19755,72.857541379951641,13.725415119143342,-1,-1,99
16,117,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350923,6967162,2741585.9375,1750771504950.363,2568,3740.0615384615385,2175,1593.4065934065934,19755,72.857541379951641,13.725415119143342,-1,-1,99
17,124,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350924,6967418,2741593.75,1750771504958.1755,2550,3713.8461538461538,2332,1708.4249084249084,19754,72.884651162790703,13.720309887557272,-1,-1,99
18,132,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350925,6967674,2741601.5625,1750771504965.988,2570,3742.9743589743589,2250,1648.3516483516482,19753,72.911781127861531,13.715204655971206,-1,-1,99
19,140,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350926,6967930,2741609.375,1750771504973.8005,2570,3742.9743589743589,2206,1616.117216117216,19751,72.966101694915267,13.704994192799068,-1,-1,99
20,148,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350927,6968186,2741617.1875,1750771504981.613,2568,3740.0615384615385,2176,1594.1391941391939,19750,72.993292342090555,13.699888961213002,-1,-1,99
21,156,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350928,6968442,2741625,1750771504989.4255,2552,3716.7589743589742,2333,1709.1575091575091,19749,73.020503261882581,13.694783729626934,-1,-1,99
22,164,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350929,6968698,2741632.8125,1750771504997.238,2569,3741.5179487179485,2249,1647.6190476190475,19748,73.04773447697184,13.689678498040868,-1,-1,99
23,171,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350930,6968954,2741640.625,1750771505005.0505,2569,3741.5179487179485,2205,1615.3846153846152,19748,73.04773447697184,13.689678498040868,-1,-1,99
24,179,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350931,6969210,2741648.4375,1750771505012.863,2569,3741.5179487179485,2180,1597.069597069597,19747,73.074986010072763,13.684573266454796,-1,-1,99
25,187,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350932,6969466,2741656.25,1750771505020.6755,2550,3713.8461538461538,2335,1710.6227106227104,19746,73.102257883933561,13.679468034868734,-1,-1,99
26,195,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350933,6969722,2741664.0625,1750771505028.488,2569,3741.5179487179485,2250,1648.3516483516482,19744,73.156862745098053,13.669257571696594,-1,-1,99
27,203,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350934,6969978,2741671.875,1750771505036.3005,2570,3742.9743589743589,2206,1616.117216117216,19742,73.21154924313214,13.659047108524458,-1,-1,99
28,210,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350935,6970234,2741679.6875,1750771505044.113,2568,3740.0615384615385,2176,1594.1391941391939,19741,73.238923163208071,13.653941876938395,-1,-1,99
29,218,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350936,6970490,2741687.5,1750771505051.9255,2550,3713.8461538461538,2332,1708.4249084249084,19738,73.321167883211686,13.638626182180188,-1,-1,99
30,226,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,350937,6970746,2741695.3125,1750771505059.738,2569,3741.5179487179485,2249,1647.6190476190475,19735,73.403597526700409,13.623310487421982,-1,-1,99
