Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,9,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,9233,8296218,72132.8125,1750843590759.771,2570,3742.9743589743589,2154,1578.0219780219779,51532,1326.8041237113405,0.75369075369075356,-1,-1,100
3,19,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,9234,8296474,72140.625,1750843590767.5835,2568,3740.0615384615385,2148,1573.6263736263736,51532,1326.8041237113405,0.75369075369075356,-1,-1,100
4,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,9235,8296730,72148.4375,1750843590775.396,2570,3742.9743589743589,2151,1575.8241758241757,51532,1326.8041237113405,0.75369075369075356,-1,-1,100
5,34,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,9236,8296986,72156.25,1750843590783.2085,2570,3742.9743589743589,2153,1577.2893772893772,51532,1326.8041237113405,0.75369075369075356,-1,-1,100
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,9237,8297242,72164.0625,1750843590791.021,2570,3742.9743589743589,2154,1578.0219780219779,51530,1328.3692126216458,0.75280275280275266,-1,-1,100
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,9238,8297498,72171.875,1750843590798.8335,2552,3716.7589743589742,2322,1701.098901098901,51528,1329.9379982285209,0.75191475191475188,-1,-1,100
8,58,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,9239,8297754,72179.6875,1750843590806.646,2570,3742.9743589743589,2246,1645.4212454212452,51526,1331.5104936446942,0.75102675102675098,-1,-1,100
9,66,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,9240,8298010,72187.5,1750843590814.4585,2570,3742.9743589743589,2205,1615.3846153846152,51524,1333.0867120449839,0.75013875013875009,-1,-1,100
10,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,9241,8298266,72195.3125,1750843590822.271,2570,3742.9743589743589,2182,1598.5347985347985,51524,1333.0867120449839,0.75013875013875009,-1,-1,100
11,81,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,9242,8298522,72203.125,1750843590830.0835,2568,3740.0615384615385,2164,1585.3479853479853,51523,1333.8762214983715,0.74969474969474958,-1,-1,100
