Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,5,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357736,13626906,2794812.5,1750846313439.4585,2556,3722.5846153846151,2522,1847.6190476190475,18422,144.50571744743641,6.9201414149149327,-1,-1,99
3,13,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357737,13627162,2794820.3125,1750846313447.271,2556,3722.5846153846151,2529,1852.7472527472526,18422,144.50571744743641,6.9201414149149327,-1,-1,99
4,21,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357738,13627418,2794828.125,1750846313455.0835,2556,3722.5846153846151,2534,1856.4102564102564,18422,144.50571744743641,6.9201414149149327,-1,-1,99
5,29,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357739,13627674,2794835.9375,1750846313462.896,2537,3694.91282051282,2508,1837.3626373626373,18422,144.50571744743641,6.9201414149149327,-1,-1,99
6,36,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357740,13627930,2794843.75,1750846313470.7085,2557,3724.0410256410255,2527,1851.2820512820513,18422,144.50571744743641,6.9201414149149327,-1,-1,99
7,44,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357741,13628186,2794851.5625,1750846313478.521,2557,3724.0410256410255,2537,1858.6080586080584,18422,144.50571744743641,6.9201414149149327,-1,-1,99
8,52,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357742,13628442,2794859.375,1750846313486.3335,2556,3722.5846153846151,2538,1859.3406593406592,18422,144.50571744743641,6.9201414149149327,-1,-1,99
9,60,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357743,13628698,2794867.1875,1750846313494.146,2537,3694.91282051282,2510,1838.8278388278386,18422,144.50571744743641,6.9201414149149327,-1,-1,99
10,68,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357744,13628954,2794875,1750846313501.9585,2557,3724.0410256410255,2528,1852.0146520146518,18422,144.50571744743641,6.9201414149149327,196,304.6875,99
11,76,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357745,13629210,2794882.8125,1750846313509.771,2557,3724.0410256410255,2538,1859.3406593406592,18422,144.50571744743641,6.9201414149149327,196,-1,99
12,83,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357746,13629466,2794890.625,1750846313517.5835,2553,3718.2153846153847,2537,1858.6080586080584,18422,144.50571744743641,6.9201414149149327,196,-1,99
13,91,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357747,13629722,2794898.4375,1750846313525.396,2537,3694.91282051282,2510,1838.8278388278386,18422,144.50571744743641,6.9201414149149327,196,-1,99
14,99,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357748,13629978,2794906.25,1750846313533.2085,2557,3724.0410256410255,2528,1852.0146520146518,18422,144.50571744743641,6.9201414149149327,196,-1,99
15,107,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357749,13630234,2794914.0625,1750846313541.021,2556,3722.5846153846151,2533,1855.6776556776556,18422,144.50571744743641,6.9201414149149327,196,-1,99
16,115,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357750,13630490,2794921.875,1750846313548.8335,2555,3721.1282051282046,2539,1860.0732600732599,18422,144.50571744743641,6.9201414149149327,196,-1,99
17,122,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357751,13630746,2794929.6875,1750846313556.646,2537,3694.91282051282,2511,1839.5604395604394,18422,144.50571744743641,6.9201414149149327,196,-1,99
18,130,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357752,13631002,2794937.5,1750846313564.4585,2557,3724.0410256410255,2528,1852.0146520146518,18422,144.50571744743641,6.9201414149149327,196,-1,99
19,138,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357753,13631258,2794945.3125,1750846313572.271,2557,3724.0410256410255,2538,1859.3406593406592,18423,144.39918908956878,6.9252466465009999,196,-1,99
20,146,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357754,13631514,2794953.125,1750846313580.0835,2554,3719.6717948717942,2537,1858.6080586080584,18423,144.39918908956878,6.9252466465009999,196,-1,99
21,154,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357755,13631770,2794960.9375,1750846313587.896,2537,3694.91282051282,2510,1838.8278388278386,18423,144.39918908956878,6.9252466465009999,196,-1,99
22,161,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357756,13632026,2794968.75,1750846313595.7085,2557,3724.0410256410255,2528,1852.0146520146518,18423,144.39918908956878,6.9252466465009999,196,-1,99
23,169,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357757,13632282,2794976.5625,1750846313603.521,2557,3724.0410256410255,2538,1859.3406593406592,18423,144.39918908956878,6.9252466465009999,-1,-1,99
24,177,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357758,13632538,2794984.375,1750846313611.3335,2556,3722.5846153846151,2538,1859.3406593406592,18423,144.39918908956878,6.9252466465009999,-1,-1,99
25,185,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357759,13632794,2794992.1875,1750846313619.146,2537,3694.91282051282,2511,1839.5604395604394,18423,144.39918908956878,6.9252466465009999,-1,-1,99
26,193,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357760,13633050,2795000,1750846313626.9585,2557,3724.0410256410255,2529,1852.7472527472526,18423,144.39918908956878,6.9252466465009999,-1,-1,99
27,201,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357761,13633306,2795007.8125,1750846313634.771,2557,3724.0410256410255,2538,1859.3406593406592,18423,144.39918908956878,6.9252466465009999,-1,-1,99
28,208,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357762,13633562,2795015.625,1750846313642.5835,2555,3721.1282051282046,2542,1862.2710622710622,18423,144.39918908956878,6.9252466465009999,-1,-1,99
29,216,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357763,13633818,2795023.4375,1750846313650.396,2537,3694.91282051282,2513,1841.0256410256409,18424,144.292817679558,6.9303518780870705,-1,-1,99
30,224,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357764,13634074,2795031.25,1750846313658.2085,2556,3722.5846153846151,2524,1849.084249084249,18424,144.292817679558,6.9303518780870705,-1,-1,99
31,232,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357765,13634330,2795039.0625,1750846313666.021,2556,3722.5846153846151,2531,1854.2124542124541,18424,144.292817679558,6.9303518780870705,-1,-1,99
32,240,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357766,13634586,2795046.875,1750846313673.8335,2555,3721.1282051282046,2539,1860.0732600732599,18424,144.292817679558,6.9303518780870705,-1,-1,99
33,247,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357767,13634842,2795054.6875,1750846313681.646,2537,3694.91282051282,2511,1839.5604395604394,18424,144.292817679558,6.9303518780870705,-1,-1,99
34,255,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357768,13635098,2795062.5,1750846313689.4585,2556,3722.5846153846151,2524,1849.084249084249,18424,144.292817679558,6.9303518780870705,-1,-1,99
35,263,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357769,13635354,2795070.3125,1750846313697.271,2557,3724.0410256410255,2535,1857.1428571428571,18424,144.292817679558,6.9303518780870705,-1,-1,99
36,271,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357770,13635610,2795078.125,1750846313705.0835,2556,3722.5846153846151,2537,1858.6080586080584,18425,144.1866028708134,6.9354571096731377,-1,-1,99
37,279,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357771,13635866,2795085.9375,1750846313712.896,2538,3696.3692307692304,2510,1838.8278388278386,18425,144.1866028708134,6.9354571096731377,-1,-1,99
38,286,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357772,13636122,2795093.75,1750846313720.7085,2556,3722.5846153846151,2523,1848.3516483516482,18425,144.1866028708134,6.9354571096731377,-1,-1,99
39,294,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357773,13636378,2795101.5625,1750846313728.521,2536,3693.45641025641,2497,1829.3040293040292,18424,144.292817679558,6.9303518780870705,-1,-1,99
40,302,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357774,13636634,2795109.375,1750846313736.3335,2556,3722.5846153846151,2516,1843.2234432234432,18425,144.1866028708134,6.9354571096731377,-1,-1,99
41,310,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357775,13636890,2795117.1875,1750846313744.146,2537,3694.91282051282,2498,1830.03663003663,18425,144.1866028708134,6.9354571096731377,-1,-1,99
42,318,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357776,13637146,2795125,1750846313751.9585,2556,3722.5846153846151,2517,1843.9560439560439,18424,144.292817679558,6.9303518780870705,-1,-1,99
43,326,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357777,13637402,2795132.8125,1750846313759.771,2556,3722.5846153846151,2526,1850.5494505494505,18425,144.1866028708134,6.9354571096731377,-1,-1,99
44,333,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357778,13637658,2795140.625,1750846313767.5835,2555,3721.1282051282046,2536,1857.8754578754576,18425,144.1866028708134,6.9354571096731377,-1,-1,99
45,341,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357779,13637914,2795148.4375,1750846313775.396,2537,3694.91282051282,2509,1838.0952380952381,18425,144.1866028708134,6.9354571096731377,-1,-1,99
46,349,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357780,13638170,2795156.25,1750846313783.2085,2556,3722.5846153846151,2522,1847.6190476190475,18424,144.292817679558,6.9303518780870705,-1,-1,99
47,357,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357781,13638426,2795164.0625,1750846313791.021,2557,3724.0410256410255,2535,1857.1428571428571,18424,144.292817679558,6.9303518780870705,-1,-1,99
48,365,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357782,13638682,2795171.875,1750846313798.8335,2556,3722.5846153846151,2536,1857.8754578754576,18424,144.292817679558,6.9303518780870705,-1,-1,99
49,372,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357783,13638938,2795179.6875,1750846313806.646,2537,3694.91282051282,2509,1838.0952380952381,18424,144.292817679558,6.9303518780870705,-1,-1,99
50,380,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357784,13639194,2795187.5,1750846313814.4585,2557,3724.0410256410255,2528,1852.0146520146518,18424,144.292817679558,6.9303518780870705,-1,-1,99
51,388,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357785,13639450,2795195.3125,1750846313822.271,2557,3724.0410256410255,2538,1859.3406593406592,18424,144.292817679558,6.9303518780870705,-1,-1,99
52,396,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,357786,13639706,2795203.125,1750846313830.0835,2557,3724.0410256410255,2543,1863.003663003663,18424,144.292817679558,6.9303518780870705,-1,-1,99
