Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,6,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217078,6336024,1695921.875,1750848507786.874,2548,3710.9333333333329,2506,1835.8974358974358,19226,90.705024311183166,11.024747610113462,-1,-1,99
3,14,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217079,6336280,1695929.6875,1750848507794.6865,2529,3683.2615384615383,2479,1816.117216117216,19225,90.747046560111201,11.019642378527395,-1,-1,99
4,22,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217080,6336536,1695937.5,1750848507802.499,2549,3712.3897435897434,2498,1830.03663003663,19225,90.747046560111201,11.019642378527395,-1,-1,99
5,30,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217081,6336792,1695945.3125,1750848507810.3115,2549,3712.3897435897434,2508,1837.3626373626373,19224,90.789107763615306,11.014537146941327,-1,-1,99
6,38,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217082,6337048,1695953.125,1750848507818.124,2548,3710.9333333333329,2509,1838.0952380952381,19223,90.831207975886869,11.009431915355259,-1,-1,99
7,45,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217083,6337304,1695960.9375,1750848507825.9365,2531,3686.1743589743587,2486,1821.2454212454211,19222,90.873347251217808,11.004326683769195,-1,-1,99
8,53,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217084,6337560,1695968.75,1750848507833.749,2548,3710.9333333333329,2497,1829.3040293040292,19222,90.873347251217808,11.004326683769195,-1,-1,99
9,61,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217085,6337816,1695976.5625,1750848507841.5615,2549,3712.3897435897434,2508,1837.3626373626373,19221,90.915525644000951,10.999221452183123,-1,-1,99
10,69,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217086,6338072,1695984.375,1750848507849.374,2548,3710.9333333333329,2509,1838.0952380952381,19220,90.957743208729966,10.994116220597057,-1,-1,99
11,77,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217087,6338328,1695992.1875,1750848507857.1865,2529,3683.2615384615383,2480,1816.8498168498168,19219,91.000000000000014,10.989010989010987,-1,-1,99
12,84,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217088,6338584,1696000,1750848507864.999,2548,3710.9333333333329,2494,1827.1062271062269,19218,91.04229607250754,10.983905757424923,-1,-1,99
13,92,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217089,6338840,1696007.8125,1750848507872.8115,2549,3712.3897435897434,2506,1835.8974358974358,19218,91.04229607250754,10.983905757424923,-1,-1,99
14,100,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217090,6339096,1696015.625,1750848507880.624,2549,3712.3897435897434,2512,1840.2930402930401,19217,91.084631481050934,10.978800525838851,-1,-1,99
15,108,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217091,6339352,1696023.4375,1750848507888.4365,2529,3683.2615384615383,2482,1818.3150183150183,19216,91.127006280530367,10.973695294252783,156,382.8125,99
16,116,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217092,6339608,1696031.25,1750848507896.249,2549,3712.3897435897434,2500,1831.5018315018315,19215,91.169420525948354,10.968590062666715,156,-1,99
17,123,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217093,6339864,1696039.0625,1750848507904.0615,2548,3710.9333333333329,2504,1834.4322344322343,19215,91.169420525948354,10.968590062666715,156,-1,99
18,131,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217094,6340120,1696046.875,1750848507911.874,2548,3710.9333333333329,2507,1836.6300366300366,19214,91.211874272409787,10.963484831080649,156,-1,99
19,139,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217095,6340376,1696054.6875,1750848507919.6865,2530,3684.7179487179483,2480,1816.8498168498168,19213,91.254367575122288,10.958379599494583,156,-1,99
20,147,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217096,6340632,1696062.5,1750848507927.499,2549,3712.3897435897434,2499,1830.7692307692307,19212,91.296900489396421,10.953274367908513,156,-1,99
21,155,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217097,6340888,1696070.3125,1750848507935.3115,2549,3712.3897435897434,2509,1838.0952380952381,19212,91.296900489396421,10.953274367908513,156,-1,99
22,163,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217098,6341144,1696078.125,1750848507943.124,2547,3709.4769230769225,2513,1841.0256410256409,19211,91.339473070645823,10.948169136322448,156,-1,99
23,170,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217099,6341400,1696085.9375,1750848507950.9365,2529,3683.2615384615383,2483,1819.047619047619,19210,91.3820853743877,10.943063904736377,156,-1,99
24,178,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217100,6341656,1696093.75,1750848507958.749,2549,3712.3897435897434,2500,1831.5018315018315,19209,91.424737456242724,10.937958673150309,156,-1,99
25,186,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217101,6341912,1696101.5625,1750848507966.5615,2549,3712.3897435897434,2509,1838.0952380952381,19209,91.424737456242724,10.937958673150309,156,-1,99
26,194,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217102,6342168,1696109.375,1750848507974.374,2548,3710.9333333333329,2510,1838.8278388278386,19208,91.46742937193558,10.932853441564241,156,-1,99
27,202,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217103,6342424,1696117.1875,1750848507982.1865,2529,3683.2615384615383,2481,1817.5824175824175,19207,91.510161177295032,10.927748209978175,156,-1,99
28,209,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217104,6342680,1696125,1750848507989.999,2548,3710.9333333333329,2494,1827.1062271062269,19206,91.552932928254279,10.922642978392105,156,-1,99
29,217,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217105,6342936,1696132.8125,1750848507997.8115,2549,3712.3897435897434,2506,1835.8974358974358,19205,91.595744680851084,10.917537746806037,156,-1,99
30,225,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217106,6343192,1696140.625,1750848508005.624,2548,3710.9333333333329,2508,1837.3626373626373,19204,91.638596491228057,10.912432515219974,156,-1,99
31,233,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217107,6343448,1696148.4375,1750848508013.4365,2530,3684.7179487179483,2481,1817.5824175824175,19203,91.681488415633055,10.907327283633903,156,-1,99
32,241,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217108,6343704,1696156.25,1750848508021.249,2549,3712.3897435897434,2499,1830.7692307692307,19202,91.724420510419094,10.902222052047838,156,-1,99
33,248,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217109,6343960,1696164.0625,1750848508029.0615,2549,3712.3897435897434,2509,1838.0952380952381,19202,91.724420510419094,10.902222052047838,156,-1,99
34,256,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217110,6344216,1696171.875,1750848508036.874,2547,3709.4769230769225,2514,1841.7582417582416,19201,91.76739283204499,10.897116820461767,156,-1,99
35,264,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217111,6344472,1696179.6875,1750848508044.6865,2529,3683.2615384615383,2483,1819.047619047619,19200,91.810405437075246,10.892011588875699,156,-1,99
36,272,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217112,6344728,1696187.5,1750848508052.499,2549,3712.3897435897434,2500,1831.5018315018315,19199,91.853458382180548,10.886906357289632,156,-1,99
37,280,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217113,6344984,1696195.3125,1750848508060.3115,2548,3710.9333333333329,2504,1834.4322344322343,19199,91.853458382180548,10.886906357289632,156,-1,99
38,288,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217114,6345240,1696203.125,1750848508068.124,2547,3709.4769230769225,2511,1839.5604395604394,19197,91.939685519831045,10.876695894117494,156,-1,99
39,295,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217115,6345496,1696210.9375,1750848508075.9365,2529,3683.2615384615383,2482,1818.3150183150183,19197,91.939685519831045,10.876695894117494,156,-1,99
40,303,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217116,6345752,1696218.75,1750848508083.749,2548,3710.9333333333329,2494,1827.1062271062269,19195,92.026074700493297,10.866485430945364,156,-1,99
41,311,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217117,6346008,1696226.5625,1750848508091.5615,2549,3712.3897435897434,2506,1835.8974358974358,19195,92.026074700493297,10.866485430945364,156,-1,99
42,319,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217118,6346264,1696234.375,1750848508099.374,2547,3709.4769230769225,2512,1840.2930402930401,19193,92.112626381377865,10.856274967773224,156,-1,99
43,327,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217119,6346520,1696242.1875,1750848508107.1865,2529,3683.2615384615383,2483,1819.047619047619,19192,92.155963302752312,10.851169736187156,156,-1,99
44,334,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217120,6346776,1696250,1750848508114.999,2548,3710.9333333333329,2494,1827.1062271062269,19192,92.155963302752312,10.851169736187156,156,-1,99
45,342,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217121,6347032,1696257.8125,1750848508122.8115,2548,3710.9333333333329,2502,1832.9670329670328,19191,92.199341021416814,10.84606450460109,156,-1,99
46,350,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217122,6347288,1696265.625,1750848508130.624,2547,3709.4769230769225,2510,1838.8278388278386,19190,92.242759595008252,10.84095927301502,156,-1,99
47,358,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217123,6347544,1696273.4375,1750848508138.4365,2529,3683.2615384615383,2481,1817.5824175824175,19189,92.286219081272094,10.835854041428952,156,-1,99
48,366,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217124,6347800,1696281.25,1750848508146.249,2548,3710.9333333333329,2494,1827.1062271062269,19188,92.329719538062704,10.830748809842884,156,-1,99
49,373,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217125,6348056,1696289.0625,1750848508154.0615,2548,3710.9333333333329,2501,1832.234432234432,19188,92.329719538062704,10.830748809842884,156,-1,99
50,381,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217126,6348312,1696296.875,1750848508161.874,2548,3710.9333333333329,2505,1835.164835164835,19187,92.373261023343559,10.825643578256818,156,-1,99
51,389,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217127,6348568,1696304.6875,1750848508169.6865,2529,3683.2615384615383,2478,1815.3846153846152,19186,92.41684359518753,10.820538346670752,156,-1,99
52,397,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217128,6348824,1696312.5,1750848508177.499,2549,3712.3897435897434,2497,1829.3040293040292,19185,92.460467311777208,10.815433115084682,156,-1,99
53,405,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217129,6349080,1696320.3125,1750848508185.3115,2548,3710.9333333333329,2503,1833.6996336996335,19184,92.504132231404967,10.810327883498614,156,-1,99
54,413,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217130,6349336,1696328.125,1750848508193.124,2548,3710.9333333333329,2506,1835.8974358974358,19183,92.547838412473439,10.805222651912546,156,-1,99
55,420,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217131,6349592,1696335.9375,1750848508200.9365,2530,3684.7179487179483,2480,1816.8498168498168,19182,92.591585913495635,10.800117420326478,156,-1,99
56,428,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217132,6349848,1696343.75,1750848508208.749,2548,3710.9333333333329,2493,1826.3736263736262,19181,92.635374793095309,10.79501218874041,156,-1,99
57,436,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217133,6350104,1696351.5625,1750848508216.5615,2549,3712.3897435897434,2506,1835.8974358974358,19180,92.679205110007103,10.789906957154344,156,-1,99
58,444,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217134,6350360,1696359.375,1750848508224.374,2548,3710.9333333333329,2507,1836.6300366300366,19179,92.723076923076931,10.784801725568276,156,-1,99
59,452,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217135,6350616,1696367.1875,1750848508232.1865,2530,3684.7179487179483,2481,1817.5824175824175,19178,92.766990291262147,10.779696493982208,156,-1,99
60,459,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,217136,6350872,1696375,1750848508239.999,2548,3710.9333333333329,2494,1827.1062271062269,19177,92.810945273631845,10.77459126239614,153,390.625,99
