Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222303,7970925,1736742.1875,1750952612140.9009,2582,3760.4512820512819,2205,1615.3846153846152,34634,576.67934093789609,1.7340659340659341,-1,-1,99
3,18,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222304,7971181,1736750,1750952612148.7134,2580,3757.538461538461,2200,1611.7216117216117,34634,576.67934093789609,1.7340659340659341,-1,-1,99
4,26,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222305,7971437,1736757.8125,1750952612156.5259,2581,3758.9948717948714,2202,1613.186813186813,34634,576.67934093789609,1.7340659340659341,-1,-1,99
5,34,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222306,7971693,1736765.625,1750952612164.3384,2581,3758.9948717948714,2203,1613.9194139194137,34635,576.19248628113121,1.7355311355311358,-1,-1,99
6,42,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222307,7971949,1736773.4375,1750952612172.1509,2581,3758.9948717948714,2204,1614.6520146520145,34635,576.19248628113121,1.7355311355311358,-1,-1,99
7,50,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222308,7972205,1736781.25,1750952612179.9634,2580,3757.538461538461,2199,1610.9890109890109,34635,576.19248628113121,1.7355311355311358,-1,-1,99
8,57,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222309,7972461,1736789.0625,1750952612187.7759,2581,3758.9948717948714,2201,1612.4542124542124,34635,576.19248628113121,1.7355311355311358,-1,-1,99
9,65,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222310,7972717,1736796.875,1750952612195.5884,2581,3758.9948717948714,2203,1613.9194139194137,34635,576.19248628113121,1.7355311355311358,-1,-1,99
10,73,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222311,7972973,1736804.6875,1750952612203.4009,2582,3760.4512820512819,2204,1614.6520146520145,34635,576.19248628113121,1.7355311355311358,-1,-1,99
11,81,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222312,7973229,1736812.5,1750952612211.2134,2579,3756.082051282051,2203,1613.9194139194137,34635,576.19248628113121,1.7355311355311358,-1,-1,99
12,89,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,222313,7973485,1736820.3125,1750952612219.0259,2581,3758.9948717948714,2204,1614.6520146520145,34635,576.19248628113121,1.7355311355311358,-1,-1,99
