Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,Shimmer 569430 A1B9 GSR,281198,6270829,2196859.375,1750953072258.0884,2580,3757.538461538461,2194,1607.3260073260071,35493,334.14932680538561,2.9926739926739918,-1,-1,99
2,12,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,281199,6271085,2196867.1875,1750953072265.9009,2570,3742.9743589743589,2176,1594.1391941391939,35492,334.31300514327705,2.9912087912087908,-1,-1,99
3,20,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,281200,6271341,2196875,1750953072273.7134,2580,3757.538461538461,2183,1599.2673992673992,35491,334.47684391080622,2.9897435897435893,-1,-1,99
4,28,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,281201,6271597,2196882.8125,1750953072281.5259,2574,3748.7999999999997,2178,1595.6043956043954,35489,334.80500367917591,2.9868131868131864,-1,-1,99
5,36,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,281202,6271853,2196890.625,1750953072289.3384,2580,3757.538461538461,2185,1600.7326007326005,35486,335.29845246868098,2.982417582417582,-1,-1,99
6,44,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,281203,6272109,2196898.4375,1750953072297.1509,2571,3744.4307692307689,2176,1594.1391941391939,35484,335.6282271944923,2.9794871794871791,-1,-1,99
7,51,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,281204,6272365,2196906.25,1750953072304.9634,2580,3757.538461538461,2184,1600,35483,335.79335793357939,2.9780219780219777,-1,-1,99
8,59,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,281205,6272621,2196914.0625,1750953072312.7759,2580,3757.538461538461,2188,1602.9304029304028,35481,336.12410736271858,2.9750915750915747,-1,-1,99
9,67,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,281206,6272877,2196921.875,1750953072320.5884,2580,3757.538461538461,2190,1604.3956043956043,35479,336.45550899679563,2.9721611721611727,-1,-1,99
10,75,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,281207,6273133,2196929.6875,1750953072328.4009,2571,3744.4307692307689,2179,1596.3369963369962,35478,336.62145499383479,2.9706959706959704,-1,-1,99
