Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,3,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447701,15341165,3497664.0625,1750954373062.7759,2576,3751.7128205128201,2183,1599.2673992673992,18062,196.76293319939734,5.0822580439305165,-1,-1,99
3,17,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447702,15341421,3497671.875,1750954373070.5884,2558,3725.4974358974355,2349,1720.8791208791208,18062,196.76293319939734,5.0822580439305165,-1,-1,99
4,25,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447703,15341677,3497679.6875,1750954373078.4009,2577,3753.1692307692306,2275,1666.6666666666665,18063,196.56547917711995,5.0873632755165845,-1,-1,99
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447704,15341933,3497687.5,1750954373086.2134,2577,3753.1692307692306,2235,1637.3626373626373,18063,196.56547917711995,5.0873632755165845,-1,-1,99
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447705,15342189,3497695.3125,1750954373094.0259,2576,3751.7128205128201,2207,1616.8498168498168,18063,196.56547917711995,5.0873632755165845,-1,-1,99
7,48,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447706,15342445,3497703.125,1750954373101.8384,2558,3725.4974358974355,2363,1731.135531135531,18064,196.36842105263162,5.0924685071026525,-1,-1,99
8,56,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447707,15342701,3497710.9375,1750954373109.6509,2577,3753.1692307692306,2283,1672.5274725274724,18064,196.36842105263162,5.0924685071026525,-1,-1,99
9,64,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447708,15342957,3497718.75,1750954373117.4634,2577,3753.1692307692306,2239,1640.2930402930401,18065,196.17175763645466,5.0975737386887214,-1,-1,99
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447709,15343213,3497726.5625,1750954373125.2759,2576,3751.7128205128201,2210,1619.047619047619,18064,196.36842105263162,5.0924685071026525,-1,-1,99
11,79,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447710,15343469,3497734.375,1750954373133.0884,2558,3725.4974358974355,2364,1731.8681318681317,18065,196.17175763645466,5.0975737386887214,-1,-1,99
12,87,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447711,15343725,3497742.1875,1750954373140.9009,2570,3742.9743589743589,2364,1731.8681318681317,18065,196.17175763645466,5.0975737386887214,-1,-1,99
13,95,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447712,15343981,3497750,1750954373148.7134,2577,3753.1692307692306,2237,1638.8278388278386,18064,196.36842105263162,5.0924685071026525,-1,-1,99
14,103,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447713,15344237,3497757.8125,1750954373156.5259,2577,3753.1692307692306,2214,1621.9780219780218,18064,196.36842105263162,5.0924685071026525,-1,-1,99
15,111,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447714,15344493,3497765.625,1750954373164.3384,2573,3747.3435897435893,2194,1607.3260073260071,18061,196.96078431372553,5.0771528123444494,-1,-1,99
16,118,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,447715,15344749,3497773.4375,1750954373172.1509,2578,3754.625641025641,2192,1605.8608058608058,18057,197.756183745583,5.05673188600018,-1,-1,99
