Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,397260,2428269,3103593.75,1750953978992.4634,2576,3751.7128205128201,2178,1595.6043956043954,36169,251.05756851204708,3.9831501831501828,-1,-1,99
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,397261,2428525,3103601.5625,1750953979000.2759,2562,3731.3230769230768,2151,1575.8241758241757,36171,250.87300128652822,3.9860805860805861,-1,-1,99
4,24,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,397262,2428781,3103609.375,1750953979008.0884,2577,3753.1692307692306,2168,1588.2783882783881,36173,250.68870523415978,3.9890109890109891,-1,-1,99
5,32,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,397263,2429037,3103617.1875,1750953979015.9009,2576,3751.7128205128201,2171,1590.4761904761904,36176,250.41276829939466,3.9934065934065925,-1,-1,99
6,40,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,397264,2429293,3103625,1750953979023.7134,2576,3751.7128205128201,2173,1591.9413919413919,36180,250.04579593332113,3.9992673992673993,-1,-1,99
7,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,397265,2429549,3103632.8125,1750953979031.5259,2563,3732.7794871794868,2154,1578.0219780219779,36184,249.6798975672215,4.0051282051282051,-1,-1,99
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,397266,2429805,3103640.625,1750953979039.3384,2577,3753.1692307692306,2169,1589.0109890109889,36187,249.4061757719715,4.0095238095238095,-1,-1,99
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,397267,2430061,3103648.4375,1750953979047.1509,2576,3751.7128205128201,2172,1591.2087912087911,36189,249.2240277524192,4.0124542124542124,-1,-1,99
10,71,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,397268,2430317,3103656.25,1750953979054.9634,2577,3753.1692307692306,2179,1596.3369963369962,36192,248.95130403064022,4.0168498168498168,-1,-1,99
