Zeitstempel,Condition,Task,I felt the weight of the shovel increasing when loading it,I felt the weight of the shovel decreasing when unloading it,"After the shovel had been loaded, it required more effort to manipulate","After the shovel had been unloaded, it required less effort to manipulate",How physically challenging was the experience?,1. Mental Demand,2. Physical Demand,3.  Temporal Demand,5. Effort,6. Frustration Level,"I felt the weight of the object, while i was grabbing it","The weight of the object, while i was grabbing it, felt realistic",  My sense of being in the virtual world was like being in a real place.,2. How responsive was the environment to actions that you initiated (or performed)?,3. How natural did your interactions with the environment seem?,10. How compelling was your sense of objects moving through space?,11. How inconsistent or disconnected was the information coming from your various senses?,12. How much did your experiences in the virtual environment seem consistent with your real-world experiences?,13. Were you able to anticipate what would happen next in response to the actions that you performed?,21. How well could you move or manipulate objects in the virtual environment?,23. How involved were you in the virtual environment experience?,24. How distracting was the control mechanism?,26. How quickly did you adjust to the virtual environment experience?,27. How proficient in moving and interacting with the virtual environment did you feel at the end of the experience?,"29. How much did the control devices interfere with the performance of
assigned tasks or with other activities?","30. How well could you concentrate on the assigned tasks or required activities
rather than on the mechanisms used to perform those tasks or activities?",31. Did you learn new techniques that enabled you to improve your performance?,4. How completely were all of your senses engaged?,"During the experience, I felt the virtual world was reality for me. ",I felt present in the virtual world. ,I felt I could control my actions within the virtual world. ,I felt the virtual world was responsive to my actions. ,I felt I could move or manipulate objects easily in the virtual world. ,I felt involved in the virtual world experience. ,I could concentrate on the virtual activities rather than the controls to perform them. ,"When something happened to my virtual body, I felt it happened to my real body. ",  My sense of being in the virtual world was like being in a real place.,I felt like I was actually there in the virtual world. ,How fatigued where you after the experience?,4. Own Performance
17.06.2025 12:09:42,C0,Cube,,,,,1 - Very light,,,,,,4,4,6,,,,,,,,,,,,,,,,4,4,6,7,6,6,7,6,,3,1 -  Very alert and fully awake,
17.06.2025 12:14:30,C1,Cube,,,,,2 - Light,,,,,,4,4,4,,,,,,,,,,,,,,,,3,3,6,7,5,4,5,4,,3,2 - Very energetic but no longer at one’s peak,
17.06.2025 12:20:30,C2,Cube,,,,,1 - Very light,,,,,,3,3,5,,,,,,,,,,,,,,,,5,5,6,5,5,5,5,4,,4,1 -  Very alert and fully awake,
17.06.2025 12:31:43,P0,Cube,,,,,2 - Light,,,,,,7,7,6,,,,,,,,,,,,,,,,5,6,7,6,6,6,5,5,,7,2 - Very energetic but no longer at one’s peak,
17.06.2025 12:36:34,P1,Cube,,,,,2 - Light,,,,,,7,6,6,,,,,,,,,,,,,,,,5,6,6,6,6,6,7,6,,6,3 -  Some vitality,
17.06.2025 12:40:11,P2,Cube,,,,,1 - Very light,,,,,,7,7,6,,,,,,,,,,,,,,,,5,6,6,7,7,6,7,6,,6,2 - Very energetic but no longer at one’s peak,
17.06.2025 12:52:38,C0,Shovel,5,6,7,7,2 - Light,,,,,,3,2,5,,,,,,,,,,,,,,,,4,6,6,6,5,6,6,4,,6,2 - Very energetic but no longer at one’s peak,
17.06.2025 12:57:44,C1,Shovel,5,5,6,6,2 - Light,,,,,,3,3,6,,,,,,,,,,,,,,,,5,6,6,5,4,6,5,6,,6,3 -  Some vitality,
17.06.2025 13:02:16,C2,Shovel,5,4,4,4,2 - Light,,,,,,3,2,5,,,,,,,,,,,,,,,,3,5,5,4,4,5,5,5,,5,3 -  Some vitality,
17.06.2025 13:07:46,P0,Shovel,3,2,5,5,3 - Moderate,,,,,,7,7,5,,,,,,,,,,,,,,,,3,6,6,6,5,6,2,6,,5,4 -  A little tired and lacking energy,
17.06.2025 13:12:17,P1,Shovel,4,4,6,6,3 - Moderate,,,,,,7,7,4,,,,,,,,,,,,,,,,2,4,4,3,4,4,2,2,,3,4 -  A little tired and lacking energy,
17.06.2025 13:16:43,P2,Shovel,3,3,6,6,2 - Light,,,,,,6,7,4,,,,,,,,,,,,,,,,2,5,4,3,4,5,3,3,,3,3 -  Some vitality,
17.06.2025 17:15:39,C1,Cube,,,,,0 - No physical challenge,,,,,,1,1,4,,,,,,,,,,,,,,,,6,4,5,6,6,6,7,2,,5,1 -  Very alert and fully awake,
17.06.2025 17:20:59,P2,Cube,,,,,0 - No physical challenge,,,,,,7,7,6,,,,,,,,,,,,,,,,6,6,7,6,7,6,7,2,,7,1 -  Very alert and fully awake,
17.06.2025 17:24:49,C0,Cube,,,,,0 - No physical challenge,,,,,,1,1,1,,,,,,,,,,,,,,,,6,7,7,6,7,6,7,2,,6,1 -  Very alert and fully awake,
17.06.2025 17:28:16,C2,Cube,,,,,0 - No physical challenge,,,,,,1,1,1,,,,,,,,,,,,,,,,6,7,4,4,6,6,6,1,,6,1 -  Very alert and fully awake,
17.06.2025 17:31:48,P0,Cube,,,,,0 - No physical challenge,,,,,,7,7,2,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,2,,7,1 -  Very alert and fully awake,
17.06.2025 17:35:35,P1,Cube,,,,,0 - No physical challenge,,,,,,7,7,2,,,,,,,,,,,,,,,,7,7,6,5,5,7,6,1,,7,1 -  Very alert and fully awake,
17.06.2025 17:44:18,C1,Shovel,1,1,7,7,1 - Very light,,,,,,1,1,5,,,,,,,,,,,,,,,,4,6,3,4,2,6,1,1,,5,2 - Very energetic but no longer at one’s peak,
17.06.2025 17:50:29,P2,Shovel,1,1,1,1,0 - No physical challenge,,,,,,7,6,6,,,,,,,,,,,,,,,,6,7,7,7,7,7,6,1,,6,1 -  Very alert and fully awake,
